aertaishan 阿尔泰山
beiouguojia 北欧国家
beisongkewen 背诵课文
beitongyujue 悲痛欲绝
beiyangjunfa 北洋军阀
beiyangshuishi 北洋水师
beiyangzhengfu 北洋政府
beiyongluntai 备用轮胎
beizizhiwu 被子植物
benbenzhuyi 本本主义
bencaogangmu 本草纲目
bengbengtiaotiao 蹦蹦跳跳
benlaimianmu 本来面目
benmodaozhi 本末倒置
benzhigongzuo 本职工作
benzhiqubie 本质区别
benzhishuxing 本质属性
benzhitezheng 本质特征
bianbiechulai 辨别出来
bianbieshifei 辨别是非
bianbiezhenjia 辨别真假
bianbuquanguo 遍布全国
bianbuzhengge 遍布整个
bianchengrenyuan 编程人员
bianchengsheji 编程设计
bianchengyuyan 编程语言
biandikaihua 遍地开花
bianfaweixin 变法维新
biangeshidai 变革时代
bianhuaduoduan 变化多端
bianhuaguilv 变化规律
bianhuanwuqiong 变幻无穷
bianhuaqushi 变化趋势
bianhuawuchang 变化无常
bianhuawuqiong 变化无穷
bianjiangdiqu 边疆地区
bianjiangminzu 边疆民族
bianjiaojingtou 变焦镜头
bianjichuban 编辑出版
bianjietiaojian 边界条件
bianjiewenti 边界问题
bianjingdiqu 边境地区
bianmabiaoshi 编码表示
bianmafangan 编码方案
bianmafangshi 编码方式
bianmashuju 编码数据
bianminfuwu 便民服务
biansuyundong 变速运动
bianxianfaqiu 边线发球
bianxiechengxu 编写程序
bianxingyundong 变形运动
bianyuandiqu 边远地区
bianyuguanli 便于管理
bianzhengguanxi 辩证关系
bianzhengluoji 辩证逻辑
bianzhengtongyi 辩证统一
bianzouqushi 变奏曲式
biaobingshice 彪炳史册
biaodachulai 表达出来
biaodafangfa 表达方法
biaodafangshi 表达方式
biaodanengli 表达能力
biaodaqingxi 表达清晰
biaodasixiang 表达思想
biaodaxingshi 表达形式
biaodayijian 表达意见
biaodianfuhao 标点符号
biaoliyizhi 表里一致
biaomianwendu 表面温度
biaomianwenzhang 表面文章
biaomianxianxiang 表面现象
biaomianzhangli 表面张力
biaoqingfengfu 表情丰富
biaoshiganxie 表示感谢
biaoshiqianyi 表示歉意
biaoshitongqing 表示同情
biaoshitongyi 表示同意
biaoshiyihan 表示遗憾
biaoshizhuhe 表示祝贺
biaotixinwen 标题新闻
biaotiyinyue 标题音乐
biaoxianshoufa 表现手法
biaoxianxingshi 表现形式
biaoxianzhuyi 表现主义
biaoyanyishu 表演艺术
biaozhangdahui 表彰大会
biaozhunguifan 标准规范
biaozhunjiekou 标准接口
biaozhunrongye 标准溶液
biaozhunzhuangkuang 标准状况
bibeitiaojian 必备条件
bibodangyang 碧波荡漾
bicizhijian 彼此之间
bidedadi 彼得大帝
bideyishi 彼得一世
biejujiangxin 别具匠心
biejuyige 别具一格
bieyoudongtian 别有洞天
bieyoufengwei 别有风味
bieyouyongxin 别有用心
biguansuoguo 闭关锁国
biguanzishou 闭关自守
bihedianlu 闭合电路
bihuankongzhi 闭环控制
bijiaoeryan 比较而言
bijiaofada 比较发达
bijiaofanrong 比较繁荣
bijiaofuza 比较复杂
bijiaojiandan 比较简单
bijiaoluohou 比较落后
bijiaoqingchu 比较清楚
bijiaoshunli 比较顺利
bijiaotuchu 比较突出
bijiaowanshan 比较完善
bijiaowending 比较稳定
bijiaoxianzhu 比较显著
bijiaoyanzhong 比较严重
bijingjieduan 必经阶段
bijingzhidi 必经之地
bijingzhilu 必经之路
bikoubutan 闭口不谈
bilikongzhi 比例控制
biliqianren 壁立千仞
bimianlangfei 避免浪费
binbinyouli 彬彬有礼
bingduganran 病毒感染
bingduxuejia 病毒学家
bingfeiruci 并非如此
binggongzhifa 秉公执法
bingheshiqi 冰河时期
bingjianzuozhan 并肩作战
binglibianhua 病理变化
bingliejiegou 并列结构
binglinchengxia 兵临城下
bingqingehua 病情恶化
bingshangyundong 冰上运动
bingshanyijiao 冰山一角
bingtanghulu 冰糖葫芦
binguanfandian 宾馆饭店
bingxingchuli 并行处理
bingxinggongcheng 并行工程
bingxingjisuan 并行计算
bingyizhidu 兵役制度
bingzhuhuxi 屏住呼吸
binhaixinqu 滨海新区
binlinjuejing 濒临绝境
binlinmiejue 濒临灭绝
binlinpochan 濒临破产
binweidongwu 濒危动物
biranguilv 必然规律
biranjieguo 必然结果
biranlianxi 必然联系
biranqushi 必然趋势
biranxuanze 必然选择
bisaichangdi 比赛场地
bisaiguize 比赛规则
bisaijieguo 比赛结果
bisaixiangmu 比赛项目
bishangyanjing 闭上眼睛
bishengjingli 毕生精力
bishengxinnian 必胜信念
bishushanzhuang 避暑山庄
bisiwuyi 必死无疑
bixiukecheng 必修课程
biyaocuoshi 必要措施
biyaotiaojian 必要条件
biyedianli 毕业典礼
biyesheji 毕业设计
biyibuxie 鄙夷不屑
bizizuiba 鼻子嘴巴
boboshengji 勃勃生机
bodajingshen 博大精深
bodaxionghuai 博大胸怀
boguanglinlin 波光粼粼
bohaoshangwang 拨号上网
bojuefuren 伯爵夫人
bolanqifu 波澜起伏
bolanqunshu 博览群书
bolanzhuangkuo 波澜壮阔
bolexiangma 伯乐相马
boliqimin 玻璃器皿
bolixianwei 玻璃纤维
boshilunwen 博士论文
boshixuewei 博士学位
bosiniya 波斯尼亚
botaogungun 波涛滚滚
botaoxiongyong 波涛汹涌
bowuxuejia 博物学家
boxuejieji 剥削阶级
boxuezhidu 剥削制度
bozhongmianji 播种面积
buanshishi 不谙世事
bubeibukang 不卑不亢
buchangchuxian 不常出现
buchengfangyuan 不成方圆
buchongxieyi 补充协议
budakeneng 不大可能
budandanshi 不单单是
budeerzhi 不得而知
buderenxin 不得人心
budeyaoling 不得要领
budiaoyizhi 步调一致
budingguanci 不定冠词
budongshengse 不动声色
buduanchuangxin 不断创新
buduanfengfu 不断丰富
buduangaijin 不断改进
buduangengxin 不断更新
buduanjiaqiang 不断加强
buduanjinbu 不断进步
buduanjinqu 不断进取
buduankuoda 不断扩大
buduanqianjin 不断前进
buduanshenru 不断深入
buduanwanshan 不断完善
buerdaishu 布尔代数
bueryunsuan 布尔运算
bufafenzi 不法分子
bufaqinhai 不法侵害
bufazhitu 不法之徒
bufenzhouye 不分昼夜
bufucunzai 不复存在
bufuzeren 不负责任
buganbujing 不干不净
bugankending 不敢肯定
buganxiangxin 不敢相信
buganxingqu 不感兴趣
bugouyisi 不够意思
buguanbugu 不管不顾
buguanzenyang 不管怎样
buguoruci 不过如此
bugusihuo 不顾死活
buguyiqie 不顾一切
buhaoyisi 不好意思
buheluoji 不合逻辑
buheqingli 不合情理
buheshiyi 不合时宜
bujiakaolv 不加考虑
bujiandangnian 不减当年
bujiansenlin 不见森林
bujianzongying 不见踪影
bujiasisuo 不假思索
bujideshi 不计得失
bujieguoshi 不结果实
bujiezhimi 不解之谜
bujinheli 不尽合理
bujinruci 不仅如此
bujinxiangtong 不尽相同
bujinyizhi 不尽一致
bujiqishu 不计其数
bujiucuoshi 补救措施
bujuerulv 不绝如缕
bujuheli 布局合理
bujuxiaojie 不拘小节
bujuyige 不拘一格
bukanhuishou 不堪回首
bukanshexiang 不堪设想
bukanzhongfu 不堪重负
bukebimian 不可避免
bukedongyao 不可动摇
bukefenge 不可分割
bukefouren 不可否认
bukeguliang 不可估量
bukehuoque 不可或缺
bukekangli 不可抗力
bukenizhuan 不可逆转
bukeshoushi 不可收拾
bukesiyi 不可思议
bukeyuyue 不可逾越
bukuaibuman 不快不慢
bulangyundong 布朗运动
buliangfanying 不良反应
buliangqingxu 不良情绪
buliangshihao 不良嗜好
buliangxianxiang 不良现象
buliangxiguan 不良习惯
buliangxingwei 不良行为
buliangxinxi 不良信息
buliangxiqi 不良习气
buliangyingxiang 不良影响
bulitiaojian 不利条件
buliuyudi 不留余地
buliyinsu 不利因素
buluhenji 不露痕迹
bulunzenyang 不论怎样
buluosutao 不落俗套
bumaozhidi 不毛之地
bumenguizhang 部门规章
bumingzhenxiang 不明真相
bunankanchu 不难看出
bunanxiangxiang 不难想象
bunengdaoda 不能到达
bunengfenjie 不能分解
bunengquxiao 不能取消
bunengrongren 不能容忍
bunengshengcun 不能生存
bunengyizhi 不能抑制
bunengzhiyu 不能治愈
bupakunnan 不怕困难
bupaxisheng 不怕牺牲
buqiangsheji 步枪射击
buqiuwenda 不求闻达
buqizuoyong 不起作用
burandehua 不然的话
burongfenshuo 不容分说
buronghushi 不容忽视
burongleguan 不容乐观
burudongwu 哺乳动物
burushiming 不辱使命
bushengbumie 不生不灭
bushengmeiju 不胜枚举
bushiguyi 不是故意
bushishiji 不失时机
bushiweier 不是味儿
busijinqu 不思进取
busuanshenme 不算什么
butaikeneng 不太可能
butongxunchang 不同寻常
butongzhichu 不同之处
buweijiannan 不畏艰难
buweijianxian 不畏艰险
buweiqiangbao 不畏强暴
buweiqiangdi 不畏强敌
buweirenzhi 不为人知
buwendingxing 不稳定性
buxienuli 不懈努力
buxingyunan 不幸遇难
buxixisheng 不惜牺牲
buxixuexiao 补习学校
buxiyiqie 不惜一切
buyihuier 不一会儿
buyikongzhi 不易控制
buyoufenshuo 不由分说
buyouzizhu 不由自主
buyuanqianli 不远千里
buyuanwanli 不远万里
buyukaolv 不予考虑
buzhanghuiyi 部长会议
buzhengzhifeng 不正之风
buzhibujue 不知不觉
buzhihaodai 不知好歹
buzhipijuan 不知疲倦
buzhisuoyan 不知所言
buzhisuoyun 不知所云
buzhiyici 不止一次
buzuzhichu 不足之处
caichanbaoxian 财产保险
caichanjicheng 财产继承
caichanquanli 财产权利
caichansunshi 财产损失
caifangbaodao 采访报道
caihuahengyi 才华横溢
caijuntanpan 裁军谈判
caikuanggongcheng 采矿工程
cailiaokexue 材料科学
caiqucuoshi 采取措施
caiquxingdong 采取行动
caiseboli 彩色玻璃
caisedonghua 彩色动画
caisetuxiang 彩色图像
caisexianshi 彩色显示
caiwubumen 财务部门
caiwuguanli 财务管理
caiwukuaiji 财务会计
caiwuyusuan 财务预算
caizhengbokuan 财政拨款
caizhengbumen 财政部门
caizhengbutie 财政补贴
caizhengfudan 财政负担
caizhengkunnan 财政困难
caizhengshouru 财政收入
caizhengshouzhi 财政收支
caizhengtouru 财政投入
caizhengweiji 财政危机
caizhengyusuan 财政预算
caizhengzhengce 财政政策
caizhengzhichu 财政支出
caizijiaren 才子佳人
caliangyanjing 擦亮眼睛
candanjingying 惨淡经营
cangcuyingzhan 仓促应战
canghuangchutao 仓皇出逃
cangmangdadi 苍茫大地
canjiaduanlian 参加锻炼
canjiakaoshi 参加考试
canjiertong 残疾儿童
cankaodaan 参考答案
cankaojiazhi 参考价值
cankaoziliao 参考资料
cankuwuqing 残酷无情
canlanhuihuang 灿烂辉煌
canquebuquan 残缺不全
cansaixuanshou 参赛选手
canshushezhi 参数设置
cantiandashu 参天大树
canzaoshahai 惨遭杀害
canzhengyizheng 参政议政
caobenzhiwu 草本植物
caolaoguodu 操劳过度
caomangyingxiong 草莽英雄
caoshuaicongshi 草率从事
caoyuanqihou 草原气候
caozuobuzhou 操作步骤
caozuofangfa 操作方法
caozuoguicheng 操作规程
caozuoguocheng 操作过程
caozuojineng 操作技能
caozuokongzhi 操作控制
caozuomingling 操作命令
caozuonengli 操作能力
caozuoshiwu 操作失误
caozuoxitong 操作系统
cedingfangfa 测定方法
celiangfangfa 测量方法
celiangfanwei 测量范围
celiangwucha 测量误差
cencibuqi 参差不齐
cencicuoluo 参差错落
cengcifenming 层次分明
cengcijiegou 层次结构
ceshibaogao 测试报告
ceshichengxu 测试程序
ceshifangfa 测试方法
ceshigongju 测试工具
ceshihuanjing 测试环境
ceshijieduan 测试阶段
ceshijihua 测试计划
ceshirenyuan 测试人员
ceshishuju 测试数据
ceshitongguo 测试通过
ceshiyunxing 测试运行
ceyinzhixin 恻隐之心
chaexuanju 差额选举
chalidadi 查理大帝
chalidinglv 查理定律
chaliyishi 查理一世
chanchanliushui 潺潺流水
changbaishanmai 长白山脉
changchangduanduan 长长短短
changdimianji 场地面积
changduanbuyi 长短不一
changebenyue 嫦娥奔月
changfengpolang 长风破浪
changgetiaowu 唱歌跳舞
changguiwuqi 常规武器
changhuanzhaiwu 偿还债务
changjiangdaqiao 长江大桥
changjianghuanghe 长江黄河
changjiangliuyu 长江流域
changjiangsanxia 长江三峡
changjiangshangyou 长江上游
changjiangxiayou 长江下游
changjiuyilai 长久以来
changlvguanmu 常绿灌木
changlvkuoye 常绿阔叶
changpianxiaoshuo 长篇小说
changqibaochi 长期保持
changqibuxie 长期不懈
changqicunzai 长期存在
changqidaikuan 长期贷款
changqidouzheng 长期斗争
changqigongcun 长期共存
changqishijian 长期实践
changqitouzi 长期投资
changqiyilai 长期以来
changquzhiru 长驱直入
changshejigou 常设机构
changshengbulao 长生不老
changshengbusi 长生不死
changtanyisheng 长叹一声
changtubashe 长途跋涉
changtudianhua 长途电话
changtufeixing 长途飞行
changtulvxing 长途旅行
changtuqiche 长途汽车
changtuyunshu 长途运输
changwuhuiyi 常务会议
changxiaojizhi 长效机制
changyemanman 长夜漫漫
changyonggongju 常用工具
changyuandasuan 长远打算
changyuanguihua 长远规划
changyuanliyi 长远利益
changyuanmubiao 长远目标
changzhengsanhao 长征三号
changzhurenkou 常住人口
changzufazhan 长足发展
changzujinbu 长足进步
changzujinzhan 长足进展
chanpinanquan 产品安全
chanpinbaozhuang 产品包装
chanpinchanliang 产品产量
chanpinchengben 产品成本
chanpinjiage 产品价格
chanpinjianyan 产品检验
chanpinkaifa 产品开发
chanpinsheji 产品设计
chanpinshengji 产品升级
chanpinshuliang 产品数量
chanpinxiaoshou 产品销售
chanpinzhiliang 产品质量
chanpinzhonglei 产品种类
chanquanzhidu 产权制度
chanshenggongming 产生共鸣
chanshengjiufen 产生纠纷
chanshengmaodun 产生矛盾
chanshengwuhui 产生误会
chanshengwujie 产生误解
chanyebuju 产业布局
chanyegeming 产业革命
chanyegongren 产业工人
chanyejidi 产业基地
chanyejiegou 产业结构
chanyezhengce 产业政策
chaochaorangrang 吵吵嚷嚷
chaochufanwei 超出范围
chaodaguimo 超大规模
chaohuxunchang 超乎寻常
chaojidaguo 超级大国
chaojishichang 超级市场
chaoqianyishi 超前意识
chaoxianbandao 朝鲜半岛
chaoxianzhanzheng 朝鲜战争
chaoxifadian 潮汐发电
chaoyeshangxia 朝野上下
chaoyuejieduan 超越阶段
chaoyueziwo 超越自我
charupaixu 插入排序
chasulixin 差速离心
chaxunchuli 查询处理
chaxunfangfa 查询方法
chaxunyuyan 查询语言
chayijiyin 差异基因
chedifouding 彻底否定
chedigaibian 彻底改变
chedijiejue 彻底解决
chedixiaochu 彻底消除
cheliangguanli 车辆管理
chengbaideshi 成败得失
chengbaohetong 承包合同
chengbaojingying 承包经营
chengbashijie 称霸世界
chengbayifang 称霸一方
chengbeizengjia 成倍增加
chengbeizengzhang 成倍增长
chengbenshangsheng 成本上升
chengdanyiwu 承担义务
chengdanzeren 承担责任
chengdupingyuan 成都平原
chengeyangshan 惩恶扬善
chengfengpolang 乘风破浪
chenggongjingyan 成功经验
chenggongshibai 成功失败
chenggongshijian 成功实践
chengjialiye 成家立业
chengjituchu 成绩突出
chengjiyouliang 成绩优良
chengjiyouxiu 成绩优秀
chengmenshihuo 城门失火
chengqianshangwan 成千上万
chengrengaokao 成人高考
chengrenjiaoyu 成人教育
chengshengzhuiji 乘胜追击
chengshibuju 城市布局
chengshidaolu 城市道路
chengshidiaosu 城市雕塑
chengshifangzai 城市防灾
chengshiguidao 城市轨道
chengshiguihua 城市规划
chengshijiaotong 城市交通
chengshijumin 城市居民
chengshikekao 诚实可靠
chengshilvhua 城市绿化
chengshipinmin 城市贫民
chengshiqihou 城市气候
chengshiwushui 城市污水
chengshixinyong 诚实信用
chengshizhineng 城市职能
chengshounengli 承受能力
chengshuangchengdui 成双成对
chenguilouxi 陈规陋习
chengweishishi 成为事实
chengwenxianfa 成文宪法
chengxiangchabie 城乡差别
chengxiangguihua 城乡规划
chengxiangjianshe 城乡建设
chengxiangjumin 城乡居民
chengxiangzhijian 城乡之间
chengxiaoxianzhu 成效显著
chengxinchengyi 诚心诚意
chengxudaima 程序代码
chengxuguanli 程序管理
chengxujiegou 程序结构
chengxujiekou 程序接口
chengxukaifa 程序开发
chengxukongzhi 程序控制
chengxukuangtu 程序框图
chengxuluoji 程序逻辑
chengxumokuai 程序模块
chengxusheji 程序设计
chengxutiaoshi 程序调试
chengxuyanzheng 程序验证
chengxuyunxing 程序运行
chengxuyuyan 程序语言
chengyugushi 成语故事
chengzainengli 承载能力
chengzhenjumin 城镇居民
chengzhenrenkou 城镇人口
chengzhenzhigong 城镇职工
chenjizuoyong 沉积作用
chenshengwuguang 陈胜吴广
chentufeiyang 尘土飞扬
chenzhongdaji 沉重打击
chenzhongfudan 沉重负担
chezhichufen 撤职处分
chibizhizhan 赤壁之战
chidukongjian 尺度空间
chifanwenti 吃饭问题
chihewanle 吃喝玩乐
chijiuheping 持久和平
chikunailao 吃苦耐劳
chimingzhongwai 驰名中外
chixushangsheng 持续上升
chixushijian 持续时间
chixuzengzhang 持续增长
chizhainianfo 吃斋念佛
chizizhixin 赤子之心
chongbaiouxiang 崇拜偶像
chongchongbaowei 重重包围
chongchongkunnan 重重困难
chongdiandianchi 充电电池
chongfenbaozheng 充分保证
chongfendiaodong 充分调动
chongfenfahui 充分发挥
chongfenfanying 充分反映
chongfenfayang 充分发扬
chongfenjiuye 充分就业
chongfenkaolv 充分考虑
chongfenkending 充分肯定
chongfenliyong 充分利用
chongfenrenshi 充分认识
chongfenshuoming 充分说明
chongfentiaojian 充分条件
chongfentixian 充分体现
chongfenxingshi 充分行使
chongfenyunyong 充分运用
chongfenzhengming 充分证明
chongfenzhunbei 充分准备
chongfulaodong 重复劳动
chongfushiyong 重复使用
chonggaojingshen 崇高精神
chonggaolixiang 崇高理想
chonggaomubiao 崇高目标
chongjianjiayuan 重建家园
chongjipingyuan 冲积平原
chongmanhuoli 充满活力
chongmanreqing 充满热情
chongmanshengji 充满生机
chongmanxinxin 充满信心
chongmanxiwang 充满希望
chongqingdiqu 重庆地区
chongqingtanpan 重庆谈判
chongshenguandian 重申观点
chongtudiqu 冲突地区
chongxinanpai 重新安排
chongxinfenpei 重新分配
chongxinjiaru 重新加入
chongxinjuji 重新聚集
chongxinkaolv 重新考虑
chongxinpailie 重新排列
chongxinqidong 重新启动
chongxinrenshi 重新认识
chongxinxuexi 重新学习
chongxinzhengli 重新整理
chongxinzhiding 重新制定
chongxinzuhe 重新组合
choubeigongzuo 筹备工作
choujizijin 筹集资金
choushuimatong 抽水马桶
choutaibaichu 丑态百出
choutaibilu 丑态毕露
chouxianggainian 抽象概念
chouxiangsiwei 抽象思维
chouyangdiaocha 抽样调查
chouyangnongdu 臭氧浓度
chouyuncandan 愁云惨淡
chuanbofangshi 传播方式
chuanbomeijie 传播媒介
chuanboshengyin 传播声音
chuanbosudu 传播速度
chuandachulai 传达出来
chuandaizhengqi 穿戴整齐
chuandishuju 传递数据
chuandixinxi 传递信息
chuandongxitong 传动系统
chuandongzhuangzhi 传动装置
chuangjianduixiang 创建对象
chuangjianhuodong 创建活动
chuangshangyongpin 床上用品
chuangxinnengli 创新能力
chuangyejingshen 创业精神
chuangyexiangmu 创业项目
chuangyisheji 创意设计
chuangzaocaifu 创造财富
chuangzaocaineng 创造才能
chuangzaofaming 创造发明
chuangzaojingshen 创造精神
chuangzaotiaojian 创造条件
chuangzuocaineng 创作才能
chuangzuofangfa 创作方法
chuangzuojingyan 创作经验
chuangzuojiqiao 创作技巧
chuangzuoshijian 创作实践
chuanliandianlu 串联电路
chuanqisecai 传奇色彩
chuanshizhizuo 传世之作
chuanshufangshi 传输方式
chuanshufuwu 传输服务
chuanshujishu 传输技术
chuanshushuju 传输数据
chuanshusudu 传输速度
chuanshusulv 传输速率
chuansongsudu 传送速度
chuantongchanye 传统产业
chuantonggongyi 传统工艺
chuantongguannian 传统观念
chuantongjiemu 传统节目
chuantongjieri 传统节日
chuantongmeide 传统美德
chuantongmeiti 传统媒体
chuantongmoshi 传统模式
chuantongxisu 传统习俗
chuantongyixue 传统医学
chuantongyiyi 传统意义
chuanyueshikong 穿越时空
chubanfaxing 出版发行
chubeijijin 储备基金
chubujiejue 初步解决
chubupanduan 初步判断
chubusheji 初步设计
chucijianmian 初次见面
chucunqilai 储存起来
chudengjiaoyu 初等教育
chudengshuxue 初等数学
chufangdianqi 厨房电器
chufangyongju 厨房用具
chufangyongpin 厨房用品
chuguoshenzao 出国深造
chuhuyiliao 出乎意料
chuijiaolianying 吹角连营
chuisizhengzha 垂死挣扎
chuizhijuli 垂直距离
chuizouyueqi 吹奏乐器
chujianchengxiao 初见成效
chujichanpin 初级产品
chujijieduan 初级阶段
chujixianquan 初级线圈
chujizhongxue 初级中学
chukouchengzhang 出口成章
chukoumaoyi 出口贸易
chukoushangpin 出口商品
chulibudang 处理不当
chulichengxu 处理程序
chulidanyuan 处理单元
chuliguocheng 处理过程
chulijieguo 处理结果
chuliruanjian 处理软件
chulisudu 处理速度
chuliwanbi 处理完毕
chuliyijian 处理意见
chumenzaiwai 出门在外
chunfengdeyi 春风得意
chunguangmingmei 春光明媚
chunhanliaoqiao 春寒料峭
chunhuaqiuyue 春花秋月
chunqiushiqi 春秋时期
chunqiuzhanguo 春秋战国
chunxiaqiudong 春夏秋冬
chunyunqijian 春运期间
churenyiliao 出人意料
churenyiwai 出人意外
chusewancheng 出色完成
chushengrenshu 出生人数
chushengriqi 出生日期
