昂首阔步	angshoukuobu
慌手慌脚	huangshouhuangjiao
悔恨交加	huihenjiaojia
挥霍无度	huihuowudu
回眸一笑	huimouyixiao
活蹦乱跳	huobengluantiao
挤眉弄眼	jimeinongyan
健步如飞	jianburufei
见兔顾犬	jiantuguquan
交头接耳	jiaotoujieer
进退有度	jintuiyoudu
进退有节	jintuiyoujie
惊慌失措	jinghuangshicuo
惊魂未定	jinghunweiding
惊喜交集	jingxijiaoji
炯炯有神	jiongjiongyoushen
举目远望	jumuyuanwang
举手投足	jushoutouzu
举止不凡	juzhibufan
举止大方	juzhidafang
倔头强脑	juetoujiangnao
哭哭啼啼	kukutiti
夸夸其谈	kuakuaqitan
来回来去	laihuilaiqu
来势汹汹	laishixiongxiong
老泪纵横	laoleizongheng
老天拔地	laotianbadi
乐不可支	lebukezhi
乐以忘忧	leyiwangyou
雷厉风行	leilifengxing
泪流满面	leiliumanmian
楞手楞脚	lengshoulengjiao
力争上游	lizhengshangyou
连三跨五	liansankuawu
踉踉跄跄	liangliangqiangqiang
流星赶月	liuxingganyue
买椟还珠	maiduhuanzhu|maiduhaizhu
漫条斯理	mantiaosili
满载而归	manzaiergui
盲人摸象	mangrenmoxiang
眉飞色舞	meifeisewu
没精打采	meijingdacai
没轻没重	meiqingmeizhong
闷闷不乐	menmenbule
猛虎出山	menghuchushan
面面相觑	mianmianxiangqu
冥思苦想	mingsikuxiang
摩拳擦掌	moquancazhang
目不暇接	mubuxiajie
目不转睛	mubuzhuanjing
捏脚捏手	niejiaonieshou
蹑手蹑脚	nieshouniejiao
怒发冲冠	nufachongguan
怒目而视	numuershi
奴颜婢膝	nuyanbixi
捧腹大笑	pengfudaxiao
披星戴月	pixingdaiyue
飘飘欲仙	piaopiaoyuxian
平心静气	pingxinjingqi
婆婆妈妈	popomama
匍匐前进	pufuqianjin
泣不成声	qibuchengsheng
七脚八手	qijiaobashou
七上八下	qishangbaxia
七手八脚	qishoubajiao
七郄八手	qixibashou
七郤八手	qixibashou
前赴后继	qianfuhouji
前俯后仰	qianfuhouyang
巧捷万端	qiaojiewanduan
窃窃私语	qieqiesiyu
轻手轻脚	qingshouqingjiao
蜻蜓点水	qingtingdianshui
拳打脚踢	quandajiaoti
全力以赴	quanliyifu
日夜兼程	riyejiancheng
柔肠寸断	rouchangcunduan
撒科打诨	sakedahun
上窜下跳	shangcuanxiatiao
神出鬼没	shenchuguimo|shenchuguimei
身手敏捷	shenshouminjie
声泪俱下	shengleijuxia
失惊打怪	shijingdaguai
十万火速	shiwanhuosu
手不释卷	shoubushijuan
手到擒来	shoudaoqinlai
手急眼快	shoujiyankuai
手忙脚乱	shoumangjiaoluan
手舞足蹈	shouwuzudao
守株待兔	shouzhudaitu
手足无措	shouzuwucuo
贪生怕死	tanshengpasi
忐忑不安	tantebuan
探头探脑	tantoutannao
谈笑风生	tanxiaofengsheng
滔滔不绝	taotaobujue
提心吊胆	tixindiaodan
痛不欲生	tongbuyusheng
痛哭流涕	tongkuliuti
痛快淋漓	tongkuailinli
痛心疾首	tongxinjishou
偷偷摸摸	toutoumomo
兔起鹘落	tuqihuluo|tuqiguluo
吞吞吐吐	tuntuntutu
挖空心思	wakongxinsi
闻鸡起舞	wenjiqiwu
喜不自胜	xibuzisheng
喜出望外	xichuwangwai
席地而坐	xidierzuo
洗耳恭听	xiergongting
喜笑颜开	xixiaoyankai
心安理得	xinanlide
心潮澎湃	xinchaopengpai
心驰神往	xinchishenwang
心胆俱裂	xindanjulie
心烦意乱	xinfanyiluan
心花怒放	xinhuanufang
心急如焚	xinjirufen
心惊胆战	xinjingdanzhan
心旷神怡	xinkuangshenyi
心乱如麻	xinluanruma
心平气和	xinpingqihe
心如刀割	xinrudaoge
心如死灰	xinrusihui
心神恍惚	xinshenhuanghu
欣喜若狂	xinxiruokuang
心有余悸	xinyouyuji
心悦诚服	xinyuechengfu
星驰电走	xingchidianzou
形色仓皇	xingsecanghuang
悬梁刺股	xuanliangcigu
掩耳盗铃	yanerdaoling
眼疾手快	yanjishoukuai
眼尖手快	yanjianshoukuai
眼明手捷	yanmingshoujie
眼明手快	yanmingshoukuai
摇旗呐喊	yaoqinahan|yaoqinehan
摇头摆尾	yaotoubaiwei
摇头晃脑	yaotouhuangnao
耀武扬威	yaowuyangwei
咬牙切齿	yaoyaqiechi
一步登天	yibudengtian
义愤填膺	yifentianying
一举一动	yijuyidong
一来一往	yilaiyiwang
议论纷纷	yilunfenfen
一目十行	yimushihang|yimushixing
一瘸一拐	yiqueyiguai
一日千里	yiriqianli
营私舞弊	yingsiwubi
忧心忡忡	youxinchongchong
忧心如焚	youxinrufen
跃跃欲试	yueyueyushi
辗转反侧	zhanzhuanfance
张牙舞爪	zhangyawuzhao|zhangyawuzhua
指东划西	zhidonghuaxi
指东画西	zhidonghuaxi
指手划脚	zhishouhuajiao
指手画脚	zhishouhuajiao
支支吾吾	zhizhiwuwu
抓耳挠腮	zhuaernaosai
专心致志	zhuanxinzhizhi
走马观花	zoumaguanhua
走马看花	zoumakanhua
左顾右盼	zuoguyoupan
左右开弓	zuoyoukaigong
唉声叹气	aishengtanqi
岸然道貌	anrandaomao
黯然神伤	anranshenshang
黯然销魂	anranxiaohun
昂首挺胸	angshoutingxiong
傲慢无礼	aomanwuli
半信半疑	banxinbanyi
笨头笨脑	bentoubennao
毕恭毕敬	bigongbijing
屏声息气	bingshengxiqi|pingshengxiqi
勃然大怒	borandanu
不动声色	budongshengse
不苟言笑	bugouyanxiao
不露声色	bulushengse
不屑一顾	buxieyigu
不知所措	buzhisuocuo
怅然若失	changranruoshi
沉默寡言	chenmoguayan
沉吟不决	chenyinbujue
诚惶诚恐	chenghuangchengkong
瞠目结舌	chengmujieshe
迟疑不决	chiyibujue
愁眉不展	choumeibuzhan
丑态百出	choutaibaichu
楚楚可怜	chuchukelian
处之泰然	chuzhitairan
怆地呼天	chuangdihutian
怆天呼地	chuangtianhudi
垂头丧气	chuitousangqi
踔厉风发	chuolifengfa
从容不迫	congrongbupo
从容自若	congrongziruo
大惑不解	dahuobujie
大惊失色	dajingshise
大惊小怪	dajingxiaoguai
大摇大摆	dayaodabai
大义凛然	dayilinran
呆若木鸡	dairuomuji
道貌岸然	daomaoanran
得意忘形	deyiwangxing
得意洋洋	deyiyangyang
低唱浅斟	dichangqianzhen
抖擞精神	dousoujingshen
斗志昂扬	douzhiangyang
顿口无言	dunkouwuyan
咄咄逼人	duoduobiren
额手称庆	eshouchengqing
扼腕长叹	ewanchangtan
扼腕抵掌	ewandizhang
扼腕兴嗟	ewanxingjie
耳不旁听	erbupangting
发扬蹈厉	fayangdaoli
奋袂而起	fenmeierqi
风尘仆仆	fengchenpupu
丰度翩翩	fengdupianpian
抚掌大笑	fuzhangdaxiao
付之一笑	fuzhiyixiao
高情逸态	gaoqingyitai
鬼鬼祟祟	guiguisuisui
鬼哭狼嚎	guikulanghao
鬼哭神号	guikushenhao
含情脉脉	hanqingmomo|hanqingmaimai
和蔼可亲	heaikeqin
和颜悦色	heyanyuese
横眉怒目	hengmeinumu
哄堂大笑	hongtangdaxiao
呼天抢地	hutianqiangdi
狐疑不决	huyibujue
慌手慌脚	huangshouhuangjiao
灰头土面	huitoutumian
挤眉弄眼	jimeinongyan
疾言厉色	jiyanlise
戟指怒目	jizhinumu
缄口无言	jiankouwuyan
将信将疑	jiangxinjiangyi
矫揉造作	jiaorouzaozuo
交头接耳	jiaotoujieer
金刚怒目	jingangnumu
津津有味	jinjinyouwei
噤若寒蝉	jinruohanchan
惊慌失措	jinghuangshicuo
惊恐万状	jingkongwanzhuang
精疲力竭	jingpilijie
精神抖擞	jingshendousou
精神焕发	jingshenhuanfa
精神恍惚	jingshenhuanghu
炯炯有神	jiongjiongyoushen
局促不安	jucubuan
聚精会神	jujinghuishen
举止失措	juzhishicuo
绝口不道	juekoubudao
慷慨悲歌	kangkaibeige
慷慨陈词	kangkaichenci
哭天抹泪	kutianmolei
哭笑不得	kuxiaobude
老气横秋	laoqihengqiu
冷眼旁观	lengyanpangguan
六神无主	liushenwuzhu
龙马精神	longmajingshen
龙骧虎步	longxianghubu
龙骧虎视	longxianghushi
龙行虎步	longxinghubu
落落大方	luoluodafang
漫不经心	manbujingxin
毛骨悚然	maogusongran
眉飞色舞	meifeisewu
没精打采	meijingdacai
眉来眼去	meilaiyanqu
闷闷不乐	menmenbule
面红耳赤	mianhongerchi
面面相觑	mianmianxiangqu
眄视指使	mianshizhishi
冥思苦想	mingsikuxiang
目瞪口呆	mudengkoudai
目空一切	mukongyiqie
目中无人	muzhongwuren
拿腔做势	naqiangzuoshi
拿糖作醋	natangzuocu
喃喃自语	nannanziyu
恼羞成怒	naoxiuchengnu
泥塑木雕	nisumudiao
忸怩作态	niunizuotai
怒不可遏	nubukee
怒发冲冠	nufachongguan
怒火中烧	nuhuozhongshao
怒气冲天	nuqichongtian
怒形于色	nuxingyuse
旁若无人	pangruowuren
咆哮如雷	paoxiaorulei
捧腹大笑	pengfudaxiao
飘飘欲仙	piaopiaoyuxian
平心静气	pingxinjingqi
破涕为笑	potiweixiao
气喘吁吁	qichuanxuxu
泣下沾襟	qixiazhanjin
全神贯注	quanshenguanzhu
热泪盈眶	releiyingkuang
热情洋溢	reqingyangyi
忍俊不禁	renjunbujin
人困马乏	renkunmafa
容光焕发	rongguanghuanfa
如痴如狂	ruchirukuang
如痴如醉	ruchiruzui
如醉如痴	ruzuiruchi
如醉如狂	ruzuirukuang
若无其事	ruowuqishi
若有所失	ruoyousuoshi
若有所思	ruoyousuosi
搔头摸耳	saotoumoer
搔头抓耳	saotouzhuaer
杀鸡抹脖	shajimobo
少气无力	shaoqiwuli
舌挢不下	shejiaobuxia
舌桥不下	sheqiaobuxia
神采飞扬	shencaifeiyang
神采奕奕	shencaiyiyi
神气活现	shenqihuoxian
神气十足	shenqishizu
神清骨秀	shenqingguxiu
神清气朗	shenqingqilang
神清气爽	shenqingqishuang
神色自若	shenseziruo
神思恍惚	shensihuanghu
伸头缩颈	shentousuojing
声泪俱下	shengleijuxia
生龙活虎	shenglonghuohu
生气勃勃	shengqibobo
盛气凌人	shengqilingren
声音笑貌	shengyinxiaomao
师老兵疲	shilaobingpi
受宠若惊	shouchongruojing
舒眉展眼	shumeizhanyan
爽然若失	shuangranruoshi
睡眼惺忪	shuiyanxingsong
死皮赖脸	sipilailian
似醉如痴	sizuiruchi
缩手缩脚	suoshousuojiao
泰然自若	tairanziruo
谈笑风生	tanxiaofengsheng
谈笑自若	tanxiaoziruo
桃李精神	taolijingshen
啼饥号寒	tijihaohan
涕零如雨	tilingruyu
涕泗滂沱	tisipangtuo
投袂而起	toumeierqi
妄尘而拜	wangchenerbai
望尘而拜	wangchenerbai
温情脉脉	wenqingmomo|wenqingmaimai
温文尔雅	wenwenerya
文质彬彬	wenzhibinbin
无精打彩	wujingdacai
洗耳恭听	xiergongting
嘻皮笑脸	xipixiaolian
喜上眉梢	xishangmeishao
喜笑颜开	xixiaoyankai
仙风道骨	xianfengdaogu
笑容可掬	xiaorongkeju
笑逐颜开	xiaozhuyankai
胁肩谄笑	xiejianchanxiao
心不在焉	xinbuzaiyan
心力交瘁	xinlijiaocui
心平气和	xinpingqihe
形容枯槁	xingrongkugao
行色匆匆	xingsecongcong
形输色授	xingshuseshou
幸灾乐祸	xingzailehuo
兴致勃勃	xingzhibobo
凶神恶煞	xiongshenesha
雄姿英发	xiongziyingfa
羞人答答	xiurendada
寻死觅活	xunsimihuo
哑口无言	yakouwuyan
哑然失笑	yaranshixiao
燕颔虎颈	yanhanhujing
嫣然一笑	yanranyixiao
仰首伸眉	yangshoushenmei
泱泱大风	yangyangdafeng
仪表堂堂	yibiaotangtang
衣不解带	yibujiedai
一颦一笑	yipinyixiao
意气风发	yiqifengfa
意气自如	yiqiziru
意气自若	yiqiziruo
怡然自得	yiranzide
夷然自若	yiranziruo
义形于色	yixingyuse
鹰扬虎视	yingyanghushi
英姿勃勃	yingzibobo
英姿飒爽	yingzisashuang
雍容闲雅	yongrongxianya
雍容雅步	yongrongyabu
有气无力	youqiwuli
悠然自得	youranzide
悠闲自在	youxianzizai
张皇失措	zhanghuangshicuo
张口结舌	zhangkoujieshe
朝气蓬勃	zhaoqipengbo|chaoqipengbo
振奋人心	zhenfenrenxin
正襟危坐	zhengjinweizuo
众醉独醒	zhongzuiduxing
装腔作势	zhuangqiangzuoshi
龇牙咧嘴	ziyaliezui
自言自语	ziyanziyu
坐卧不安	zuowobuan
八字胡	bazihu
鼻直口方	bizhikoufang
标致	biaozhi
不修边幅	buxiubianfu
长发披肩	changfapijian
丑陋	choulou
大块头	dakuaitou
丹凤眼	danfengyan
端庄	duanzhuang
墩墩	dundun
肥胖	feipang
肥头大耳	feitoudaer
丰满	fengman
古铜色	gutongse
光闪闪	guangshanshan
国字脸	guozilian
汗涔涔	hancencen
黑黝黝	heiyouyou
红润	hongrun
虎背熊腰	hubeixiongyao
花枝招展	huazhizhaozhan
健美	jianmei
健壮	jianzhuang
魁梧	kuiwu
邋遢	lata
褴褛	lanlv
朗目高鼻	langmugaobi
冷冰冰	lengbingbing
柳叶眉	liuyemei
满面春风	manmianchunfeng
面如冠玉	mianruguanyu
苗条	miaotiao
明眸皓齿	mingmouhaochi
目光如电	muguangrudian
浓妆艳抹	nongzhuangyanmo
披肩发	pijianfa
朴素大方	pusudafang
俏丽	qiaoli
清秀	qingxiu
神采奕奕	shencaiyiyi
瘦脸深目	shoulianshenmu
水汪汪	shuiwangwang
亭亭玉立	tingtingyuli
温柔	wenrou
细高挑	xigaotiao
细眯眼	ximiyan
西装革履	xizhuanggelv
笑眯眯胖	xiaomimipang
笑嘻嘻	xiaoxixi
虚弱	xuruo
衣冠楚楚	yiguanchuchu
英姿勃勃	yingzibobo
油亮亮	youliangliang
