暗线	anxian
单线升降式	danxianshengjiangshi
单线直推式	danxianzhituishi
单线转折式	danxianzhuanzheshi
单向思维方式	danxiangsiweifangshi
单义词	danyici
单元共同体	danyuangongtongti
倒插笔	daochabi
导论	daolun
倒叙	daoxu
倒喻	daoyu
倒装格	daozhuangge
倒装句	daozhuangju
第二人称	dierrencheng
第二主题	dierzhuti
第二自然	dierziran
递进复句	dijinfuju
递进式	dijinshi
第三人称	disanrencheng
第一人称	diyirencheng
垫衬	dianchen
点化	dianhua
点面	dianmian
点染	dianran
点铁成金	diantiechengjin
典型材料	dianxingcailiao
调类	diaolei
调值	diaozhi
跌宕	diedang
叠韵	dieyun
叠字格	diezige
顶笔	dingbi
顶点	dingdian
定调	dingdiao
定义	dingyi
定语	dingyu
定语后置句	dingyuhouzhiju
顶针格	dingzhenge
顶真格	dingzhenge
动宾词组	dongbincizu
动词	dongci
动静	dongjing
动态描写	dongtaimiaoxie
逗号	douhao
独立式	dulishi
独立语	duliyu
独体字	dutizi
段落	duanluo
段落的单一性	duanluodedanyixing
段落的完整性	duanluodewanzhengxing
断取格	duanquge
断续	duanxu
短语	duanyu
对白	duibai
对比	duibi
对比联想	duibilianxiang
对比描写	duibimiaoxie
对比式	duibishi
对代	duidai
对话	duihua
对话描写	duihuamiaoxie
对立概念	duiligainian
对面描写	duimianmiaoxie
对偶格	duiouge
对仗格	duizhangge
顿	dun
顿笔	dunbi
顿挫	duncuo
顿宕	dundang
顿跌格	dundiege
顿号	dunhao
多层定语	duocengdingyu
多层状语	duocengzhuangyu
多重否定句	duochongfoudingju
多重复句	duochongfuju
多角度描写	duojiaodumiaoxie
多线交叉式	duoxianjiaochashi
多线结构	duoxianjiegou
多义词	duoyici
多义词组	duoyicizu
多主题	duozhuti
二分法	erfenfa
儿化	erhua
二难推理	ernantuili
发端	faduan
发句	faju
发生定义	fashengdingyi
发展	fazhan
发展中的人物	fazhanzhongderenwu
反笔	fanbi
反驳	fanbo
反衬	fanchen
反承	fancheng
反对概念	fanduigainian
反复	fanfu
反复格	fanfuge
反话正说	fanhuazhengshuo
繁简	fanjian
反接	fanjie
反诘格	fanjiege
反诘疑问句	fanjieyiwenju
反类题尊法	fanleitizunfa
翻论	fanlun
反面铺垫	fanmianpudian
反面人物	fanmianrenwu
反情节	fanqingjie
繁说格	fanshuoge
繁体字	fantizi
反问格	fanwenge
反问句	fanwenju
反义词	fanyici
反引	fanyin
泛音	fanyin
反喻	fanyu
反语格	fanyuge
反振法	fanzhenfa
反正	fanzheng
反证法	fanzhengfa
犯中见避	fanzhongjianbi
仿拟格	fangnige
方位词	fangweici
方位词组	fangweicizu
方言词	fangyanci
方言土语	fangyantuyu
飞白格	feibaige
非集合概念	feijihegainian
非情节因素	feiqingjieyinsu
非主谓句	feizhuweiju
分寸感	fencungan
分号	fenhao
分解	fenjie
分句	fenju
分类	fenlei
分类说明	fenleishuoming
分论点	fenlundian
分析	fenxi
分析法	fenxifa
分析与综合	fenxiyuzonghe
分叙	fenxu
分总	fenzong
分总式	fenzongshi
讽刺	fengci
风景画	fengjinghua
风俗画	fengsuhua
讽喻格	fengyuge
否定概念	foudinggainian
否定句	foudingju
否定判断	foudingpanduan
伏笔	fubi
副标题	fubiaoti
副词	fuci
复迭咏叹	fudieyongtan
负概念	fugainian
复合词	fuheci
复合判断	fuhepanduan
复合式	fuheshi
复句	fuju
复句的分类	fujudefenlei
负判断	fupanduan
辐射式结构	fusheshijiegou
复式结构	fushijiegou
复沓式	futashi
副题	futi
副线	fuxian
复线	fuxian
复线结构	fuxianjiegou
附性法	fuxingfa
浮游情节	fuyouqingjie
复杂词组	fuzacizu
复杂的单句	fuzadedanju
复杂判断	fuzapanduan
复杂推理	fuzatuili
副主题	fuzhuti
概括	gaikuo
概括法	gaikuofa
概括描写	gaikuomiaoxie
概念	gainian
概念的包含关系	gainiandebaohanguanxi
概念的包含于关系	gainiandebaohanyuguanxi
概念的不相容关系	gainiandebuxiangrongguanxi
概念的重合关系	gainiandechongheguanxi
概念的从属关系	gainiandecongshuguanxi
概念的反对关系	gainiandefanduiguanxi
概念的否定关系	gainiandefoudingguanxi
概念的概括	gainiandegaikuo
概念的关系	gainiandeguanxi
概念的交叉关系	gainiandejiaochaguanxi
概念的扩大法	gainiandekuodafa
概念的矛盾关系	gainiandemaodunguanxi
概念的全同关系	gainiandequantongguanxi
概念的全异关系	gainiandequanyiguanxi
概念的上属关系	gainiandeshangshuguanxi
概念的属种关系	gainiandeshuzhongguanxi
概念的缩小法	gainiandesuoxiaofa
概念的同一关系	gainiandetongyiguanxi
概念的下属关系	gainiandexiashuguanxi
概念的限定	gainiandexianding
概念的限制	gainiandexianzhi
概念的相容关系	gainiandexiangrongguanxi
概念的主从关系	gainiandezhucongguanxi
概念概括的推演	gainiangaikuodetuiyan
概念限制的推演	gainianxianzhidetuiyan
概念与语词的关系	gainianyuyucideguanxi
概叙	gaixu
感情的强烈度	ganqingdeqiangliedu
感情的清晰度	ganqingdeqingxidu
感情的特殊性	ganqingdeteshuxing
感情的自然流露	ganqingdeziranliulu
感叹格	gantange
感叹号	gantanhao
感叹句	gantanju
感叹语	gantanyu
高潮	gaochao
高潮点	gaochaodian
高峰	gaofeng
个别表象	gebiebiaoxiang
个别与一般	gebieyuyiban
格局	geju
个性与共性	gexingyugongxing
格言	geyan
隔与不隔	geyubuge
工笔	gongbi
共变法	gongbianfa
巩固论点	gonggulundian
功用定义	gongyongdingyi
勾勒	goule
构思	gousi
构思契机	gousiqiji
构思线索	gousixiansuo
固定词组	gudingcizu
古文	guwen
固有属性	guyoushuxing
古语词	guyuci
关锁	guansuo
关系定义	guanxidingyi
关系判断	guanxipanduan
关系推理	guanxituili
惯用语	guanyongyu
龟甲文字	guijiawenzi
归谬法	guimiufa
归纳法	guinafa
归纳论证	guinalunzheng
归纳推理	guinatuili
过渡	guodu
过渡词语	guoduciyu
过渡段	guoduduan
过渡句	guoduju
过接	guojie
过脉	guomai
过文	guowen
过与不及	guoyubuji
汉隶	hanli
含情式议论	hanqingshiyilun
汉字	hanzi
行款	hangkuan
行业词语	hangyeciyu
合说格	heshuoge
合体字	hetizi
合叙	hexu
合辙	hezhe
横桥锁溪法	hengqiaosuoxifa
横式结构	hengshijiegou
横云断山法	hengyunduanshanfa
宏观素材	hongguansucai
宏观信息素材	hongguanxinxisucai
烘托	hongtuo
后应	houying
呼告格	hugaoge
互文格	huwenge
互喻	huyu
呼语	huyu
化白为黑	huabaiweihei
划分	huafen
花开两朵各表一枝	huakailiangduogebiaoyizhi
缓承	huancheng
幻化	huanhua
缓接	huanjie
环境	huanjing
环境描写	huanjingmiaoxie
幻觉	huanjue
幻觉描写	huanjuemiaoxie
换名	huanming
换算格	huansuange
换位法	huanweifa
换义格	huanyige
换质法	huanzhifa
换质位法	huanzhiweifa
回	hui
回环格	huihuange
绘图说明	huitushuoming
回文格	huiwenge
回忆表象	huiyibiaoxiang
回喻	huiyu
活法	huofa
或然否定判断	huoranfoudingpanduan
或然肯定判断	huorankendingpanduan
计白守黑	jibaishouhei
基本词汇	jibencihui
基本论点	jibenlundian
基本主题	jibenzhuti
技法	jifa
集合概念	jihegainian
积极想象	jijixiangxiang
积极修辞	jijixiuci
急接	jijie
集纳式结构	jinashijiegou
技巧	jiqiao
及物动词	jiwudongci
即物明理	jiwumingli
即小见大	jixiaojianda
记忆表象	jiyibiaoxiang
基音	jiyin
集中	jizhong
甲骨文	jiaguwen
假设复句	jiashefuju
假说	jiashuo
夹叙夹议	jiaxujiayi
假言判断	jiayanpanduan
假言推理	jiayantuili
剪裁	jiancai
简称	jiancheng
简单判断	jiandanpanduan
简单推理	jiandantuili
间隔号	jiangehao
简化字	jianhuazi
间接夸张	jianjiekuazhang
间接论证	jianjielunzheng
间接描写	jianjiemiaoxie
间接抒情	jianjieshuqing
间接推理	jianjietuili
简缩格	jiansuoge
间歇	jianxie
兼语词组	jianyucizu
兼语句	jianyuju
将人拟物	jiangrenniwu
将物拟人	jiangwuniren
降用格	jiangyongge
交代	jiaodai
较喻	jiaoyu
节	jie
介宾词组	jiebincizu
介词	jieci
介词词组	jiecicizu
借代格	jiedaige
借端托寓	jieduantuoyu
结构	jiegou
结构大纲	jiegoudagang
结构点	jiegoudian
结构段	jiegouduan
结构面	jiegoumian
结构线	jiegouxian
结构线索	jiegouxiansuo
结构转换	jiegouzhuanhuan
接近联想	jiejinlianxiang
借景抒情	jiejingshuqing
结句	jieju
结局	jieju
结论	jielun
结末垂戒法	jiemochuijiefa
结末括应法	jiemokuoyingfa
结末推广法	jiemotuiguangfa
结末推原法	jiemotuiyuanfa
截取	jiequ
界说	jieshuo
结尾	jiewei
诘问格	jiewenge
借叙	jiexu
结意有余法	jieyiyouyufa
介音	jieyin
借喻	jieyu
节制	jiezhi
紧承	jincheng
近接	jinjie
筋脉	jinmai
紧缩复句	jinsuofuju
进退	jintui
金文	jinwen
今字	jinzi
精警法	jingjingfa
精警格	jingjingge
精警生辉法	jingjingshenghuifa
警句	jingju
警辟式议论	jingpishiyilun
敬谦格	jingqiange
静态描写	jingtaimiaoxie
警语	jingyu
扃平人物	jiongpingrenwu
纠纷	jiufen
纠葛	jiuge
句法	jufa
句号	juhao
聚焦	jujiao
举例	juli
举例说明	julishuoming
句群	juqun
句式	jushi
具体概念	jutigainian
具体环境	jutihuanjing
具象式议论	juxiangshiyilun
句型	juxing
句子	juzi
句子成分	juzichengfen
句组	juzu
绝笔	juebi
绝对概念	jueduigainian
开场	kaichang
开端	kaiduan
开阖	kaihe
开掘	kaijue
开篇	kaipian
楷书	kaishu
开头	kaitou
考核	kaohe
考据	kaoju
考信	kaoxin
考证	kaozheng
蝌蚪文	kedouwen
刻符	kefu
科学思维	kexuesiwei
科学语体	kexueyuti
肯定概念	kendinggainian
肯定句	kendingju
肯定判断	kendingpanduan
空白	kongbai
空间线索	kongjianxiansuo
口头语言	koutouyuyan
口语	kouyu
夸张	kuazhang
夸张格	kuazhangge
快与慢	kuaiyuman
扩大的夸张	kuodadekuazhang
括号	kuohao
扩喻	kuoyu
类比联想	leibilianxiang
类比推理	leibituili
冷抒情	lengshuqing
离合	lihe
立论	lilun
理论思维	lilunsiwei
历史词语	lishiciyu
隶书	lishu
立意	liyi
联边格	lianbiange
连词	lianci
连动词组	liandongcizu
连动句	liandongju
联合词组	lianhecizu
连环式结构	lianhuanshijiegou
联绵词	lianmianci
连锁式	liansuoshi
联想	lianxiang
联想思维	lianxiangsiwei
链形结构	lianxingjiegou
联言判断	lianyanpanduan
联言推理	lianyantuili
炼意	lianyi
连珠格	lianzhuge
量词	liangci
亮观点	liangguandian
列举	lieju
灵感	linggan
灵感思维	linggansiwei
流传情节	liuchuanqingjie
留进	liujin
六书	liushu
留虚白	liuxubai
略叙	luexu
论点	lundian
论点后出	lundianhouchu
论据	lunju
论题	lunti
轮叙	lunxu
论证	lunzheng
落后人物	luohourenwu
逻辑段	luojiduan
逻辑方法	luojifangfa
逻辑结构	luojijiegou
逻辑思维	luojisiwei
逻辑线索	luojixiansuo
埋伏	maifu
脉络	mailuo
矛盾冲突	maodunchongtu
矛盾律	maodunlv
冒号	maohao
美与丑	meiyuchou
梦幻	menghuan
梦境描写	mengjingmiaoxie
描写	miaoxie
描写句	miaoxieju
民族化的结构艺术	minzuhuadejiegouyishu
明暗	mingan
名词	mingci
命脉	mingmai
明线	mingxian
明喻	mingyu
谬误	miuwu
缪篆	miuzhuan
模糊语言	mohuyuyan
摹绘格	mohuige
末句	moju
摹声	mosheng
摹声词	moshengci
模态判断	motaipanduan
模特儿	moteer
摹印	moyin
谋篇	moupian
目的复句	mudifuju
那辗	nazhan
内包	neibao
内动词	neidongci
内涵	neihan
内涵定义	neihandingyi
内结构	neijiegou
内心独白	neixindubai
内心告白	neixingaobai
内籀	neizhou
逆笔	nibi
逆反心理	nifanxinli
逆接	nijie
逆起	niqi
拟人	niren
拟人作用	nirenzuoyong
拟声词	nishengci
逆挽式	niwanshi
拟物	niwu
逆振法	nizhenfa
拈连格	nianliange
鸟虫书	niaochongshu
浓缩论据	nongsuolunju
弄引法	nongyinfa
偶然性情节	ouranxingqingjie
偶然与必然	ouranyubiran
偶有属性	ouyoushuxing
排比格	paibige
排除格	paichuge
排中律	paizhonglv
判断	panduan
判断变形推理	panduanbianxingtuili
判断句	panduanju
旁代	pangdai
陪衬	peichen
陪衬人物	peichenrenwu
陪音	peiyin
譬喻	piyu
譬喻格	piyuge
篇	pian
偏旁	pianpang
偏正词组	pianzhengcizu
撇语格	pieyuge
评断	pingduan
平叙	pingxu
平仄	pingze
破折号	pozhehao
普遍概念	pubiangainian
铺垫	pudian
普通逻辑	putongluoji
朴与灵	puyuling
起笔	qibi
契合差异并用法	qihechayibingyongfa
契合法	qihefa
气接	qijie
起句	qiju
祈使句	qishiju
起头	qitou
契文	qiwen
起兴	qixing
起兴格	qixingge
起因	qiyin
奇正	qizheng
前伏	qianfu
潜意识	qianyishi
潜在人物	qianzairenwu
嵌字格	qianzige
强烈呼告	qiangliehugao
强喻	qiangyu
巧合	qiaohe
擒纵	qinzong
情感	qinggan
情感表现	qingganbiaoxian
情感的复杂性	qinggandefuzaxing
情感的价值	qinggandejiazhi
情感的理性控制	qinggandelixingkongzhi
情感的认识内容	qingganderenshineirong
情感的提炼	qinggandetilian
情感的支配作用	qinggandezhipeizuoyong
情节	qingjie
情节线	qingjiexian
情节线索	qingjiexiansuo
情境	qingjing
情景交融	qingjingjiaorong
轻声	qingsheng
情态细节描写	qingtaixijiemiaoxie
情绪线索	qingxuxiansuo
情与景	qingyujing
情与理	qingyuli
求同法	qiutongfa
求同求异并用法	qiutongqiuyibingyongfa
求异法	qiuyifa
曲笔	qubi
区别判断	qubiepanduan
取材	qucai
曲解格	qujiege
取境与创境	qujingyuchuangjing
取舍	qushe
去声	qusheng
取事	qushi
曲折	quzhe
曲直	quzhi
全称否定判断	quanchengfoudingpanduan
全称肯定判断	quanchengkendingpanduan
全称判断	quanchengpanduan
诠释概念	quanshigainian
全与不全	quanyubuquan
让一步法	rangyibufa
绕笔	raobi
人称转换	renchengzhuanhuan
人化了的自然	renhualedeziran
人物	renwu
人物描写	renwumiaoxie
人物性格线	renwuxinggexian
人物语言	renwuyuyan
人物圆心结构	renwuyuanxinjiegou
人物原型	renwuyuanxing
入声	rusheng
三叠式结构	sandieshijiegou
三段论	sanduanlun
三段论的省略式	sanduanlundeshenglueshi
三段论第二格	sanduanlundierge
三段论第三格	sanduanlundisange
三段论第四格	sanduanlundisige
三段论第一格	sanduanlundiyige
散整	sanzheng
上声	shangsheng
上位概念	shangweigainian
少与多	shaoyuduo
社会环境	shehuihuanjing
社会环境描写	shehuihuanjingmiaoxie
设问格	shewenge
神似	shensi
审题	shenti
省笔	shengbi
声调	shengdiao
声符	shengfu
生活细节描写	shenghuoxijiemiaoxie
升降式	shengjiangshi
省略格	shengluege
省略号	shengluehao
省略句	shenglueju
声母	shengmu
声旁	shengpang
剩余法	shengyufa
实笔	shibi
实词	shici
释词格	shicige
时代环境	shidaihuanjing
是非问句	shifeiwenju
石鼓文	shiguwen
时间线索	shijianxiansuo
时空交叉式结构	shikongjiaochashijiegou
时空结构	shikongjiegou
事理线索	shilixiansuo
诗情提炼	shiqingtilian
施事	shishi
实题	shiti
实体概念	shitigainian
事务语体	shiwuyuti
示现格	shixiange
收笔	shoubi
收场	shouchang
首段	shouduan
收放	shoufang
收结	shoujie
首句	shouju
首括式	shoukuoshi
受事	shoushi
收束	shoushu
收尾	shouwei
首尾括式	shouweikuoshi
数词	shuci
数词缩语	shucisuoyu
束发	shufa
束放	shufang
属概念	shugainian
属加种差定义	shujiazhongchadingyi
书卷语体	shujuanyuti
数量词组	shuliangcizu
疏密	shumi
书面语言	shumianyuyan
书名号	shuminghao
抒情	shuqing
抒情主人公	shuqingzhurengong
殳书	shushu
署书	shushu
属性概念	shuxinggainian
述语	shuyu
术语	shuyu
熟语	shuyu
双宾语句	shuangbinyuju
双部句	shuangbuju
双关格	shuangguange
双括式	shuangkuoshi
双声	shuangsheng
双线交叉式	shuangxianjiaochashi
双线结构	shuangxianjiegou
双线明暗交叉式	shuangxianminganjiaochashi
双线平行式	shuangxianpingxingshi
顺承复句	shunchengfuju
顺接	shunjie
顺逆	shunni
顺叙	shunxu
顺序	shunxu
说反话	shuofanhua
说理	shuoli
说明	shuoming
思路	silu
思路的开拓	siludekaituo
思维方法	siweifangfa
思维结构	siweijiegou
思维线索	siweixiansuo
廋辞	souci
素材	sucai
俗语	suyu
缩放	suofang
缩小	suoxiao
缩小的夸张	suoxiaodekuazhang
缩喻	suoyu
他动词	tadongci
獭尾法	taweifa
抬高跌重法	taigaodiezhongfa
叹词	tanci
谈话语体	tanhuayuti
特称否定判断	techengfoudingpanduan
特称肯定判断	techengkendingpanduan
特称判断	techengpanduan
特殊表象	teshubiaoxiang
特叙	texu
特有属性	teyoushuxing
特指问句	tezhiwenju
题材	ticai
题材多样化	ticaiduoyanghua
提纲的编写	tigangdebianxie
题理	tili
提炼	tilian
题目	timu
题窍	tiqiao
题旨	tizhi
条件复句	tiaojianfuju
条件判断	tiaojianpanduan
条理	tiaoli
跳脱格	tiaotuoge
调型	tiaoxing
跳越	tiaoyue
跳跃式	tiaoyueshi
停笔	tingbi
通感	tonggan
通感格	tonggange
统觉	tongjiao|tongjue
同位词组	tongweicizu
同义词	tongyici
同一律	tongyilv
同音词	tongyinci
同语格	tongyuge
突起	tuqi
推广	tuiguang
推理	tuili
推论	tuilun
推原	tuiyuan
托古	tuogu
脱化	tuohua
托事	tuoshi
托物	tuowu
瓦当文	wadangwen
外包	waibao
外动词	waidongci
外来词	wailaici
外延	waiyan
外延定义	waiyandingyi
外籀	waizhou
婉曲格	wanquge
婉叙	wanxu
婉转格	wanzhuange
网络结构	wangluojiegou
微观素材	weiguansucai
微观信息素材	weiguanxinxisucai
尾括式	weikuoshi
唯情节	weiqingjie
尾声	weisheng
委婉格	weiwange
谓语	weiyu
问号	wenhao
文脉	wenmai
文学语言	wenxueyuyan
文意	wenyi
文字	wenzi
文字语	wenziyu
误会	wuhui
无形与有形	wuxingyuyouxing
无意识	wuyishi
无意想象	wuyixiangxiang
析词格	xicige
细节	xijie
细节描写	xijiemiaoxie
细描	ximiao
析取判断	xiqupanduan
系统结构	xitongjiegou
系统思维方式	xitongsiweifangshi
细叙	xixu
析字格	xizige
下位概念	xiaweigainian
下意识	xiayishi
闲笔	xianbi
先后	xianhou
显晦	xianhui
衔接	xianjie
线索	xiansuo
相对概念	xiangduigainian
详略	xianglue
镶嵌格	xiangqiange
相容选言判断	xiangrongxuanyanpanduan
象声词	xiangshengci
象声语	xiangshengyu
想象	xiangxiang
想象表象	xiangxiangbiaoxiang
象形文字	xiangxingwenzi
详叙	xiangxu
象征	xiangzheng
象征的同情	xiangzhengdetongqing
象征式结构	xiangzhengshijiegou
象征性细节	xiangzhengxingxijie
镶字格	xiangzige
小标题	xiaobiaoti
消极想象	xiaojixiangxiang
消极修辞	xiaojixiuci
肖像描写	xiaoxiangmiaoxie
小中见大	xiaozhongjianda
小篆	xiaozhuan
写意	xieyi
楔子	xiezi
心理表象	xinlibiaoxiang
心理描写	xinlimiaoxie
心理意识线索	xinliyishixiansuo
心象	xinxiang
兴	xing
行动描写	xingdongmiaoxie
性格分析式议论	xinggefenxishiyilun
性格线索	xinggexiansuo
形旁	xingpang
兴起	xingqi
形容词	xingrongci
形神	xingshen
形式逻辑基本规律	xingshiluojijibenguilv
行书	xingshu
形似	xingsi
形象受孕	xingxiangshouyun
形象思维	xingxiangsiwei
性质定义	xingzhidingyi
性质判断	xingzhipanduan
修辞	xiuci
修辞方式	xiucifangshi
修辞格	xiucige
虚笔	xubi
虚词	xuci
蓄放	xufang
虚构	xugou
绪论	xulun
序幕	xumu
蓄势	xushi
虚实	xushi
叙事	xushi
叙事出情	xushichuqing
叙述	xushu
叙述角	xushujiao
叙述角度	xushujiaodu
叙述句	xushuju
叙述人称	xushurencheng
叙述人语言	xushurenyuyan
虚题	xuti
叙中夹议	xuzhongjiayi
选材	xuancai
选承	xuancheng
选接	xuanjie
悬念	xuannian
渲染	xuanran
选言论证法	xuanyanlunzhengfa
选言判断	xuanyanpanduan
选言推理	xuanyantuili
选择	xuanze
选择复句	xuanzefuju
选择角度	xuanzejiaodu
选择问句	xuanzewenju
压韵	yayun
押韵	yayun
延宕	yandang
延宕式	yandangshi
延搁	yange
眼目	yanmu
演绎法	yanyifa
演绎论证	yanyilunzheng
演绎推理	yanyituili
谚语	yanyu
阳平	yangping
遥接	yaojie
意	yi
一般表象	yibanbiaoxiang
一般词汇	yibancihui
一石数鸟法	yidanshuniaofa
意符	yifu
依附于理的抒情	yifuyulideshuqing
一击两鸣法	yijiliangmingfa
一箭双雕法	yijianshuangdiaofa
意接	yijie
移就格	yijiuge
移觉格	yijuege
义理	yili
疑离格	yilige
议论	yilun
意脉	yimai
意念线索	yinianxiansuo
移情	yiqing
移情格	yiqingge
以人拟物	yirenniwu
易色格	yisege
艺术辩证法	yishubianzhengfa
艺术表现手段	yishubiaoxianshouduan
艺术冲动	yishuchongdong
艺术灵感	yishulinggan
艺术式议论	yishushiyilun
艺术手法	yishushoufa
艺术思维	yishusiwei
艺术语体	yishuyuti
艺术语言	yishuyuyan
异体字	yitizi
意外笔	yiwaibi
疑问句	yiwenju
以物拟人	yiwuniren
意象	yixiang
以小见大	yixiaojianda
抑扬	yiyang
意义段	yiyiduan
音长	yinchang
音高	yingao
因果复句	yinguofuju
因果式	yinguoshi
引号	yinhao
音节	yinjie
引论	yinlun
阴平	yinping
音强	yinqiang
音色	yinse
引申义	yinshenyi
隐显	yinxian
殷墟文字	yinxuwenzi
引言	yinyan
引用格	yinyongge
隐语	yinyu
隐喻	yinyu
引喻	yinyu
隐与秀	yinyuxiu
引证法	yinzhengfa
映衬	yingchen
映衬格	yingchenge
影射	yingshe
英雄人物	yingxiongrenwu
永恒主题	yonghengzhuti
用事	yongshi
咏叹	yongtan
咏物抒情	yongwushuqing
有限与无限	youxianyuwuxian
有意想象	youyixiangxiang
有与无	youyuwu
语词定义	yucidingyi
纡辞格	yucige
语段	yuduan
语法	yufa
语法单位	yufadanwei
语法功能	yufagongneng
语法关系	yufaguanxi
语法结构	yufajiegou
语法特点	yufatedian
语法形式	yufaxingshi
语法学	yufaxue
语法意义	yufayiyi
预伏	yufu
语境	yujing
寓理	yuli
喻起	yuqi
语气词	yuqici
预示	yushi
语素	yusu
语体	yuti
语序变化	yuxubianhua
语言	yuyan
语言的参差美	yuyandecencimei
语言的大众化	yuyandedazhonghua
语言的个性化	yuyandegexinghua
语言的回环美	yuyandehuihuanmei
语言的节奏	yuyandejiezou
语言的生动性	yuyandeshengdongxing
语言的鲜明性	yuyandexianmingxing
语言的形象化	yuyandexingxianghua
语言的抑扬美	yuyandeyiyangmei
语言的音乐美	yuyandeyinyuemei
语言的整齐美	yuyandezhengqimei
语言的准确性	yuyandezhunquexing
语言描写	yuyanmiaoxie
欲抑先扬法	yuyixianyangfa
语音	yuyin
迂喻	yuyu
喻证法	yuzhengfa
宇宙的人情化	yuzhouderenqinghua
远承	yuancheng
远接	yuanjie
原起	yuanqi
原始材料	yuanshicailiao
原型	yuanxing
圆形人物	yuanxingrenwu
原因与结果	yuanyinyujieguo
圆整人物	yuanzhengrenwu
约叙	yuexu
乐音	yueyin
韵腹	yunfu
韵母	yunmu
酝酿	yunniang
韵头	yuntou
韵尾	yunwei
再造想象	zaizaoxiangxiang
造句法	zaojufa
噪音	zaoyin
增字格	zengzige
章	zhang
张弛	zhangchi
照应	zhaoying
照映	zhaoying
哲理型议论	zhelixingyilun
折绕格	zheraoge
真实定义	zhenshidingyi
正标题	zhengbiaoti
正常与反常	zhengchangyufanchang
正衬	zhengchen
正承	zhengcheng
正反问句	zhengfanwenju
正概念	zhenggainian
正话反说	zhenghuafanshuo
正接	zhengjie
正论	zhenglun
政论语体	zhenglunyuti
正面描写	zhengmianmiaoxie
