阿曼米黄	amanmihuang
霸王棕	bawangzong
坝系	baxi
巴西黑	baxihei
巴西红	baxihong
巴西紫水晶	baxizishuijing
八仙花	baxianhua
坝型	baxing
扒移力	bayili
坝轴线	bazhouxian
白菜类蔬菜	baicaileishucai
白菜型油菜	baicaixingyoucai
白车轴草	baichezhoucao
白炽灯	baichideng
百虫窝	baichongwo
白刺	baici
白丁香	baidingxiang
白垩系	baiexi
白附子	baifuzi
白宫米黄	baigongmihuang
白海棠	baihaitang
百合科	baiheke
白糊糊	baihuhu
白花菜	baihuacai
白环俞	baihuanyu|baihuanshu
白鹃梅	baijuanmei
柏科	baike
百劳	bailao
拜领	bailing
白领化	bailinghua
白窿石	bailongshi
百脉根	baimaigen
白米分级	baimifenji
白判	baipan
白千层	baiqianceng
白砂米黄	baishamihuang
白砂石	baishashi
白沙州	baishazhou
白橡	baixiang
白橡木	baixiangmu
摆闸	baizha
半板	banban
半边莲	banbianlian
板材	bancai
半成品	banchengpin
半导体	bandaoti
半导体玻璃	bandaotiboli
半导体陶瓷	bandaotitaoci
板底钢筋	bandigangjin
斑点	bandian
板顶	banding
板顶钢筋	bandinggangjin
半冬性	bandongxing
板枋材	banfangcai
绊根草	bangencao
办公室	bangongshi
拌合机	banheji
半混合湖	banhunhehu
拌和	banhuo
拌和法	banhefa|banhuofa
拌和楼	banhuolou
拌和设备	banhuoshebei
斑晶	banjing
板块边界	bankuaibianjie
板块运动	bankuaiyundong
伴侣动物	banlvdongwu
斑马红	banmahong
半耐寒蔬菜	bannaihanshucai
板内地震	banneidizhen
版权	banquan
瓣蕊唐松草	banruitangsongcao
半身不遂	banshenbusui
板式散热器	banshisanreqi
板式橡胶支座	banshixiangjiaozhizuo
扳手套筒	banshoutaotong
伴送	bansong
板条抹灰	bantiaomohui
板岩	banyan
拌种机	banzhongji
斑状结构	banzhuangjiegou
班组	banzu
蚌花	banghua
傍名人	bangmingren
绑扎	bangza
帮扎	bangzha
帮扎钢筋	bangzhagangjin
保安器材	baoanqicai
薄壁钢管	baobigangguan
刨边机	baobianji|paobianji
报不成	baobucheng
薄层电阻	baocengdianzu
薄层流	baocengliu
保持水土	baochishuitu
暴沸	baofei
包箍	baogu
保管期限	baoguanqixian
雹害	baohai
饱和度	baohedu
饱和湿度	baoheshidu
饱和土	baohetu
饱和指数	baohezhishu
刨痕	baohen
暴洪	baohong
暴洪河流	baohongheliu
保护工作	baohugongzuo
保护膜	baohumo
保护农田	baohunongtian
保护与开发	baohuyukaifa
保护站	baohuzhan
胞肓	baohuang
保活	baohuo
保假	baojia
保健菜	baojiancai
宝金米黄	baojinmihuang
宝金石	baojinshi
报警蜂鸣器	baojingfengmingqi
枹栎	baoli
保丽板	baoliban
爆粒玉米	baoliyumi
保廉	baolian
暴盲	baomang
保密系统	baomixitong
保密学	baomixue
报名回执	baominghuizhi
刨木机	baomuji
豹皮花	baopihua
爆破漏斗	baopoloudou
曝气	baoqi
包气带水	baoqidaishui
宝石兰	baoshilan
宝塔组	baotazu
爆腾	baoteng
保险丝	baoxiansi
宝兴白	baoxingbai
暴雨径流	baoyujingliu
暴雨强度	baoyuqiangdu
抱子甘蓝	baoziganlan
北部边界	beibubianjie
被动锁模	beidongsuomo
被动显示	beidongxianshi
北风	beifeng
倍感欣慰	beiganxinwei
被关停	beiguanting
被害率	beihailv
北极	beiji
备件	beijian
北京丁香	beijingdingxiang
背景辐射	beijingfushe
北京理正	beijinglizheng
背景幕	beijingmu
北京杨	beijingyang
备课时	beikeshi
背立面	beilimian
悖乱	beiluan
背面	beimian
背坡	beipo
贝沙金	beishajin
备受欢迎	beishouhuanying
备受青睐	beishouqinglai
背水面	beishuimian
背水坡	beishuipo
陂塘	beitang
北西西	beixixi
北向坡	beixiangpo
北翼	beiyi
倍增极	beizengji
倍增系统	beizengxitong
本次工作	bencigongzuo
本次勘察	bencikancha
本构关系	bengouguanxi
本构模型	bengoumoxing
本来就是如此	benlaijiushiruci
本年预算	bennianyusuan
本征载流子	benzhengzailiuzi
崩岗	benggang
泵浦	bengpu
泵浦速率	bengpusulv
泵浦效率	bengpuxiaolv
崩塌	bengta
泵站	bengzhan
泵站排水	bengzhanpaishui
泵座	bengzuo
避病性	bibingxing
壁灯架	bidengjia
比电容	bidianrong
笔断意连	biduanyilian
壁挂电视	biguadianshi
髀关	biguan
比贯入阻力	biguanruzuli
闭架	bijia
必佳	bijia
逼近	bijin
逼近度	bijindu
闭坑	bikeng
闭坑后	bikenghou
鼻孔	bikong
避雷器型号	bileiqixinghao
避雷系统	bileixitong
避雷针	bileizhen
比例	bili
闭流区	biliuqu
闭路循环	biluxunhuan
臂臑	binao
比能量	binengliang
比容量	birongliang
比萨锅	bisaguo
闭水试验	bishuishiyan
鼻通	bitong
壁效应	bixiaoying
必须互相	bixuhuxiang
必需元素	bixuyuansu
毕业实习报告	biyeshixibaogao
鼻渊	biyuan
闭证	bizheng
壁纸	bizhi
比值计	bizhiji
边瓣	bianban
变标高	bianbiaogao
变长码	bianchangma
编程调试	bianchengtiaoshi
编凑	biancou
鞭打快驴	biandakuailv
便道	biandao
变电所	biandiansuo
边墩	biandun
变更通知	biangengtongzhi
边沟	biangou
变光灯	bianguangdeng
边夯	bianhang
编花	bianhua
变换	bianhuan
变换增益	bianhuanzengyi
贬毁	bianhui
边际效应	bianjixiaoying
边界角	bianjiejiao
边界条件	bianjietiaojian
变孔隙滤池	biankongxilvchi
边框	biankuang
边框梁	biankuangliang
边框柱	biankuangzhu
变量	bianliang
变量数列	bianliangshulie
编码	bianma
编码定理	bianmadingli
编目	bianmu
编目造册	bianmuzaoce
变配电站	bianpeidianzhan
变频柜	bianpingui
变频器	bianpinqi
边坡	bianpo
边坡平台	bianpopingtai
边坡坡度	bianpopodu
边坡稳定	bianpowending
边坡治理	bianpozhili
扁桃果	biantaoguo
边图	biantu
变温水层	bianwenshuiceng
边线	bianxian
变形	bianxing
变性	bianxing
变形模量	bianxingmoliang
变形特征	bianxingtezheng
变压器	bianyaqi
编译码器	bianyimaqi
边缘构件	bianyuangoujian
编制办法	bianzhibanfa
编织袋	bianzhidai
编织袋围堰	bianzhidaiweiyan
编制工作	bianzhigongzuo
编制任务	bianzhirenwu
编制完成	bianzhiwancheng
编制依据	bianzhiyiju
边支座	bianzhizuo
变质作用	bianzhizuoyong
边柱	bianzhu
辫状河	bianzhuanghe
扁嘴钳	bianzuiqian
标本采集	biaobencaiji
表厂	biaochang
标称电容	biaochengdianrong
标高	biaogao
表格显示	biaogexianshi
标号	biaohao
标记	biaoji
标记技术	biaojijishu
杓兰	biaolan
表面冲洗	biaomianchongxi
表面势	biaomianshi
表面水力负荷	biaomianshuilifuhe
表面态	biaomiantai
表内科目	biaoneikemu
标牌	biaopai
标图板	biaotuban
表外科目	biaowaikemu
表为	biaowei
飙信	biaoxin
表虚	biaoxu
标引	biaoyin
表证	biaozheng
标志	biaozhi
标志碑	biaozhibei
标志牌	biaozhipai
标志性工程	biaozhixinggongcheng
标注	biaozhu
标准白	biaozhunbai
标准层平面	biaozhuncengpingmian
标准大样	biaozhundayang
标准冻深	biaozhundongshen
标准构件	biaozhungoujian
标准贯入试验	biaozhunguanrushiyan
标准截面	biaozhunjiemian
标准小区	biaozhunxiaoqu
标准一览表	biaozhunyilanbiao
标准组合	biaozhunzuhe
表座	biaozuo
宾格笼	bingelong
宾格网	bingewang
冰坝	bingba
冰雹	bingbao
并不多呀	bingbuduoya
并不好做	bingbuhaozuo
并布置	bingbuzhi
病虫害监测	bingchonghaijiance
冰川侵蚀	bingchuanqinshi
冰川作用	bingchuanzuoyong
病毒	bingdu
病毒防火墙	bingdufanghuoqiang
秉风	bingfeng
病害循环	binghaixunhuan
冰花白	binghuabai
冰积土	bingjitu
并联	binglian
并论述	binglunshu
兵器装备	bingqizhuangbei
病人监护仪	bingrenjianhuyi
病入膏肓	bingrugaohuang
丙烯酸涂料	bingxisuantuliao
丙烯型	bingxixing
兵足	bingzu
波导	bodao
波导色散	bodaosesan
波动	bodong
波段	boduan
波段开关	boduankaiguan
薄腹梁	bofuliang
伯格斯矢量	bogesishiliang
驳骨丹	bogudan
泊管	boguan
波浪	bolang
波浪侵蚀	bolangqinshi
玻璃	boli
玻璃杯	bolibei
玻璃布	bolibu
玻璃钢瓦	boligangwa
玻璃钢制品	boligangzhipin
玻璃割刀	boligedao
伯利黄	bolihuang
剥离剂	boliji
玻璃菊	boliju
玻璃马赛克	bolimasaike
玻璃幕墙	bolimuqiang
玻璃丝布	bolisibu
玻璃堂	bolitang
播量	boliang
菠萝	boluo
博落回	boluohui
薄膜	baomo|bomo
薄膜唱片	bomochangpian
薄膜太阳电池	bomotaiyangdianchi
薄弱层	boruoceng
剥蚀	boshi
波斯红	bosihong
泊松比	bosongbi
波松比	bosongbi
波特	bote
箔条云	botiaoyun
箔线	boxian
博信	boxin
不安全因素	buanquanyinsu
补偿电路	buchangdianlu
补偿柜	buchanggui
不齿之事	buchizhishi
补充论述	buchonglunshu
补充水	buchongshui
补充业务	buchongyewu
布达拉宫	budalagong
布袋架	budaijia
不等肢角钢	budengzhijiaogang
不动产	budongchan
不断加剧	buduanjiaju
不断增多	buduanzengduo
步伐不断加快	bufabuduanjiakuai
部分测试	bufenceshi
部分干扰	bufenganrao
部分工作量	bufengongzuoliang
不敢独享	buganduxiang
不够	bugou
不忌生冷	bujishengleng
步甲	bujia
部件	bujian
部件名称	bujianmingcheng
步进继电器	bujinjidianqi
步进角	bujinjiao
步进频率	bujinpinlv
步进衰减器	bujinshuaijianqi
步距	buju
不均一	bujunyi
不可分离	bukefenli
不可为训	bukeweixun
步廊	bulang
不良地质作用	buliangdizhizuoyong
不留后路	buliuhoulu
不能工作时间	bunenggongzuoshijian
不能同	bunengtong
不能作	bunengzuo
不怕付出	bupafuchu
不起来呀	buqilaiya
补强层	buqiangceng
不全位错	buquanweicuo
不容	burong
不容分辩	burongfenbian
不上人屋面	bushangrenwumian
布设时	busheshi
布设于	busheyu
不是对你	bushiduini
不是甲方	bushijiafang
捕食性天敌	bushixingtiandi
部署原则	bushuyuanze
不太通	butaitong
不完全统计	buwanquantongji
不稳定边坡	buwendingbianpo
不稳定河槽	buwendinghecao
布线	buxian
布线管道	buxianguandao
布线时	buxianshi
不锈钢	buxiugang
不锈钢杯	buxiugangbei
不锈钢餐具	buxiugangcanju
不锈钢地漏	buxiugangdilou
不锈钢酒壶	buxiugangjiuhu
不锈钢器皿	buxiugangqimin
不锈钢丝	buxiugangsi
不锈钢锁	buxiugangsuo
不锈钢丸	buxiugangwan
不锈钢装饰板	buxiugangzhuangshiban
不需要人工	buxuyaorengong
不要赶	buyaogan
不要狗	buyaogou
不孕	buyun
不整合	buzhenghe
布置图	buzhitu
补助标准	buzhubiaozhun
补桩	buzhuang
擦地角	cadijiao
擦米	cami
踩步金	caibujin
财产税	caichanshui
采伐活动	caifahuodong
采伐迹地	caifajidi
采伐利用管理	caifaliyongguanli
采伐林木	caifalinmu
采伐时间	caifashijian
采伐限额	caifaxiane
采伐许可证	caifaxukezheng
采伐证	caifazheng
裁缝剪	caifengjian
彩钢压型板	caigangyaxingban
采购帐户	caigouzhanghu
采果剪	caiguojian
彩虹沙石	caihongshashi
彩绘	caihui
财建	caijian
采矿后	caikuanghou
采矿活动	caikuanghuodong
采矿许可证	caikuangxukezheng
材料	cailiao
材料色散	cailiaosesan
材料图	cailiaotu
菜螟	caiming
采暖	cainuan
彩色红脊瓦	caisehongjiwa
彩色红泥浪板	caisehongnilangban
彩色红泥浪瓦	caisehongnilangwa
彩色可视	caisekeshi
彩色屋面	caisewumian
彩色显象管	caisexianxiangguan
财审科	caishenke
彩条信号	caitiaoxinhao
彩涂	caitu
彩涂复合板	caitufuheban
彩瓦	caiwa
财务科	caiwuke
采样	caiyang
采样测试	caiyangceshi
采用	caiyong
采摘期	caizhaiqi
参比电极	canbidianji
残茬	cancha
残党	candang
残灯末庙	candengmomiao
蚕豆	candou
残积物	canjiwu
残酒	canjiu
参考白	cankaobai
参考波束	cankaoboshu
参考带	cankaodai
参考当量	cankaodangliang
参考电路	cankaodianlu
参考载波	cankaozaibo
参量估计	canliangguji
参量型检测	canliangxingjiance
残留	canliu
残留北坡	canliubeipo
残留矿渣	canliukuangzha
残坡积层	canpojiceng
残坡积物	canpojiwu
参数检验	canshujianyan
惨遭屠戮	canzaotulu
参证水文站	canzhengshuiwenzhan
餐桌经济	canzhuojingji
藏花忍冬	canghuarendong
仓库搭建	cangkudajian
苍哑	cangya
草板纸	caobanzhi
槽床	caochuang
草袋	caodai
草袋粘土围堰	caodainiantuweiyan
草袋围堰	caodaiweiyan
槽底	caodi
草地风毛菊	caodifengmaoju
草地螟	caodiming
草袱	caofu
槽谷	caogu
草剪	caojian
草蛉	caoling
糙米	caomi
槽内处理法	caoneichulifa
草耙	caopa
草坪栽植	caopingzaizhi
槽式配水系统	caoshipeishuixitong
操守好	caoshouhao
槽探	caotan
草田轮作	caotianlunzuo
草图	caotu
操行可移动架	caoxingkeyidongjia
草原变少	caoyuanbianshao
操作不对	caozuobudui
操作电源	caozuodianyuan
操作者	caozuozhe
测点	cedian
测点实测时	cedianshiceshi
测高雷达	cegaoleida
测绘	cehui
侧击雷	cejilei
侧金盏花	cejinzhanhua
测井孔	cejingkong
测井时	cejingshi
测距码	cejuma
测距系统	cejuxitong
测量吊杆	celiangdiaogan
测量放线	celiangfangxian
测量工具	celianggongju
测量雷达	celiangleida
测量人	celiangren
测量日期	celiangriqi
测量时温度	celiangshiwendu
侧面垂直度	cemianchuizhidu
测频	cepin
测区代号	cequdaihao
测区范围	cequfanwei
测试	ceshi
测试唱片	ceshichangpian
测试带	ceshidai
测试接收机	ceshijieshouji
侧视雷达	ceshileida
测试卡子	ceshiqiazi|ceshikazi
测试日期	ceshiriqi
测速带	cesudai
测图卫星	cetuweixing
测线	cexian
测线啊	cexiana
测线编号	cexianbianhao
测向测距系统	cexiangcejuxitong
测向系统	cexiangxitong
侧向照明	cexiangzhaoming
测验	ceyan
侧移	ceyi
侧音测距	ceyinceju
侧胀模量	cezhangmoliang
侧阻力	cezuli
参差调谐	cencitiaoxie
岑溪红	cenxihong
层错	cengcuo
层高表	cenggaobiao
层间梁	cengjianliang
层间水	cengjianshui
层间位移比	cengjianweiyibi
层理	cengli
层流电子枪	cengliudianziqiang
层流电子束	cengliudianzishu
层铺法	cengpufa
层序	cengxu
差错传播	chacuochuanbo
差错扩散	chacuokuosan
差动电容器	chadongdianrongqi
茶短须螨	chaduanxuman
茶二叉蚜	chaerchaya
岔河	chahe
岔河灌区	chaheguanqu
插花	chahua
茶花红	chahuahong
差集码	chajima
茶角蜡蚧	chajiaolajie
插接板	chajieban
插接管	chajieguan
插口	chakou
插口接头	chakoujietou
叉梁	chaliang
叉梁拉线	chalianglaxian
茶梅	chamei
差频相位延迟	chapinxiangweiyanchi
查清联行未达	chaqinglianhangweida
差热分析	charefenxi
插入力	charuli
插入扫描	charusaomiao
插入式放电管	charushifangdianguan
插入式振捣器	charushizhendaoqi
插塞	chasai
茶梢蛀蛾	chashaozhue
茶条槭	chatiaoqi
插头	chatou
插图	chatu
插销	chaxiao
差异显著平准	chayixianzhupingzhun
差异应力	chayiyingli
查阅室	chayueshi
叉柱造	chazhuzao
叉子圆柏	chaziyuanbai
插座	chazuo
柴多火旺	chaiduohuowang
拆模	chaimo
拆模板	chaimoban|chaimuban
铲草皮烧火	chancaopishaohuo
掺加剂	chanjiaji
产量模式	chanliangmoshi
产沙量	chanshaliang
缠柱造	chanzhuzao
长白忍冬	changbairendong
厂拌	changban
常春油麻藤	changchunyoumateng
场地类别	changdileibie
场地土	changditu
厂房	changfang
长杆贯入仪	changganguanruyi
场感应结	changganyingjie
长梗郁李	changgengyuli
常规充电	changguichongdian
长弧氙灯	changhuxiandeng
长跨	changkua
常立杰	changlijie
常流河	changliuhe
场面检测雷达	changmianjianceleida
常年河	changnianhe
唱片	changpian
长期刚度	changqigangdu
长强	changqiang
场强测量仪	changqiangceliangyi
长日照型	changrizhaoxing
长山核桃	changshanhetao
长途直拨	changtuzhibo
场效晶体管	changxiaojingtiguan
长兴组	changxingzu
肠痈	changyong
场致发光	changzhifaguang
场致发光灯	changzhifaguangdeng
常柱小檗	changzhuxiaobo
超白窿石	chaobailongshi
抄表时间	chaobiaoshijian
超采	chaocai
潮差	chaocha
超长波通信	chaochangbotongxin
超长结构	chaochangjiegou
超导磁体	chaodaociti
超导电子学	chaodaodianzixue
超导探测器	chaodaotanceqi
超低量喷雾机	chaodiliangpenwuji
超低频通信	chaodipintongxin
超低温保存	chaodiwenbaocun
超覆	chaofu
潮幅	chaofu
超高频通信	chaogaopintongxin
炒汇族	chaohuizu
超级恐龙	chaojikonglong
超级赛豆胧	chaojisaidoulong
超筋	chaojin
超筋超限	chaojinchaoxian
超筋梁	chaojinliang
超快光电子学	chaokuaiguangdianzixue
潮流	chaoliu
炒楼花	chaolouhua
潮门	chaomen
超前	chaoqian
超前导坑	chaoqiandaokeng
超前网络	chaoqianwangluo
超亲遗传	chaoqinyichuan
超亲优势	chaoqinyoushi
炒青	chaoqing
超群	chaoqun
超渗雨	chaoshenyu
超声导盲器	chaoshengdaomangqi
超视距通信	chaoshijutongxin
潮湿试验	chaoshishiyan
潮水波	chaoshuibo
潮水河	chaoshuihe
潮滩	chaotan
潮土	chaotu
超挖	chaowa
潮汐	chaoxi
潮汐河流	chaoxiheliu
朝鲜丁香	chaoxiandingxiang
朝鲜结缕草	chaoxianjielvcao
朝鲜柳	chaoxianliu
朝鲜山茱萸	chaoxianshanzhuyu
朝鲜鼠李	chaoxianshuli
朝鲜越桔	chaoxianyueju
炒星	chaoxing
炒邮	chaoyou
超噪比	chaozaobi
超主群	chaozhuqun
炒族	chaozu
扯东拉西	chedonglaxi
坼架子	chejiazi
撤离工作场所	cheligongzuochangsuo
车辆运输安全	cheliangyunshuanquan
沉淀	chendian
陈广华	chenguanghua
陈海波	chenhaibo
陈海洋	chenhaiyang
沉积盖层	chenjigaiceng
沉积建造	chenjijianzao
沉寂室	chenjishi
沉积水	chenjishui
沉积物	chenjiwu
沉积相	chenjixiang
沉降	chenjiang
沉降差	chenjiangcha
沉降缝	chenjiangfeng
陈锦旗	chenjinqi
沉埋法	chenmaifa
陈年老账	chennianlaozhang
衬偏效应	chenpianxiaoying
衬砌	chenqi
陈青来	chenqinglai
沉沙池	chenshachi
沉沙凼	chenshadang
陈珊	chenshan
沉头螺丝	chentouluosi
沉头木螺栓	chentoumuluoshuan
尘土遮天	chentuzhetian
陈卫兵	chenweibing
陈习华	chenxihua
沉香红	chenxianghong
陈艳艳	chenyanyan
陈玉春	chenyuchun
沉冤已白	chenyuanyibai
陈志永	chenzhiyong
沉滓	chenzi
承插	chengcha
承插管	chengchaguan
承插管件	chengchaguanjian
承插接头	chengchajietou
承扶	chengfu
成果报告	chengguobaogao
成果汇交时间	chengguohuijiaoshijian
成果图	chengguotu
成果质量	chengguozhiliang
城建维护费	chengjianweihufei
承浆	chengjiang
承筋	chengjin
成金华	chengjinhua
成井	chengjing
程控电源	chengkongdianyuan
程控开关	chengkongkaiguan
程控衰减器	chengkongshuaijianqi
程控仪器	chengkongyiqi
承口	chengkou
承灵	chengling
柽柳科	chengliuke
柽麻	chengma
承满	chengman
程懋堃	chengmaokun
橙皮红	chengpihong
成品	chengpin
成品检验	chengpinjianyan
承泣	chengqi
承前续后	chengqianxuhou
承山	chengshan
成生年代	chengshengniandai
城市防洪工程	chengshifanghonggongcheng
城市供水安全	chengshigongshuianquan
城市规划测量	chengshiguihuaceliang
城市化建设	chengshihuajianshe
城市水文学	chengshishuiwenxue
城市污水	chengshiwushui
城市灾害救援	chengshizaihaijiuyuan
秤铊	chengta
承托层	chengtuoceng
城乡建设局	chengxiangjiansheju
成象雷达	chengxiangleida
城乡清洁	chengxiangqingjie
成型刀	chengxingdao
成形时间常数	chengxingshijianchangshu
程序指令	chengxuzhiling
承压含水层	chengyahanshuiceng
承压水	chengyashui
成岩作用	chengyanzuoyong
成因类型	chengyinleixing
橙玉石	chengyushi
承载板	chengzaiban
承载板试验	chengzaibanshiyan
承载力	chengzaili
承载力设计值	chengzailishejizhi
承载龙骨	chengzailonggu
承载业务	chengzaiyewu
承重隔墙	chengzhonggeqiang
承重墙结构	chengzhongqiangjiegou
承重砖墙	chengzhongzhuanqiang
成桩	chengzhuang
成组浮点	chengzufudian
赤白肉际	chibairouji
持仓	chicang
尺寸共振	chicungongzhen
赤道	chidao
迟电位	chidianwei
持力层	chiliceng
齿轮	chilun
瘈脉	chimai
池内设置斜管	chineishezhixieguan
齿衄	chinv
齿耙	chipa
齿墙	chiqiang
池式配水系统	chishipeishuixitong
持水度	chishuidu
翅英决明	chiyingjueming
尺泽	chize
冲床配件	chongchuangpeijian
冲淡比	chongdanbi
充电	chongdian
充电保持能力	chongdianbaochinengli
充电接收能力	chongdianjieshounengli
充电效率	chongdianxiaolv
充电照明灯	chongdianzhaomingdeng
重叠	chongdie
冲断层	chongduanceng
重放头	chongfangtou
重分配	zhongfenpei|chongfenpei
充分搜集资料	chongfensoujiziliao
充分总结	chongfenzongjie
重复接地	chongfujiedi
冲沟	chonggou
冲湖积	chonghuji
冲击变质作用	chongjibianzhizuoyong
冲击波	chongjibo
冲激不变法	chongjibubianfa
冲击电流	chongjidianliu
冲击电钻	chongjidianzuan
冲激雷达	chongjileida
冲积平原区	chongjipingyuanqu
冲力	chongli
充满度	chongmandu
冲门	chongmen
充气结构	chongqijiegou
充气枪	chongqiqiang
冲切	chongqie
冲切破坏	chongqiepohuai
虫情调查	chongqingdiaocha
冲砂池	chongshachi
冲砂闸	chongshazha
冲蚀	chongshi
冲刷	chongshua
冲刷系数	chongshuaxishu
冲洗强度	chongxiqiangdu
重现期	chongxianqi
冲泻质	chongxiezhi
宠星	chongxing
重檐庑殿	chongyanwudian
冲阳	chongyang
重阳木	chongyangmu
虫蛀试验	chongzhushiyan
畴壁共振	choubigongzhen
抽查射钉	chouchasheding
稠度	choudu
稠度界限	choudujiexian
稠化粉	chouhuafen
抽筋	choujin
稠李	chouli
抽料	chouliao
臭牡丹	choumudan
抽气风扇	chouqifengshan
抽气通风	chouqitongfeng
抽水试验	choushuishiyan
抽屉滑轨	choutihuagui
抽提仪	choutiyi
臭梧桐	chouwutong
抽象码	chouxiangma
抽样	chouyang
抽样方案	chouyangfangan
储备电池	chubeidianchi
储备式阴极	chubeishiyinji
初步编制	chububianzhi
初步恢复	chubuhuifu
初步建立	chubujianli
初步勘察	chubukancha
初步设计概算	chubushejigaisuan
初步设计文件	chubushejiwenjian
出材率	chucailv
初沉污泥	chuchenwuni
初充电	chuchongdian
初次沉淀池	chucichendianchi
触点负载	chudianfuzai
触点粘结	chudiannianjie
触点熔接	chudianrongjie
触发	chufa
触发管	chufaguan
触发极	chufaji
厨房剪	chufangjian
除硅	chugui
出际	chuji
初检	chujian
出境链路	chujinglianlu
出口不逊	chukoubuxun
出库检验	chukujianyan
储量管理	chuliangguanli
出流量	chuliuliang
出流水	chuliushui
储能电容器	chunengdianrongqi
初凝	chuning
初凝时间	chuningshijian
触片	chupian
储频	chupin
储频行波管	chupinxingboguan
出平面	chupingmian
出气	chuqi
初侵染	chuqinran
除湿剂	chushiji
初始检查	chushijiancha
初始应力	chushiyingli
处世哲学	chushizhexue
出水口	chushuikou
除水器	chushuiqi
触探	chutan
触探试验	chutanshiyan
锄头	chutou
出武汉市	chuwuhanshi
出线口	chuxiankou
除锈	chuxiu
储蓄业务核算	chuxuyewuhesuan
除油池	chuyouchi
串并联电路	chuanbingliandianlu
穿管	chuanguan
传号	chuanhao
川黑麻	chuanheima
串级校正	chuanjijiaozheng
串联	chuanlian
串联电池组	chuanliandianchizu
串联线圈	chuanlianxianquan
串钱柳	chuanqianliu
穿墙管	chuanqiangguan
穿墙套管	chuanqiangtaoguan
穿束	chuanshu
传输概率	chuanshugailv
传输媒质	chuanshumeizhi
传送装置	chuansongzhuangzhi
传统农业	chuantongnongye
串味儿	chuanweier
串文法	chuanwenfa
穿线工程	chuanxiangongcheng
穿心电容器	chuanxindianrongqi
串语言	chuanyuyan
船载雷达	chuanzaileida
窗磁报警	chuangcibaojing
窗磁发射器	chuangcifasheqi
窗放大器	chuangfangdaqi
窗轨	chuanggui
窗函数	chuanghanshu
窗花及装饰品	chuanghuajizhuangshipin
窗间墙	chuangjianqiang
窗井	chuangjing
窗框墙	chuangkuangqiang
窗楣	chuangmei
床旁监护仪	chuangpangjianhuyi
窗墙比	chuangqiangbi
窗锁	chuangsuo
垂带石	chuidaishi
垂吊植物	chuidiaozhiwu
吹风机	chuifengji
垂柳	chuiliu
垂面排列	chuimianpailie
垂盼	chuipan
锤式粉碎机	chuishifensuiji
垂丝	chuisi
垂丝海棠	chuisihaitang
吹填	chuitian
垂向	chuixiang
垂向上	chuixiangshang
垂叶榕	chuiyerong
锤印	chuiyin
垂樱	chuiying
垂直距离	chuizhijuli
垂直侵蚀	chuizhiqinshi
垂直桃	chuizhitao
垂枝榆	chuizhiyu
垂直运输补差	chuizhiyunshubucha
春分	chunfen
春寒	chunhan
纯黑麻	chunheima
春化	chunhua
春雷	chunlei
纯铝面	chunlvmian
春去春又回	chunquchunyouhui
纯色保丽板	chunsebaoliban
纯受弯	chunshouwan
醇酸磁漆	chunsuanciqi
醇酸底漆	chunsuandiqi
醇酸锌黄底漆	chunsuanxinhuangdiqi
纯随机抽样	chunsuijichouyang
春性	chunxing
唇形科	chunxingke
春汛	chunxun
春雨	chunyu
春榆	chunyu
春羽	chunyu
