吖啶橙	adingcheng
二氯苯甲醇	erlvbenjiachun
二氯苯氧乙酸	erlvbenyangyisuan
二氯苯乙酸	erlvbenyisuan
二氯丙酸	erlvbingsuan
二氯对二甲苯	erlvduierjiaben
二氯二苯砜	erlverbenfeng
二氯二氟甲烷	erlverfujiawan
二氯二氰苯醌	erlverqingbenkun
二氯硅烷	erlvguiwan
二氯化二硒	erlvhuaerxi
二氯化硫	erlvhualiu
二氯化铜	erlvhuatong
二氯化锡	erlvhuaxi
二氯甲烷	erlvjiawan
二氯联苯胺	erlvlianbenan
二氯羟基喹啉	erlvqiangjikuilin
二氯乙腈	erlvyijing
二氯乙烷	erlvyiwan
二茂铁	ermaotie
二钼酸铵	ermusuanan
二硼烷	erpengwan
二羟基苯甲醛	erqiangjibenjiaquan
二羟基苯甲酸	erqiangjibenjiasuan
二羟基苯乙酸	erqiangjibenyisuan
二羟基苯乙酮	erqiangjibenyitong
二羟基吡啶	erqiangjibiding
二羟基甲苯	erqiangjijiaben
二羟基萘	erqiangjinai
二羟基香豆素	erqiangjixiangdousu
二氢吡啶	erqingbiding
二氢尿嘧啶	erqingniaomiding
二氢叶酸	erqingyesuan
二巯丁二酸	erqiudingersuan
二巯基丁二酸	erqiujidingersuan
二巯基甲苯	erqiujijiaben
二十六烷酸	ershiliuwansuan
二脱氧胞苷	ertuoyangbaogan
二脱氧腺苷	ertuoyangxiangan
二硝基苯	erxiaojiben
二硝基苯胺	erxiaojibenan
二硝基苯酚	erxiaojibenfen
二硝基苯肼	erxiaojibenjing
二硝基二苯胺	erxiaojierbenan
二硝基氟苯	erxiaojifuben
二硝基甲苯	erxiaojijiaben
二硝基邻甲酚	erxiaojilinjiafen
二硝基氯苯	erxiaojilvben
二硝基萘	erxiaojinai
二效蒸发器	erxiaozhengfaqi
二溴丙腈	erxiubingjing
二溴丙烷	erxiubingwan
二溴化钨	erxiuhuawu
二溴酪氨酸	erxiulaoansuan
二溴联苯	erxiulianben
二溴萘	erxiunai
二溴羟基喹啉	erxiuqiangjikuilin
二溴噻吩	erxiusaifen
二溴水杨醛	erxiushuiyangquan
二溴乙烷	erxiuyiwan
二氧化氮	eryanghuadan
二氧化钒	eryanghuafan
二氧化锆	eryanghuagao
二氧化硅	eryanghuagui
二氧化钌	eryanghualiao
二氧化硫	eryanghualiu
二氧化氯	eryanghualv
二氧化锰	eryanghuameng
二氧化钼	eryanghuamu
二氧化铅	eryanghuaqian
二氧化钛	eryanghuatai
二氧化碳	eryanghuatan
二氧化碳分析仪	eryanghuatanfenxiyi
二氧化碳冷却器	eryanghuatanlengqueqi
二氧化碳压缩机	eryanghuatanyasuoji
二氧化锡	eryanghuaxi
二氧化硒	eryanghuaxi
二氧化锗	eryanghuazhe
二氧六环	eryangliuhuan
二乙胺	eryian
二乙氨基乙醇	eryianjiyichun
二异丙胺	eryibingan
二乙醇胺	eryichunan
二乙二醇	eryierchun
二乙基苯胺	eryijibenan
二乙烯苯	eryixiben
二乙酰鸟嘌呤	eryixianniaopiaoling
发泡剂	fapaoji
发生装置	fashengzhuangzhi
发烟硫酸	fayanliusuan
发烟硝酸	fayanxiaosuan
反吹	fanchui
反丁烯酸	fandingxisuan
反渗透	fanshentou
反渗透高压泵	fanshentougaoyabeng
反渗透增压泵	fanshentouzengyabeng
反式丁烯	fanshidingxi
凡士林油	fanshilinyou
反式肉桂酸	fanshirouguisuan
反式脂肪	fanshizhifang
泛酸钙	fansuangai
钒酸酐	fansuangan
泛酸钠	fansuanna
范托夫定律	fantuofudinglv
反应板	fanyingban
反应进度	fanyingjindu
泛影葡胺	fanyingpuan
反应器	fanyingqi
反应容器	fanyingrongqi
反应速率	fanyingsulv
泛影酸	fanyingsuan
反应终止剂	fanyingzhongzhiji
反应装置	fanyingzhuangzhi
反油酸	fanyousuan
放氨阀	fanganfa
方差分析	fangchafenxi
方差齐性	fangchaqixing
防火玻璃	fanghuoboli
防老剂	fanglaoji
防霉剂	fangmeiji
放热反应	fangrefanying
放射性	fangshexing
放射性活度	fangshexinghuodu
放射性元素	fangshexingyuansu
放水瓶	fangshuiping
芳香烃	fangxiangting
芳樟醇	fangzhangchun
废氮液	feidanye
废氮液泵	feidanyebeng
非独立粒子系集	feidulilizixiji
废锅	feiguo
非极性分子	feijixingfenzi
非极性键	feijixingjian
非金属氧化物	feijinshuyanghuawu
非晶态合金	feijingtaihejin
费米狄拉克分布	feimidilakefenbu
非平衡系统	feipinghengxitong
废热锅炉	feireguolu
非水溶剂	feishuirongji
沸腾干铵炉	feitenggananlu
飞行时间质谱仪	feixingshijianzhipuyi
非质子溶剂	feizhizirongji
非自发过程	feizifaguocheng
分光光度法	fenguangguangdufa
分解反应	fenjiefanying
酚蓝	fenlan
分离液沉淀泵	fenliyechendianbeng
分离液桶	fenliyetong
分馏柱	fenliuzhu
粉末丁腈橡胶	fenmodingjingxiangjiao
酚醛树脂	fenquanshuzhi
酚醛塑料	fenquansuliao
分散剂	fensanji
分散剂溶解槽	fensanjirongjiecao
分散剂溶液泵	fensanjirongyebeng
分散聚合	fensanjuhe
分散系	fensanxi
分析线	fenxixian
分液漏斗	fenyeloudou
分子结构	fenzijiegou
分子晶体	fenzijingti
分子离子	fenzilizi
分子筛	fenzishai
分子筛吸附器	fenzishaixifuqi
封闭系统	fengbixitong
峰高	fenggao
蜂王酸	fengwangsuan
脯氨酸	fuansuan
伏安图	fuantu
氟苯哒唑	fubendazuo
氟苯酚	fubenfen
副操	fucao
氟醋酸钠	fucusuanna
附电机	fudianji
福尔马林	fuermalin
复分解	fufenjie
复分解反应	fufenjiefanying
氟锆酸	fugaosuan
氟锆酸钾	fugaosuanjia
氟硅酸	fuguisuan
氟硅酸铵	fuguisuanan
氟硅酸钾	fuguisuanjia
氟硅酸镁	fuguisuanmei
氟硅酸钠	fuguisuanna
氟硅酸铜	fuguisuantong
氟硅酸锌	fuguisuanxin
符号表达式	fuhaobiaodashi
符号检验	fuhaojianyan
复合材料	fuhecailiao
复合抗氧剂	fuhekangyangji
氟化铵	fuhuaan
氟化钡	fuhuabei
氟化钙	fuhuagai
氟化铬	fuhuage
氟化镉	fuhuage
氟化汞	fuhuagong
氟化钴	fuhuagu
氟化硅	fuhuagui
氟化钾	fuhuajia
氟化镧	fuhualan
氟化锂	fuhuali
氟化铝	fuhualv
氟化镁	fuhuamei
氟化钠	fuhuana
氟化镍	fuhuanie
氟化硼	fuhuapeng
氟化铍	fuhuapi
氟化铅	fuhuaqian
氟化氢	fuhuaqing
氟化氢铵	fuhuaqingan
氟化氢钾	fuhuaqingjia
氟化氢钠	fuhuaqingna
氟化铯	fuhuase
氟化锶	fuhuasi
氟化铜	fuhuatong
氟化锌	fuhuaxin
氟化亚锰	fuhuayameng
氟化亚铊	fuhuayata
氟化银	fuhuayin
氟磺酸	fuhuangsuan
氟甲苯	fujiaben
负离子	fulizi
弗洛蒙	fuluomeng
氟铝酸铵	fulvsuanan
氟铝酸钾	fulvsuanjia
氟铝酸钠	fulvsuanna
富马酸	fumasuan
富马酸二甲酯	fumasuanerjiazhi
富马酸亚铁	fumasuanyatie
氟马西尼	fumaxini
氟米松	fumisong
呋喃	funan
呋喃丙烯酸	funanbingxisuan
呋喃甲醇	funanjiachun
呋喃甲醛	funanjiaquan
呋喃嘧酮	funanmitong
复盆子酮	fupenzitong
氟硼酸	fupengsuan
氟硼酸铵	fupengsuanan
氟硼酸镉	fupengsuange
氟硼酸钾	fupengsuanjia
氟硼酸钠	fupengsuanna
氟硼酸镍	fupengsuannie
氟硼酸铅	fupengsuanqian
氟硼酸铜	fupengsuantong
氟硼酸亚锡	fupengsuanyaxi
氟硼酸盐	fupengsuanyan
氟氢酸	fuqingsuan
辐射防护剂	fushefanghuji
辐射分解	fushefenjie
辐射交联	fushejiaolian
腐蚀电流	fushidianliu
氟塑料	fusuliao
氟他胺	futaan
氟钛酸	futaisuan
氟钛酸钾	futaisuanjia
氟钽酸	futansuan
氟钽酸钾	futansuanjia
氟脱氧尿苷	futuoyangniaogan
氟橡胶	fuxiangjiao
富氧加热炉	fuyangjiarelu
富液	fuye
富液闪蒸槽	fuyeshanzhengcao
氟乙酰胺	fuyixianan
腐植酸	fuzhisuan
浮子流量计	fuziliuliangji
盖玻片	gaibopian
钙长石	gaichangshi
钙调蛋白	gaitiaodanbai
干铵	ganan
干铵楼	gananlou
干铵炉	gananlu
甘氨酸	ganansuan
甘氨酸锌	ganansuanxin
甘草次酸	gancaocisuan
甘草酸	gancaosuan
甘醇酸	ganchunsuan
甘汞	gangong
感光胶	ganguangjiao
坩埚	ganguo
坩埚钳	ganguoqian
甘露醇	ganluchun
甘露聚糖酶	ganlujutangmei
甘露糖	ganlutang
甘油磷酸	ganyoulinsuan
甘油磷酸钙	ganyoulinsuangai
甘油磷酸钾	ganyoulinsuanjia
甘油磷酸钠	ganyoulinsuanna
甘油磷酸铁	ganyoulinsuantie
甘油醚	ganyoumi
甘油醛	ganyouquan
甘油三酯	ganyousanzhi
甘油酸	ganyousuan
甘油酯	ganyouzhi
甘油脂肪酸酯	ganyouzhifangsuanzhi
干燥装置	ganzaozhuangzhi
高半胱氨酸	gaobanguangansuan
高碘酸	gaodiansuan
高碘酸铵	gaodiansuanan
高碘酸钾	gaodiansuanjia
高碘酸钠	gaodiansuanna
高碘酸盐	gaodiansuanyan
锆粉	gaofen
高分子化合物	gaofenzihuahewu
高高报	gaogaobao
高胱氨酸	gaoguangansuan
高聚物	gaojuwu
高铼酸铵	gaolaisuanan
高岭土	gaolingtu
高氯化聚乙烯	gaolvhuajuyixi
高氯酸	gaolvsuan
