赫梯王国	hetiwangguo
腓尼基语	feinijiyu
新的城市	xindechengshi
坐落于	zuoluoyu
非洲北海岸	feizhoubeihaian
今突尼斯	jintunisi
与罗马	yuluoma
隔海相望	gehaixiangwang
布匿战争	bunizhanzheng
突尼斯城	tunisicheng
奴隶制国家	nulizhiguojia
的首都	deshoudu
公共浴室	gonggongyushi
渡槽	ducao
迦太基遗址	jiataijiyizhi
世界文化与自然遗产	shijiewenhuayuziranyichan
突尼斯政府	tunisizhengfu
国家考古公园	guojiakaogugongyuan
地中海西部	dizhonghaixibu
迦太基人	jiataijiren
伊特拉斯坎人	yitelasikanren
科西嘉岛	kexijiadao
叙拉古	xulagu
的领主	delingzhu
格隆	gelong
阿克拉加斯	akelajiasi
特隆	telong
希腊军队	xilajundui
西西里岛	xixilidao
的军队	dejundui
与希腊	yuxila
法兰西第一共和国	falanxidiyigongheguo
第一执政	diyizhizheng
法兰西第一帝国	falanxidiyidiguo
百日王朝	bairiwangchao
的皇帝	dehuangdi
法国资产阶级革命	faguozichanjiejigeming
法兰西共和国	falanxigongheguo
科西嘉族	kexijiazu
阿雅克修城	ayakexiucheng
热那亚共和国	renayagongheguo
布里埃纳军校	buliainajunxiao
巴黎军官学校	balijunguanxuexiao
法国巴黎高等军事学校	faguobaligaodengjunshixuexiao
炮兵学	paobingxue
军官资格	junguanzige
被任命为	beirenmingwei
皇家炮兵少尉	huangjiapaobingshaowei
地中海的	dizhonghaide
伊比利亚人	yibiliyaren
比克人	bikeren
凯尔特人	kaierteren
不列颠	buliedian
大不列颠岛	dabuliediandao
罗马帝国	luomadiguo
罗马人	luomaren
欧洲北部	ouzhoubeibu
盎格鲁人	anggeluren
萨克逊人	sakexunren
朱特人	zhuteren
封建制度	fengjianzhidu
七个王国	qigewangguo
盎格鲁	anggelu
撒克逊时代	sakexunshidai
威塞克斯国王	weisaikesiguowang
爱格伯特	aigebote
统一了	tongyile
丹麦人	danmairen
丹麦海盗帝国	danmaihaidaodiguo
英王	yingwang
诺曼底公爵	nuomandigongjue
渡海征服	duhaizhengfu
约翰王	yuehanwang
大宪章	daxianzhang
王权	wangquan
遭抑制	zaoyizhi
英法	yingfa
百年战争	bainianzhanzheng
先胜后败	xianshenghoubai
威尔士与	weiershiyu
击败西班牙	jibaixibanya
无敌舰队	wudijiandui
海上霸权	haishangbaquan
资产阶级革命	zichanjiejigeming
宣布成立	xuanbuchengli
王朝复辟	wangchaofubi
光荣革命	guangronggeming
君主立宪制	junzhulixianzhi
日耳曼人	riermanren
封建国家	fengjianguojia
世纪中期	shijizhongqi
封建割据	fengjiangeju
普鲁士	pulushi
维也纳会议	weiyenahuiyi
德意志邦联	deyizhibanglian
爆发革命	baofageming
七星期战争	qixingqizhanzheng
北德意志联邦	beideyizhilianbang
统一的	tongyide
德意志帝国	deyizhidiguo
第一次世界大战	diyicishijiedazhan
魏玛共和国	weimagongheguo
希特勒	xitele
独裁统治	ducaitongzhi
第二次世界大战	diercishijiedazhan
战败投降	zhanbaitouxiang
雅尔塔协定	yaertaxieding
波茨坦协定	bocitanxieding
盟国管制委员会	mengguoguanzhiweiyuanhui
最高权力	zuigaoquanli
柏林市	bolinshi
占领区	zhanlingqu
西部占领区	xibuzhanlingqu
德意志联邦共和国	deyizhilianbanggongheguo
东部的	dongbude
苏占区	suzhanqu
德意志民主共和国	deyizhiminzhugongheguo
分裂为	fenliewei
主权国家	zhuquanguojia
地理单元	dilidanyuan
四十年代	sishiniandai
昭和	zhaohe
日军投降	rijuntouxiang
占领日本	zhanlingriben
专制天皇制	zhuanzhitianhuangzhi
日本的	ribende
被保留	beibaoliu
田中角荣	tianzhongjiaorong
日本首相	ribenshouxiang
多边自主	duobianzizhu
田中访华	tianzhongfanghua
中日联合声明	zhongrilianheshengming
正式建交	zhengshijianjiao
中日两国	zhongriliangguo
中日和平友好条约	zhongrihepingyouhaotiaoyue
访问日本	fangwenriben
和平友好条约	hepingyouhaotiaoyue
正式生效	zhengshishengxiao
两国关系	liangguoguanxi
趋于正常化	quyuzhengchanghua
平成元年	pingchengyuannian
昭和天皇	zhaohetianhuang
病没	bingmei
皇太子	huangtaizi
明仁即位	mingrenjiwei
明仁	mingren
改年号为	gainianhaowei
平成	pingcheng
莫斯科大公国	mosikedagongguo
伊凡四世	yifansishi
伊凡雷帝	yifanleidi
大公称号	dagongchenghao
沙皇	shahuang
彼得一世	bideyishi
彼得大帝	bidedadi
改国号为	gaiguohaowei
俄罗斯帝国	eluosidiguo
亚历山大二世	yalishandaershi
废除农奴制	feichunongnuzhi
军事封建帝国主义国家	junshifengjiandiguozhuyiguojia
推翻了	tuifanle
专制制度	zhuanzhizhidu
十月社会主义革命	shiyueshehuizhuyigeming
世界上第一个	shijieshangdiyige
社会主义国家政权	shehuizhuyiguojiazhengquan
俄罗斯联邦	eluosilianbang
外高加索联邦	waigaojiasuolianbang
乌克兰	wukelan
白俄罗斯	baieluosi
加盟共和国	jiamenggongheguo
最高苏维埃	zuigaosuweiai
国家主权宣言	guojiazhuquanxuanyan
绝对主权	jueduizhuquan
八一九事件	bayijiushijian
苏联国务委员会	sulianguowuweiyuanhui
通过决议	tongguojueyi
别洛韦日	bieluoweiri
独立国家联合体协议	duliguojialianhetixieyi
宣布组成	xuanbuzucheng
独立国家联合体	duliguojialianheti
波罗地海三国	boluodihaisanguo
阿拉木图宣言	alamutuxuanyan
宣布苏联	xuanbusulian
停止存在	tingzhicunzai
苏联解体	sulianjieti
完全独立	wanquanduli
的国家	deguojia
苏联的	suliande
唯一继承国	weiyijichengguo
全民投票	quanmintoupiao
俄罗斯独立	eluosiduli
第一部宪法	diyibuxianfa
国家名称	guojiamingcheng
海上强国	haishangqiangguo
伊莎贝拉二世	yishabeilaershi
君主立宪	junzhulixian
共主联邦模式	gongzhulianbangmoshi
普法战争	pufazhanzheng
第三共和国	disangongheguo
贝当政府	beidangzhengfu
投降德国	touxiangdeguo
象征胜利的	xiangzhengshenglide
法国凯旋门	faguokaixuanmen
戴高乐	daigaole
法兰西民族	falanximinzu
战胜法西斯	zhanshengfaxisi
临时政府	linshizhengfu
担任首脑	danrenshounao
通过宪法	tongguoxianfa
第四共和国	disigongheguo
月通过	yuetongguo
新宪法	xinxianfa
第五共和国	diwugongheguo
当选总统	dangxuanzongtong
宣布接受	xuanbujieshou
民族自决	minzuzijue
殖民主义	zhiminzhuyi
联邦德国	lianbangdeguo
法德友好条约	fadeyouhaotiaoyue
新中国	xinzhongguo
西方大国	xifangdaguo
退出北约	tuichubeiyue
独立外交政策	duliwaijiaozhengce
世界格局	shijiegeju
制衡力量	zhihengliliang
美国人民	meiguorenmin
立法形式	lifaxingshi
政治观念	zhengzhiguannian
联邦会议	lianbanghuiyi
华盛顿	huashengdun
全国性政府	quanguoxingzhengfu
铸造货币	zhuzaohuobi
调整商业	tiaozhengshangye
缔结条约	dijietiaoyue
中央权力	zhongyangquanli
孟德斯鸠	mengdesijiu
均权政治学说	junquanzhengzhixueshuo
平等合作	pingdenghezuo
控制地位	kongzhidiwei
波斯人	bosiren
拜占庭首都	baizhantingshoudu
围攻战	weigongzhan
拜占庭人	baizhantingren
统治者们	tongzhizhemen
和平条约	hepingtiaoyue
穆斯林军团	musilinjuntuan
共和国大议长	gongheguodayizhang
奥登巴恩维尔特	aodengbaenweierte
荷兰联合东印度公司	helanlianhedongyindugongsi
经济组织	jingjizuzhi
世纪中叶	shijizhongye
荷兰联省共和国	helanlianshenggongheguo
全球商业霸权	quanqiushangyebaquan
荷兰东印度公司	helandongyindugongsi
分支机构	fenzhijigou
贸易额	maoyie
总贸易额	zongmaoyie
的一半	deyiban
荷兰三色旗	helansanseqi
对外贸易	duiwaimaoyi
殖民据点	zhiminjudian
巴达维亚城	badaweiyacheng
新航线	xinhangxian
北美大陆	beimeidalu
哈得逊河	hadexunhe
东印度公司	dongyindugongsi
新阿姆斯特丹城	xinamusitedancheng
商业繁荣	shangyefanrong
的顶点	dedingdian
荷兰使团	helanshituan
到达北京	daodabeijing
入主中原	ruzhuzhongyuan
大清朝廷	daqingchaoting
荷兰人	helanren
外交使团	waijiaoshituan
觐见皇帝	jinjianhuangdi
三拜九叩	sanbaijiukou
欧洲国家	ouzhouguojia
天朝规矩	tianchaoguiju
荷兰人的	helanrende
重大利益	zhongdaliyi
阿姆斯特丹港	amusitedangang
荷兰的	helande
最高执政官	zuigaozhizhengguan
威廉三世	weiliansanshi
两万名	liangwanming
荷兰士兵	helanshibing
英国议会	yingguoyihui
的邀请	deyaoqing
前去保护	qianqubaohu
英国国民	yingguoguomin
爆发时间	baofashijian
结束时间	jieshushijian
战争双方	zhanzhengshuangfang
死亡人数	siwangrenshu
直接战争费用	zhijiezhanzhengfeiyong
亿美元	yimeiyuan
财产损失	caichansunshi
万亿美元	wanyimeiyuan
赫梯	heti
一译	yiyi
喜太	xitai
西台	xitai
西泰特	xitaite
希泰	xitai
卡帕多细亚	kapaduoxiya
安纳托利亚	annatuoliya
亚洲古国	yazhouguguo
印欧语系	yinouyuxi
雅利安语系	yalianyuxi
赫梯语	hetiyu
赫梯人	hetiren
涅西特语	niexiteyu
涅西特人	niexiteren
赫梯国家	hetiguojia
近东文明	jindongwenming
爱琴文明	aiqinwenming
亚述人	yashuren
商业殖民地	shangyezhimindi
卡尼什	kanishen
商业公社	shangyegongshe
楔形文字	xiexingwenzi
哈里斯河	halisihe
今土耳其	jintuerqi
基齐尔	jiqier
伊尔马克河	yiermakehe
经济中	jingjizhong
金属冶炼	jinshuyelian
两河流域	liangheliuyu
赫梯族	hetizu
印欧语	yinouyu
的部落	debuluo
最早出现	zuizaochuxian
的语言	deyuyan
世界历史上	shijielishishang
的政权	dezhengquan
苏维埃政府	suweiaizhengfu
十月革命	shiyuegeming
布尔什维克党	buershiweikedang
沙俄帝国	shaediguo
布列斯特和约	buliesiteheyue
托洛茨基	tuoluociji
白军	baijun
协约国	xieyueguo
苏维埃政权	suweiaizhengquan
新经济政策	xinjingjizhengce
农民问题	nongminwenti
余粮无偿征集	yuliangwuchangzhengji
市场买卖	shichangmaimai
弗拉基米尔	fulajimier
伊里奇	yiliqi
列宁	liening
约瑟夫	yuesefu
维萨里奥诺维奇	weisaliaonuoweiqi
斯大林	sidalin
清洗了	qingxile
政治对手	zhengzhiduishou
农业集体化政策	nongyejitihuazhengce
肃反	sufan
苏联共产党	suliangongchandang
大清洗	daqingxi
宣布断绝	xuanbuduanjue
英苏关系	yingsuguanxi
英苏贸易协定	yingsumaoyixieding
英国外交大臣	yingguowaijiaodachen
张伯伦	zhangbolun
六国外长会议	liuguowaizhanghuiyi
共产国际	gongchanguoji
做斗争	zuodouzheng
威而士	weiershi
联姻合并	lianyinhebing
都铎王朝	duduowangchao
伊里莎白一世	yilishabaiyishi
苏格兰国王	sugelanguowang
詹姆士	zhanmushi
克伦威尔	kelunweier
革命军	gemingjun
英国国会	yingguoguohui
独立为	duliwei
爱尔兰共和国	aierlangongheguo
北部的	beibude
北爱尔兰	beiaierlan
大不列颠	dabuliedian
联合王国	lianhewangguo
罗慕路斯	luomulusi
雷穆斯	leimusi
古意大利	guyidali
伊特鲁里亚	yiteluliya
古罗马人	guluomaren
伊特鲁里亚城	yiteluliyacheng
新罗马共和国	xinluomagongheguo
意大利南部	yidalinanbu
迦太基战争	jiataijizhanzheng
西西里	xixili
高卢	gaolu
屋大维	wudawei
安东尼	andongni
埃及女王	aijinvwang
克娄巴特拉	keloubatela
古罗马帝国	guluomadiguo
奥古斯都	aogusidu
凯撒	kaisa
君士坦丁大帝	junshitandingdadi
国教	guojiao
拜占庭	baizhanting
君士坦丁堡	junshitandingbao
哥特人	geteren
汪达尔人	wangdaerren
匈奴人	xiongnuren
阿拉伯人	alaboren
塞尔维亚王国	saierweiyawangguo
法国	faguo
比利时	bilishi
大英帝国	dayingdiguo
意大利王国	yidaliwangguo
三国同盟	sanguotongmeng
加入协约国	jiaruxieyueguo
同盟国	tongmengguo
奥匈帝国	aoxiongdiguo
奥斯曼帝国	aosimandiguo
土耳其帝国	tuerqidiguo
亚非欧	yafeiou
三大洲	sandazhou
大陆交通	dalujiaotong
奥斯曼土耳其人	aosimantuerqiren
西突厥人	xitujueren
世界民族大迁徙	shijieminzudaqianxi
中国北部	zhongguobeibu
中亚大草原	zhongyadacaoyuan
伊朗高原	yilanggaoyuan
伊朗东部	yilangdongbu
呼罗珊地区	huluoshandiqu
真主安拉	zhenzhuanla
上帝之鞭	shangdizhibian
厄尔图格鲁尔	eertugeluer
塞尔柱土耳其人	saierzhutuerqiren
罗姆苏丹国	luomusudanguo
罗姆苏丹	luomusudan
奥斯曼人	aosimanren
拜占庭帝国	baizhantingdiguo
索古德地区	suogudediqu
印度河文明	yinduhewenming
雅利安人	yalianren
南亚次大陆	nanyacidalu
种姓制度	zhongxingzhidu
孔雀王朝	kongquewangchao
印度次大陆	yinducidalu
阿育王	ayuwang
印度教	yindujiao
穆斯林民族	musilinminzu
莫卧儿帝国	mowoerdiguo
世界强国	shijieqiangguo
反英大起义	fanyingdaqiyi
英国政府	yingguozhengfu
自治领	zizhiling
印巴分治	yinbafenzhi
印度独立	yinduduli
印度共和国	yindugongheguo
英联邦	yinglianbang
英国统治	yingguotongzhi
英属北美殖民地	yingshubeimeizhimindi
殖民地代表	zhimindidaibiao
共同发表	gongtongfabiao
独立宣言	dulixuanyan
独立战争	dulizhanzheng
签订了	qiandingle
巴黎条约	balitiaoyue
世界各国	shijiegeguo
的承认	dechengren
十九世纪	shijiushiji
七十年代	qishiniandai
国民经济	guominjingji
全球第一	quanqiudiyi
南北战争	nanbeizhanzheng
大萧条	daxiaotiao
冷战结束	lengzhanjieshu
当今世界	dangjinshijie
唯一的	weiyide
超级大国	chaojidaguo
今天的	jintiande
联合国安全理事会	lianheguoanquanlishihui
常任理事国	changrenlishiguo
哥伦布	gelunbu
西印度群岛	xiyinduqundao
逐渐成为	zhujianchengwei
被英国	beiyingguo
开始衰落	kaishishuailuo
第一共和国	diyigongheguo
美西战争	meixizhanzheng
亚太的	yataide
最后几块	zuihoujikuai
保持中立	baochizhongli
被推翻	beituifan
第二共和国	diergongheguo
社会党	shehuidang
参加的	canjiade
联合政府	lianhezhengfu
佛朗哥	folangge
发动叛乱	fadongpanluan
三年内战	sannianneizhan
夺取政权	duoquzhengquan
年之久	nianzhijiu
与德国	yudeguo
军事同盟	junshitongmeng
侵苏战争	qinsuzhanzheng
君主国	junzhuguo
自任	ziren
终身国家元首	zhongshenguojiayuanshou
末代国王	modaiguowang
阿方索十三世	afangsuoshisanshi
之孙	zhisun
胡安	huan
卡洛斯	kaluosi
承继人	chengjiren
卡洛斯一世	kaluosiyishi
登基	dengji
恢复君主制	huifujunzhuzhi
国王任命	guowangrenming
国民运动	guominyundong
秘书长	mishuzhang
苏亚雷斯	suyaleisi
为首相	weishouxiang
开始向	kaishixiang
西方议会民主政治	xifangyihuiminzhuzhengzhi
卡斯蒂利亚王国	kasidiliyawangguo
阿丰索	afengsuo
恩里克	enlike
称王	chengwang
巴托罗缪	batuoluomiu
迪亚兹	diyazi
好望角	haowangjiao
香料贸易	xiangliaomaoyi
瓦思库	wasiku
加玛	jiama
远征舰队	yuanzhengjiandui
佩卓	peizhuo
奥维瑞许	aoweiruixu
卡布奥	kabuao
葡萄牙帝国	putaoyadiguo
该国的	gaiguode
第一位国王	diyiweiguowang
独立的	dulide
君主制国家	junzhuzhiguojia
光复领土	guangfulingtu
的战争	dezhanzheng
罗马教皇	luomajiaohuang
欧洲大陆	ouzhoudalu
出现的	chuxiande
民族国家	minzuguojia
的版图	debantu
成型于	chengxingyu
阿方索三世	afangsuosanshi
统治时期	tongzhishiqi
形成部落	xingchengbuluo
早期封建国家	zaoqifengjianguojia
德国各地	deguogedi
东德	dongde
西德	xide
农奴制度	nongnuzhidu
效法西方	xiaofaxifang
派遣使团	paiqianshituan
随团出访	suituanchufang
彼得一世改革	bideyishigaige
叶卡捷琳娜二世	yekajielinnaershi
空前膨胀	kongqianpengzhang
黄金时期	huangjinshiqi
世纪末	shijimo
世纪初	shijichu
社会主义革命	shehuizhuyigeming
日不落帝国	ribuluodiguo
第一次世界大战后	diyicishijiedazhanhou
开始衰败	kaishishuaibai
北爱兰郡	beiailanjun
爱尔兰南部	aierlannanbu
独立国家	duliguojia
威斯敏斯特法案	weisiminsitefaan
被迫承认	beipochengren
外交上	waijiaoshang
独立自主	dulizizhu
大英帝国殖民体系	dayingdiguozhimintixi
第二次世界大战中	diercishijiedazhanzhong
经济实力	jingjishili
政治地位	zhengzhidiwei
欧洲共同体	ouzhougongtongti
先后来到	xianhoulaidao
大英博物馆	dayingbowuguan
圆形阅览室	yuanxingyuelanshi
相继入侵	xiangjiruqin
并定居	bingdingju
开始形成	kaishixingcheng
威塞克斯	weisaikesi
海盗帝国	haidaodiguo
被迫签署	beipoqianshu
西方国家	xifangguojia
外交斡旋	waijiaowoxuan
军事调遣	junshidiaoqian
沙漠风暴	shamofengbao
军事打击	junshidaji
多国部队	duoguobudui
伊拉克部队	yilakebudui
发动了	fadongle
代号为	daihaowei
沙漠军刀	shamojundao
地面攻势	dimiangongshi
伊拉克军队	yilakejundui
有关决议	youguanjueyi
进攻性行动	jingongxingxingdong
大规模杀伤性武器	daguimoshashangxingwuqi
潜在威胁	qianzaiweixie
过渡政府	guoduzhengfu
全民公决	quanmingongjue
高支持率	gaozhichilv
获得通过	huodetongguo
举行了	juxingle
伊战后	yizhanhou
首次正式	shoucizhengshi
议会选举	yihuixuanju
海湾战争	haiwanzhanzheng
为首的	weishoude
多国联盟	duoguolianmeng
联合国安理会	lianheguoanlihui
授权下	shouquanxia
为恢复	weihuifu
领土完整	lingtuwanzheng
波斯湾	bosiwan
西亚中部	xiyazhongbu
周边国家	zhoubianguojia
世界石油主产区	shijieshiyouzhuchanqu
爆发了	baofale
局部战争	jubuzhanzheng
冷战后	lengzhanhou
国际新秩序	guojixinzhixu
的建立	dejianli
高技术条件	gaojishutiaojian
军事战略	junshizhanlue
战役战术	zhanyizhanshu
军队建设	junduijianshe
石油问题	shiyouwenti
宣告破裂	xuangaopolie
占领全境	zhanlingquanjing
美国军队	meiguojundui
以美国为首的	yimeiguoweishoude
海湾战争爆发	haiwanzhanzhengbaofa
法西斯	faxisi
军国主义	junguozhuyi
彻底失败	chedishibai
日本政府	ribenzhengfu
制定了	zhidingle
农业基本法	nongyejibenfa
工业发展	gongyefazhan
日本经济	ribenjingji
实现了	shixianle
长期持续	changqichixu
高速增长	gaosuzengzhang
国民生产总值	guominshengchanzongzhi
大幅度提高	dafudutigao
资本主义世界	zibenzhuyishijie
美国的	meiguode
明治维新	mingzhiweixin
在日本	zairiben
政治革命	zhengzhigeming
德川幕府	dechuanmufu
的统治	detongzhi
青年武士	qingnianwushi
富国强兵	fuguojiangbing|fuguoqiangbing
为口号	weikouhao
废藩置县	feifanzhixian
封建政权	fengjianzhengquan
常备军	changbeijun
全国义务兵制	quanguoyiwubingzhi
农业税	nongyeshui
明治政府	mingzhizhengfu
内阁制	neigezhi
制宪	zhixian
正式颁布	zhengshibanbu
年召开	nianzhaokai
第一届	diyijie
政治改革	zhengzhigaige
军事工业	junshigongye
亚洲强国	yazhouqiangguo
第二经济大国	dierjingjidaguo
工党	gongdang
执政党	zhizhengdang
年成立	nianchengli
劳工代表委员会	laogongdaibiaoweiyuanhui
上台执政	shangtaizhizheng
大选获胜	daxuanhuosheng
月大选	yuedaxuan
中产阶级	zhongchanjieji
的利益	deliyi
工党领袖	gongdanglingxiu
政治上	zhengzhishang
新工党	xingongdang
新英国	xinyingguo
的口号	dekouhao
党章中	dangzhangzhong
第四条款	disitiaokuan
政府干预	zhengfuganyu
严格控制	yangekongzhi
公共开支	gonggongkaizhi
福利制度	fulizhidu
对外主张	duiwaizhuzhang
积极参与	jijicanyu
国际合作	guojihezuo
欧洲一体化	ouzhouyitihua
积极态度	jijitaidu
加入欧元	jiaruouyuan
同美国	tongmeiguo
特殊关系	teshuguanxi
现有党员	xianyoudangyuan
是英国	shiyingguo
保守党	baoshoudang
反对党	fanduidang
托利党	tuolidang
企业界	qiyejie
富裕阶层	fuyujieceng
自由市场经济	ziyoushichangjingji
货币供应量	huobigongyingliang
保守主义	baoshouzhuyi
社会问题	shehuiwenti
英国主权	yingguozhuquan
联邦欧洲	lianbangouzhou
加入欧盟	jiaruoumeng
主张建立	zhuzhangjianli
大西洋共同体	daxiyanggongtongti
第一大党	diyidadang
诺姆	nuomu
法老	falao
纸草	zhicao
佛教	fojiao
采邑	caiyi
大食	dashi
近代	jindai
清教	qingjiao
容克	rongke
现代	xiandai
苏俄	sue
苏联	sulian
契卡	qika
人物	renwu
贞德	zhende
但丁	danding
卢梭	lusuo
欧文	ouwen
基佐	jizuo
林肯	linken
盖得	gaide
牛顿	niudun
瓦特	wate
洪堡	hongbao
歌德	gede
雨果	yuguo
铁托	tietuo
甘地	gandi
真纳	zhenna
昂山	angshan
胡佛	hufo
事件	shijian
色当	sedang
庞贝	pangbei
俱卢	julu
摩差	mocha
车底	chedi
跋沙	basha
迦尸	jiashi
末罗	moluo
跋祗	bazhi
鸯迦	yangjia
吠舍	feishe
手斧	shoufu
封泥	fengni
利簋	ligui
武丁	wuding
室町	shiding
猿乐	yuanle
关白	guanbai
贝冢	beizhong
岚山	lanshan
度田	dutian
三饷	sanxiang
邸店	didian
飞钱	feiqian
钱引	qianyin
榷场	quechang
庸客	yongke
闾左	lvzuo
包衣	baoyi
堕民	duomin
荫生	yinsheng
制科	zhike
通事	tongshi
田凭	tianping
商凭	shangping
洪门	hongmen
湘军	xiangjun
淮军	huaijun
民报	minbao
新军	xinjun
武科	wuke
恩科	enke
经义	jingyi
贴经	tiejing
人殉	renxun
通典	tongdian
通志	tongzhi
史通	shitong
十通	shitong
通史	tongshi
方志	fangzhi
施洋	shiyang
典型的	dianxingde
的入侵	deruqin
木乃伊	munaiyi
犹太教	youtaijiao
瓦尔那	waerna
希洛人	xiluoren
儒略历	rulueli
教阶制	jiaojiezhi
遣唐使	qiantangshi
哈里发	halifa
乌托邦	wutuobang
耶稣会	yesuhui
安立甘	anligan
国际歌	guojige
可能派	kenengpai
费边社	feibianshe
红衫军	hongshanjun
宅地法	zhaidifa
三党	sandang
武士道	wushidao
柴明达	chaimingda
哥萨克	gesake
民粹派	mincuipai
经济派	jingjipai
苏维埃	suweiai
寇松线	kousongxian
冲锋队	chongfengdui
党卫军	dangweijun
授权法	shouquanfa
组合国	zuheguo
关东军	guandongjun
总体战	zongtizhan
闪击战	shanjizhan
租借法	zujiefa
轴心国	zhouxinguo
联合国	lianheguo
居鲁士	julushi
冈比西	gangbixi
托勒密	tuolemi
柏拉图	bolatu
拉齐斯	laqisi
萨拉丁	salading
帖木儿	tiemuer
克洛维	keluowei
哥白尼	gebaini
布鲁诺	bulunuo
伽里略	jialilue
奥列格	aoliege
达芬奇	dafenqi
伏尔泰	fuertai
杰斐逊	jiefeixun
巴贝夫	babeifu
圣西门	shengximen
傅立叶	fuliye
黑格尔	heigeer
魏特林	weitelin
马克思	makesi
恩格斯	engesi
梅特涅	meitenie
梯也尔	tiyeer
马志尼	mazhini
加富尔	jiafuer
俾斯麦	bisimai
拉萨尔	lasaer
倍倍尔	beibeier
赫尔岑	heercen
片山潜	pianshanqian
克莱武	kelaiwu
蒲鲁东	puludong
巴枯宁	bakuning
魏德迈	weidemai
考茨基	kaociji
蔡特金	caitejin
米勒兰	milelan
罗得斯	luodesi
蒂拉克	dilake
达尔文	daerwen
摩尔根	moergen
诺贝尔	nuobeier
爱迪生	aidisheng
贝多芬	beiduofen
裴多菲	peiduofei
布哈林	buhalin
基洛夫	jiluofu
卢森堡	lusenbao
台尔曼	taierman
艾伯特	aibote
胡志明	huzhiming
葛兰西	gelanxi
凯末尔	kaimoer
尼赫鲁	nihelu
桑地诺	sangdinuo
丘吉尔	qiujier
达拉第	daladi
戈培尔	gepeier
吉斯林	jisilin
腓尼基	feiniji
斯巴达	sibada
基辅国	jifuguo
米骚动	misaodong
纳粹党	nacuidang
马其顿	maqidun
滑铁卢	huatielu
国大党	guodadang
农奴制	nongnuzhi
华夫脱	huafutuo
苏台德	sutaide
大流士	daliushi
闵采尔	mincaier
阿奎那	akuina
裴多斐	peiduofei
菊与刀	juyudao
尼尼微	niniwei
阿卡德	akade
锡兰岛	xilandao
般遮罗	banzheluo
苏罗婆	suluopo
阿般提	abanti
阿湿波	ashibo
摩揭陀	mojietuo
华氏城	huashicheng
刹帝利	shadili
首陀罗	shoutuoluo
萨尔贡	saergong
铁列平	tielieping
涅木虎	niemuhu
耆那教	qinajiao
窣堵波	sudubo
解负令	jiefuling
逻各斯	luogesi
李锡尼	lixini
李奇微	liqiwei
雷必达	leibida
高墨达	gaomoda
珍宝岛	zhenbaodao
海兰泡	hailanpao
奠边府	dianbianfu
霍梅尼	huomeini
非国大	feiguoda
平等派	pingdengpai
辉格党	huigedang
土墩墓	tudunmu
失蜡法	shilafa
塔西坨	taxituo
金奔巴	jinbenba
印加田	yinjiatian
太阳田	taiyangtian
公社田	gongshetian
闪电貂	shandiandiao
左塞王	zuosaiwang
苏莱曼	sulaiman
海护王	haihuwang
图拉真	tulazhen
月护王	yuehuwang
土一揆	tuyikui
白鹭城	bailucheng
聚乐第	juledi
飞脚屋	feijiaowu
净瑠璃	jingliuli
伏见城	fujiancheng
浅草寺	qiancaosi
鹿苑寺	luyuansi
东大寺	dongdasi
天守阁	tianshouge
平城京	pingchengjing
