阿巴斯港	abasigang
班珠尔	banzhuer
半自动焊	banzidonghan
邦帕空	bangpakong
邦戎曲线	bangrongquxian
磅逊	bangxun
绑扎单元	bangzadanyuan
曝光测定术	baoguangcedingshu
保护导架	baohudaojia
保护电流密度	baohudianliumidu
保护电位范围	baohudianweifanwei
保护性覆盖层	baohuxingfugaiceng
保全险	baoquanxian
保温服	baowenfu
保温管道	baowenguandao
保温用具	baowenyongju
报务室	baowushi
保险撑	baoxiancheng
包运租船	baoyunzuchuan
爆炸包覆	baozhabaofu
包装舱容	baozhuangcangrong
贝尔法斯特	beierfasite
卑尔根	beiergen
贝贾亚	beijiaya
贝克舵	beikeduo
背空化	beikonghua
贝拉	beila
贝鲁特	beilute
贝伦	beilun
备用泵	beiyongbeng
备用发电机组	beiyongfadianjizu
备用发信机	beiyongfaxinji
备用收信机	beiyongshouxinji
本初子午线	benchuziwuxian
泵舱	bengcang
泵吸姓	bengxixing
泵油和驳油	bengyouheboyou
舭板	biban
舭部半径	bibubanjing
舭部扶手	bibufushou
舭部升高	bibushenggao
舭墩	bidun
毕尔巴鄂	bierbae
比尔堡	bierbao
彼尔姆	biermu
臂杆舷外跨距	biganxianwaikuaju
闭环操纵性	bihuancaozongxing
比雷埃夫斯	bileiaifusi
舭肋骨	bileigu
比例作用	bilizuoyong
舭列板	bilieban
舭龙骨	bilonggu
舭龙骨阻尼	bilongguzuni
避碰灯	bipengdeng
避碰雷达	bipengleida
避碰声呐	bipengshengna
避碰装置	bipengzhuangzhi
比塞大	bisaida
闭式给水系统	bishigeishuixitong
避振穴	bizhenxue
舭肘板	bizhouban
舭纵桁	bizongheng
边舱	biancang
边舵	bianduo
变幅绞车	bianfujiaoche
扁管冷却器	bianguanlengqueqi
变螺距	bianluoju
边抛装置	bianpaozhuangzhi
扁刷	bianshua
变速送丝	biansusongsi
便携电话	bianxiedianhua
变形载荷	bianxingzaihe
鞭状天线	bianzhuangtianxian
标称伴流	biaochengbanliu
表观进速系数	biaoguanjinsuxishu
标记	biaoji
表面力	biaomianli
表铜截止阀	biaotongjiezhifa
标准船模	biaozhunchuanmu
标准排放接头	biaozhunpaifangjietou
槟城	bincheng
并车	bingche
并车屏	bingcheping
冰带区	bingdaiqu
病房呼叫	bingfanghujiao
并靠	bingkao
冰块挤压力	bingkuaijiyali
并联舵	binglianduo
并列成一线	bingliechengyixian
冰锚	bingmao
冰区加强	bingqujiaqiang
冰水池	bingshuichi
冰下穿索器	bingxiachuansuoqi
冰载荷	bingzaihe
驳船	bochuan
渤船重工	bochuanzhonggong
波尔多	boerduo
伯尔尼瑞士	boerniruishi
伯方	bofang
拨号	bohao
波季	boji
波激振动	bojizhendong
伯肯黑德	bokenheide
波浪冲击载荷	bolangchongjizaihe
波浪扭矩	bolangniuju
波浪谱	bolangpu
波浪要素	bolangyaosu
波浪仪绞车	bolangyijiaoche
波浪载荷	bolangzaihe
波里	boli
玻璃钢船	boligangchuan
伯利兹	bolizi
波能波密度	bonengbomidu
伯尼	boni
波倾角	boqingjiao
勃生	bosheng
波士顿	boshidun
波特兰	botelan
泊位结构	boweijiegou
波形舱口盖	boxingcangkougai
波型阻力	boxingzuli
布埃纳文图拉	buainawentula
不沉性	buchenxing
补充加速度	buchongjiasudu
不定常空泡	budingchangkongpao
不对称电压	buduichendianya
不对称浸水	buduichenjinshui
布尔加斯	buerjiasi
部分浸水试验	bufenjinshuishiyan
补给浮标	bugeifubiao
不规则波	buguizebo
部件装配	bujianzhuangpei
捕鲸船	bujingchuan
捕鲸母船	bujingmuchuan
不莱梅	bulaimei
不来梅	bulaimei
不来梅港	bulaimeigang
布缆船	bulanchuan
布缆浮筒	bulanfutong
布兰卡港	bulankagang
捕捞机械	bulaojixie
布雷舰艇	buleijianting
布雷斯特	buleisite
布里齐敦	buliqidun
布里斯班	bulisiban
不平衡舵	bupinghengduo
布什尔	bushier
不稳定环	buwendinghuan
不稳定空泡	buwendingkongpao
不锈钢薄板	buxiugangbaoban
不锈钢钢棒	buxiuganggangbang
不中断电源	buzhongduandianyuan
采样平台	caiyangpingtai
舱壁	cangbi
舱壁板	cangbiban
舱壁板架	cangbibanjia
舱壁阀	cangbifa
舱壁扶强材	cangbifuqiangcai
舱壁骨架	cangbigujia
舱壁甲板	cangbijiaban
舱壁龛	cangbikan
舱壁座	cangbizuo
舱单	cangdan
舱底泵	cangdibeng
舱底货	cangdihuo
舱底污水	cangdiwushui
舱底消防泵	cangdixiaofangbeng
舱底压载泵	cangdiyazaibeng
舱顶灯	cangdingdeng
舱盖板	canggaiban
舱盖结构	canggaijiegou
舱盖启闭装置	canggaiqibizhuangzhi
舱盖起升器	canggaiqishengqi
舱盖压紧装置	canggaiyajinzhuangzhi
舱盖曳行装置	canggaiyexingzhuangzhi
舱口	cangkou
舱口边梁	cangkoubianliang
舱口端梁	cangkouduanliang
舱口盖绞车	cangkougaijiaoche
舱口活动横梁	cangkouhuodonghengliang
舱口围	cangkouwei
舱口围板	cangkouweiban
舱口悬臂梁	cangkouxuanbiliang
舱口纵桁	cangkouzongheng
舱面属具	cangmianshuju
舱容图	cangrongtu
舱室	cangshi
舱室布置	cangshibuzhi
舱室铭牌	cangshimingpai
舱室设备	cangshishebei
舱室属具	cangshishuju
舱室通风机	cangshitongfengji
舱室五金	cangshiwujin
舱图	cangtu
操舵拉杆	caoduolagan
操舵链	caoduolian
操舵轮	caoduolun
操舵目标灯	caoduomubiaodeng
操舵试验	caoduoshiyan
操舵索	caoduosuo
操舵台	caoduotai
操舵轴	caoduozhou
操舵装置	caoduozhuangzhi
槽型舱壁	caoxingcangbi
槽形舱壁板	caoxingcangbiban
操纵缆	caozonglan
操纵区域	caozongquyu
操纵试验	caozongshiyan
操纵限制灯	caozongxianzhideng
操纵信号灯	caozongxinhaodeng
操纵性衡准	caozongxinghengzhun
操纵性试验	caozongxingshiyan
操纵周期	caozongzhouqi
操作污染	caozuowuran
测爆	cebao
测量	celiang
测量船	celiangchuan
测量缸套	celianggangtao
测深尺	ceshenchi
测深仪舱	ceshenyicang
测试段	ceshiduan
测速传感器	cesuchuanganqi
侧推器	cetuiqi
侧向承载桩	cexiangchengzaizhuang
侧向推力装置	cexiangtuilizhuangzhi
侧斜角	cexiejiao
侧移式舱口盖	ceyishicangkougai
侧轴系	cezhouxi
层状腐蚀	cengzhuangfushi
差奥米伽系统	chaaomijiaxitong
插拔桩状态	chabazhuangzhuangtai
差动舵	chadongduo
差动作用	chadongzuoyong
查尔斯顿	chaersidun
查尔斯敦	chaersidun
插头	chatou
插座	chazuo
拆船	chaichuan
柴油沉淀柜	chaiyouchendiangui
柴油澄清舱	chaiyoudengqingcang|chaiyouchengqingcang
柴油分油机	chaiyoufenyouji
柴油机船	chaiyoujichuan
柴油日用柜	chaiyouriyonggui
柴油输送泵	chaiyoushusongbeng
拆装校正	chaizhuangjiaozheng
铲斗背度装置	chandoubeiduzhuangzhi
铲斗吊杆	chandoudiaogan
铲斗起升装置	chandouqishengzhuangzhi
铲斗支架	chandouzhijia
铲斗转盘	chandouzhuanpan
铲扬机	chanyangji
长波通信	changbotongxin
长度吃水比	changduchishuibi
长峰波	changfengbo
常规潜艇	changguiqianting
长崎	changqi
长期倒车工况	changqidaochegongkuang
长期停车	changqitingche
长深比	changshenbi
长艏楼船	changshoulouchuan
敞水试验箱	changshuishiyanxiang
长滩	changtan
长艉楼船	changweilouchuan
场吸收	changxishou
常用缩语	changyongsuoyu
超短波通信	chaoduanbotongxin
超空化	chaokonghua
超空化螺旋桨	chaokonghualuoxuanjiang
超扭保护装置	chaoniubaohuzhuangzhi
超速保护装置	chaosubaohuzhuangzhi
抄网机	chaowangji
潮汐区腐蚀	chaoxiqufushi
超越角	chaoyuejiao
掣链钩	cheliangou
掣链器	chelianqi
车辆舱	cheliangcang
车辆甲板	cheliangjiaban
掣锚器	chemaoqi
掣锚索	chemaosuo
撤汽系统	cheqixitong
掣索器	chesuoqi
车钟	chezhong
车钟记录薄	chezhongjilubo|chezhongjilubao
车钟记录仪	chezhongjiluyi
沉垫	chendian
沉浮状态	chenfuzhuangtai
沉石箱	chenshixiang
沉坞坑	chenwukeng
承包型拖航合同	chengbaoxingtuohanghetong
撑材	chengcai
成品油船	chengpinyouchuan
成束电缆	chengshudianlan
成束阻燃电缆	chengshuzurandianlan
承推架	chengtuijia
澄西船厂	chengxichuanchang
尺度效应	chiduxiaoying
吃水	chishui
吃水标志	chishuibiaozhi
吃水梯	chishuiti
吃水限制灯	chishuixianzhideng
吃水型深比	chishuixingshenbi
齿形孔	chixingkong
持续常用功率	chixuchangyonggonglv
冲荡	chongdang
充电器	chongdianqi
重叠船模	chongdiechuanmu
重叠螺旋桨	chongdieluoxuanjiang
充放电板	chongfangdianban
冲击	chongji
冲击腐蚀	chongjifushi
充气试验	chongqishiyan
冲水泵	chongshuibeng
冲水管	chongshuiguan
冲水试验	chongshuishiyan
冲箱式造波机	chongxiangshizaoboji
冲翼艇	chongyiting
冲桩	chongzhuang
抽舱排泥装置	choucangpainizhuangzhi
抽气真空泵组	chouqizhenkongbengzu
抽屉柜	choutigui
储备浮力	chubeifuli
储备排水量	chubeipaishuiliang
出入舱口盖	churucangkougai
初始对准	chushiduizhun
初始舵角	chushiduojiao
初始加速度	chushijiasudu
初稳性	chuwenxing
出坞	chuwu
储油船	chuyouchuan
出油管道	chuyouguandao
储油平台	chuyoupingtai
储油系统	chuyouxitong
初重稳距	chuzhongwenju
初转能力	chuzhuannengli
初转期	chuzhuanqi
船舶	chuanbo
船舶操纵性	chuanbocaozongxing
船舶常数	chuanbochangshu
船舶导航	chuanbodaohang
船舶抵押贷款	chuanbodiyadaikuan
船舶电气设备	chuanbodianqishebei
船舶电气装置	chuanbodianqizhuangzhi
船舶电站	chuanbodianzhan
船舶电子电气	chuanbodianzidianqi
船舶动力装置	chuanbodonglizhuangzhi
船舶辅机	chuanbofuji
船舶改装	chuanbogaizhuang
船舶工程	chuanbogongcheng
船舶工程技术	chuanbogongchengjishu
船舶国籍证书	chuanboguojizhengshu
船舶建造检验	chuanbojianzaojianyan
船舶控制中心	chuanbokongzhizhongxin
船舶快速性	chuanbokuaisuxing
船舶涂料	chuanbotuliao
船舶推进	chuanbotuijin
船舶拖曳力	chuanbotuoyeli
船舶消防装置	chuanboxiaofangzhuangzhi
传播压力	chuanboyali
船舶摇荡	chuanboyaodang
船舶与海洋工程	chuanboyuhaiyanggongcheng
船舶噪声	chuanbozaosheng
船舶振动测量	chuanbozhendongceliang
船舶制冷装置	chuanbozhilengzhuangzhi
船舶轴系用钢	chuanbozhouxiyonggang
船舶总长度	chuanbozongchangdu
船舶阻力	chuanbozuli
船侧板架	chuancebanjia
船侧骨架	chuancegujia
船厂	chuanchang
传导发射	chuandaofashe
传导干扰	chuandaoganrao
传导敏感度	chuandaomingandu
船底板	chuandiban
船底板架	chuandibanjia
传递对准	chuandiduizhun
船底防污涂料	chuandifangwutuliao
船底防锈涂料	chuandifangxiutuliao
船底横骨	chuandihenggu
船底净空	chuandijingkong
船底肋骨	chuandileigu
船底剖面模数	chuandipoumianmoshu
船底塞	chuandisai
船底涂料	chuandituliao
船底望光	chuandiwangguang
船底纵骨	chuandizonggu
船东代表	chuandongdaibiao
传动端	chuandongduan
船级	chuanji
船籍港	chuanjigang
船级社	chuanjishe
穿甲性	chuanjiaxing
船壳板	chuanqiaoban|chuankeban
船壳涂料	chuanketuliao
船宽	chuankuan
串联式船坞	chuanlianshichuanwu
串联造船法	chuanlianzaochuanfa
串列螺旋桨	chuanlieluoxuanjiang
船码头	chuanmatou
船名灯	chuanmingdeng
船模	chuanmu
船模试验水池	chuanmushiyanshuichi
船模系列试验	chuanmuxilieshiyan
船模自航点	chuanmuzihangdian
船模阻力仪	chuanmuzuliyi
川内	chuannei
船排	chuanpai
船排滑道	chuanpaihuadao
川崎	chuanqi
船旗国	chuanqiguo
川崎汽船	chuanqiqichuan
船上排泥管	chuanshangpainiguan
船身效率	chuanshenxiaolv
船艏	chuanshou
船首部结构	chuanshoubujiegou
船首加速度	chuanshoujiasudu
船首外板	chuanshouwaiban
船首住舱	chuanshouzhucang
穿梭油船	chuansuoyouchuan
船台	chuantai
船台标杆线	chuantaibiaoganxian
船台坡度	chuantaipodu
船台小车	chuantaixiaoche
船台中心线板	chuantaizhongxinxianban
船台装配	chuantaizhuangpei
船体	chuanti
船梯	chuanti
船体板架强度	chuantibanjiaqiangdu
船体部分	chuantibufen
船体等值梁	chuantidengzhiliang
船体放样	chuantifangyang
船体概率强度	chuantigailvqiangdu
船体刚度	chuantigangdu
船体回路系统	chuantihuiluxitong
船体极限弯矩	chuantijixianwanju
船体加工	chuantijiagong
船体建造工艺	chuantijianzaogongyi
船体结构	chuantijiegou
船体结构钢	chuantijiegougang
船体梁振动	chuantiliangzhendong
船体零件号料	chuantilingjianhaoliao
船体密性试验	chuantimixingshiyan
船体挠度	chuantinaodu
船体扭转振动	chuantiniuzhuanzhendong
船体强度	chuantiqiangdu
船体强度标准	chuantiqiangdubiaozhun
船体外板测厚	chuantiwaibancehou
船体型表面	chuantixingbiaomian
船体应力测量	chuantiyingliceliang
船体振动	chuantizhendong
船体振动性态	chuantizhendongxingtai
船体振动阻尼	chuantizhendongzuni
船体中和轴	chuantizhonghezhou
船体装配	chuantizhuangpei
船外板	chuanwaiban
船尾住舱	chuanweizhucang
船坞	chuanwu
船坞引船车	chuanwuyinchuanche
船型系数	chuanxingxishu
船用泵	chuanyongbeng
船用变压器	chuanyongbianyaqi
船用柴油机	chuanyongchaiyouji
船用产品检验	chuanyongchanpinjianyan
船用厨房设备	chuanyongchufangshebei
船用电力电缆	chuanyongdianlidianlan
船用电灶	chuanyongdianzao
船用阀门	chuanyongfamen
船用防爆风机	chuanyongfangbaofengji
船用防火板	chuanyongfanghuoban
船用焚烧炉	chuanyongfenshaolu
船用风机	chuanyongfengji
船用隔热材料	chuanyonggerecailiao
船用广播设备	chuanyongguangboshebei
船用焊剂	chuanyonghanji
船用焊丝	chuanyonghansi
船用焊条	chuanyonghantiao
船用家具	chuanyongjiaju
船用胶合板	chuanyongjiaoheban
船用炉灶	chuanyongluzao
船用铝合金	chuanyonglvhejin
船用汽轮机	chuanyongqilunji
船用气瓶	chuanyongqiping
船用燃气轮机	chuanyongranqilunji
船用射频电缆	chuanyongshepindianlan
船用钛合金	chuanyongtaihejin
船用铜合金	chuanyongtonghejin
船用通信电缆	chuanyongtongxindianlan
船用同轴电缆	chuanyongtongzhoudianlan
船用卫生设备	chuanyongweishengshebei
船用蓄电池组	chuanyongxudianchizu
船用压缩机	chuanyongyasuoji
船用液压泵站	chuanyongyeyabengzhan
船用油分离机	chuanyongyoufenliji
船员	chuanyuan
船员舱	chuanyuancang
船员室	chuanyuanshi
船长室	chuanzhangshi
船装	chuanzhuang
船装部分	chuanzhuangbufen
垂荡	chuidang
捶击	chuiji
垂线间长	chuixianjianchang
垂向棱形系数	chuixianglengxingxishu
垂向弯曲振动	chuixiangwanquzhendong
垂直加速度	chuizhijiasudu
垂直鱼探仪	chuizhiyutanyi
纯粹自航试验	chuncuizihangshiyan
磁北	cibei
磁粉探险伤	cifentanxianshang
磁力仪绞车	ciliyijiaoche
磁罗经	ciluojing
磁盘	cipan
刺网延绳钓机	ciwangyanshengdiaoji
次要构件	ciyaogoujian
粗糙度阻力	cucaoduzuli
催蚀剂	cuishiji
催速剂	cuisuji
锉刀钢锯架	cuodaogangjujia
大阪	daban
大船标志灯	dachuanbiaozhideng
打底焊	dadihan
大地水准面	dadishuizhunmian
大地吸收	dadixishou
达尔贝达	daerbeida
大副	dafu
大副室	dafushi
大管轮	daguanlun
大管轮室	daguanlunshi
达卡	daka
达喀尔	dakaer
打捞船	dalaochuan
打捞浮筒	dalaofutong
打捞救助气瓶	dalaojiuzhuqiping
达累斯萨拉姆	daleisisalamu
大连大正	daliandazheng
大连新厂	dalianxinchang
达曼	daman
达米埃塔	damiaita
达尼丁	daniding
大气冷凝器	daqilengningqi
大倾角稳性	daqingjiaowenxing
大桅	dawei
大抓力锚	dazhualimao
打桩船	dazhuangchuan
带板	daiban
带柄铲刀	daibingchandao
带负荷试验	daifuheshiyan
带缆辅助索	dailanfuzhusuo
带缆羊角	dailanyangjiao
带缆桩	dailanzhuang
带通电路	daitongdianlu
带信号灯警钟	daixinhaodengjingzhong
单边带收发机	danbiandaishoufaji
单底	dandi
单点系泊	dandianxibo|dandianjibo
单点系泊装置	dandianxibozhuangzhi
弹钩	dangou
丹吉尔	danjier
单甲板船	danjiabanchuan
单旧率板	danjiulvban
单螺桨船	danluojiangchuan
单面坡口	danmianpokou
丹戎不碌	danrongbulu
淡水舱	danshuicang
淡水冲洗	danshuichongxi
淡水加热器	danshuijiareqi
淡水冷却器	danshuilengqueqi
淡水滤器	danshuilvqi
淡水输送泵	danshuishusongbeng
淡水压力柜	danshuiyaligui
单体船	dantichuan
单向桁架	danxianghengjia
单元舾装	danyuanxizhuang
单元组装	danyuanzuzhuang
单轴系	danzhouxi
挡浪板	danglangban
导板定位	daobandingwei
导边	daobian
导边半径	daobianbanjing
到车	daoche
倒车部分	daochebufen
倒车动叶	daochedongye
倒车舵	daocheduo
倒车阀	daochefa
倒车工况	daochegongkuang
倒车功率	daochegonglv
倒车喷嘴	daochepenzui
倒车汽缸	daocheqigang
倒车燃气轮机	daocheranqilunji
倒车试验	daocheshiyan
倒车油动机	daocheyoudongji
导弹快艇	daodankuaiting
导管架	daoguanjia
导管架就位	daoguanjiajiuwei
导管架平台	daoguanjiapingtai
导管架上驳	daoguanjiashangbo
导管架腿柱	daoguanjiatuizhu
导管架下水	daoguanjiaxiashui
导管推进器	daoguantuijinqi
导航	daohang
导航参数	daohangcanshu
倒航操纵性	daohangcaozongxing
导航雷达	daohangleida
导航设备	daohangshebei
导航声呐	daohangshengna
导航卫星	daohangweixing
导缆滚轮	daolangunlun
导缆孔	daolankong
导缆器	daolanqi
导缆钳	daolanqian
导链滚轮	daoliangunlun
刀轮绞刀	daolunjiaodao
岛式建造法	daoshijianzaofa
导向滚轮	daoxianggunlun
导向索	daoxiangsuo
导向索张力器	daoxiangsuozhangliqi
德班	deban
德岛	dedao
的里雅斯特	deliyasite
等高度圈	denggaoduquan
登陆舰	denglujian
登陆艇	dengluting
登陆战舰艇	dengluzhanjianting
等螺距	dengluoju
灯泡	dengpao
等速送丝	dengsusongsi
登艇灯	dengtingdeng
登艇梯	dengtingti
等推力法	dengtuilifa
等转矩法	dengzhuanjufa
迪拜	dibai
底边舱	dibiancang
底舱	dicang
低磁钢	dicigang
底桁材	dihengcai
第利	dili
地理垂线	dilichuixian
地理坐标系	dilizuobiaoxi
地漏抽	dilouchou
地面吸收	dimianxishou
底栖拖网绞车	diqituowangjiaoche
底栖拖网装置	diqituowangzhuangzhi
地球速率	diqiusulv
地球坐标系	diqiuzuobiaoxi
低速舵效试验	disuduoxiaoshiyan
低速风洞	disufengdong
低速级组	disujizu
底拖法	dituofa
低位通海阀	diweitonghaifa
地心纬度	dixinweidu
地心坐标系	dixinzuobiaoxi
低压空气瓶	diyakongqiping
滴油灶	diyouzao
地震电缆绞车	dizhendianlanjiaoche
地震载荷	dizhenzaihe
地质绞车	dizhijiaoche
电池	dianchi
电磁法拉	diancifala
电磁伏特	diancifute
电磁亨利	diancihengli
电磁环境电平	diancihuanjingdianping
电磁计程仪	diancijichengyi
电磁库仑	diancikulun
电磁脉冲	diancimaichong
电磁敏感度	diancimingandu
电磁欧姆	diancioumu
电磁西门子	dianciximenzi
电磁噪声	diancizaosheng
电笛	diandi
电笛喇叭	diandilaba
电动操舵装置	diandongcaoduozhuangzhi
电镀作用	dianduzuoyong
电工间	diangongjian
电工试验板	diangongshiyanban
电光性眼炎	dianguangxingyanyan
垫航吃水	dianhangchishui
电弧动特性	dianhudongtexing
电弧静特性	dianhujingtexing
电化学保护	dianhuaxuebaohu
点火加速器	dianhuojiasuqi
电机员	dianjiyuan
电解海水防污	dianjiehaishuifangwu
电控罗经	diankongluojing
电缆舱	dianlancang
电缆电流定额	dianlandianliudinge
电缆额定电压	dianlanedingdianya
电缆管	dianlanguan
电缆绞车	dianlanjiaoche
电缆埋设犁	dianlanmaisheli
电缆填料函	dianlantianliaohan
电缆扎带	dianlanzhadai|dianlanzadai
电力分电箱	dianlifendianxiang
电力推进	dianlituijin
电力推进船	dianlituijinchuan
电力拖动装置	dianlituodongzhuangzhi
电流损坏	dianliusunhuai
电流探头	dianliutantou
电罗经	dianluojing
电偶腐蚀	dianoufushi
电偶序	dianouxu
电气吃水表	dianqichishuibiao
垫升船底净空	dianshengchuandijingkong
垫升风机	dianshengfengji
电刷镀	dianshuadu
电子报警器	dianzibaojingqi
电子声学	dianzishengxue
电阻	dianzu
电钻头	dianzuantou
吊臂搁吊	diaobigediao
吊筏架	diaofajia
吊放回收装置	diaofanghuishouzhuangzhi
吊放式救生筏	diaofangshijiushengfa
吊杆	diaogan
吊杆叉头	diaoganchatou
吊杆鹅颈销	diaoganejingxiao
吊杆举扬	diaoganjuyang
吊杆偏角	diaoganpianjiao
吊杆托架	diaogantuojia
钓竿箱	diaoganxiang
吊杆仰角	diaoganyangjiao
吊杆柱	diaoganzhu
吊杆装置	diaoganzhuangzhi
吊杆座	diaoganzuo
吊缸	diaogang
吊钩净高	diaogoujinggao
吊钩梁	diaogouliang
吊钩装置	diaogouzhuangzhi
吊货索	diaohuosuo
吊货索具	diaohuosuoju
吊货眼板	diaohuoyanban
吊梁	diaoliang
吊锚	diaomao
吊锚杆	diaomaogan
吊锚索具	diaomaosuoju
吊锚状态	diaomaozhuangtai
吊艇架	diaotingjia
吊艇架跨距	diaotingjiakuaju
吊艇索	diaotingsuo
吊艇装置	diaotingzhuangzhi
吊网门形架	diaowangmenxingjia
吊装分析	diaozhuangfenxi
蝶阀阀座	diefafazuo
迭梁式坞门	dieliangshiwumen
碟式油分离机	dieshiyoufenliji
顶边舱	dingbiancang
顶边水舱	dingbianshuicang
顶边翼舱	dingbianyicang
定常空泡	dingchangkongpao
定径清管器	dingjingqingguanqi
顶举系数	dingjuxishu
顶浪	dinglang
定期租船	dingqizuchuan
定深拖法	dingshentuofa
顶索绞车	dingsuojiaoche
顶推	dingtui
顶推船	dingtuichuan
顶桅	dingwei
定位焊	dingweihan
定位锚	dingweimao
定位能力	dingweinengli
定位系统	dingweixitong
定位桩	dingweizhuang
定位桩架	dingweizhuangjia
定位桩台车	dingweizhuangtaiche
定置网打桩机	dingzhiwangdazhuangji
动臂起重机	dongbiqizhongji
东方港	dongfanggang
东方海外	dongfanghaiwai
动横倾角	donghengqingjiao
东京	dongjing
动力定位	donglidingwei
动力滑轮	donglihualun
动力减震器	donglijianzhenqi
动力平台	donglipingtai
东伦敦	donglundun
动倾覆角	dongqingfujiao
动水位升高	dongshuiweishenggao
动弯矩	dongwanju
动稳定性	dongwendingxing
动稳性	dongwenxing
动稳性曲线	dongwenxingquxian
斗湖	douhu
斗链	doulian
斗链张紧装置	doulianzhangjinzhuangzhi
斗轮铰刀	doulunjiaodao
斗桥	douqiao
斗桥吊架	douqiaodiaojia
斗桥起落装置	douqiaoqiluozhuangzhi
杜阿拉	duala
都柏林	dubolin
渡船	duchuan
杜蒂戈林	dudigelin
镀铬修复	dugexiufu
都拉斯	dulasi
堵漏棒	duloubang
堵漏用具	dulouyongju
渡轮	dulun
镀铁修复	dutiexiufu
短波通信	duanbotongxin
短峰波	duanfengbo
端铰链	duanjiaolian
端铰链底座	duanjiaoliandizuo
短暂加速度	duanzanjiasudu
短纵桁	duanzongheng
对称电压	duichendianya
对称浸水	duichenjinshui
对称天线	duichentianxian
对接焊缝隙	duijiehanfengxi
对流加速度	duiliujiasudu
对中限制器	duizhongxianzhiqi
对转螺旋桨	duizhuanluoxuanjiang
趸船	dunchuan
敦贺	dunhe
敦刻尔克	dunkeerke
墩木	dunmu
吨位	dunwei
吨位表	dunweibiao
吨位丈量	dunweizhangliang
舵板	duoban
舵臂	duobi
舵柄	duobing
舵柄连杆	duobingliangan
舵掣	duoche
舵承	duocheng
多德雷赫特	duodeleihete
舵杆	duogan
舵杆衬套	duoganchentao
舵杆承座	duoganchengzuo
舵杆挡圈	duogandangquan
舵杆接头	duoganjietou
舵杆扭矩	duoganniuju
舵杆轴套	duoganzhoutao
舵高	duogao
舵构架	duogoujia
多哈	duoha
舵厚度比	duohoudubi
舵机	duoji
多机并车试验	duojibingcheshiyan
舵机舱	duojicang
舵机房	duojifang
舵机间	duojijian
多级预热给水	duojiyuregeishui
舵机装置	duojizhuangzhi
多甲板船	duojiabanchuan
舵角	duojiao
舵角发送器	duojiaofasongqi
舵角接收器	duojiaojieshouqi
舵角限位器	duojiaoxianweiqi
舵角指示器	duojiaozhishiqi
舵空化	duokonghua
舵宽	duokuan
舵链导轮	duoliandaolun
舵令	duoling
多路耦合器	duoluouheqi
多伦多	duolunduo
舵面积	duomianji
舵面积比	duomianjibi
多能打桩架	duonengdazhuangjia
舵钮	duoniu
舵平衡比	duopinghengbi
舵剖面	duopoumian
舵剖面型值	duopoumianxingzhi
多普勒计程仪	duopulejichengyi
多普勒记程仪	duopulejichengyi
多普勒声呐	duopuleshengna
舵三分力仪	duosanfenliyi
舵扇	duoshan
舵设备	duoshebei
多体船	duotichuan
舵头	duotou
舵销	duoxiao
舵销承衬套	duoxiaochengchentao
舵销承座	duoxiaochengzuo
舵销轴套	duoxiaozhoutao
惰性冲洗	duoxingchongxi
