阿代尔	adaier
测量	celiang
测量误差	celiangwucha
策略	celue
策略决策	celuejuece
侧面	cemian
测试点	ceshidian
测试函数	ceshihanshu
侧视图	ceshitu
差别	chabie
差错传播	chacuochuanbo
差错检测码	chacuojiancema
差错校验	chacuojiaoyan|chacuoxiaoyan
差错校正	chacuojiaozheng
差错控制	chacuokongzhi
差错率	chacuolv
差分	chafen
差分微分方程	chafenweifenfangcheng
叉积	chaji
差异	chayi
插值	chazhi
插值法	chazhifa
拆卸	chaixie
长度	changdu
长度单位	changdudanwei
长方体	changfangti
长方形	changfangxing
常量	changliang
场论	changlun
长期趋势	changqiqushi
尝试法	changshifa
常数	changshu
常微分方程	changweifenfangcheng
常微分方程组	changweifenfangchengzu
常用对数	changyongduishu
长轴	changzhou
超渡	chaodu
超空间	chaokongjian
超密切	chaomiqie
超平面	chaopingmian
超群	chaoqun
超图	chaotu
超稳定性	chaowendingxing
超越函数	chaoyuehanshu
成对比较法	chengduibijiaofa
乘法	chengfa
成批处理	chengpichuli
乘数	chengshu
程序	chengxu
程序检验	chengxujianyan
程序库	chengxuku
程序设计	chengxusheji
尺度参数	chiducanshu
充分不必要条件	chongfenbubiyaotiaojian
充分性	chongfenxing
重复	chongfu
重构	chonggou
重合点	chonghedian
冲激响应	chongjixiangying
重言式	chongyanshi
充要条件	chongyaotiaojian
抽检	choujian
抽奖	choujiang
稠密	choumi
稠密性	choumixing
抽象	chouxiang
抽象代数	chouxiangdaishu
抽象码	chouxiangma
抽象性	chouxiangxing
抽样	chouyang
抽样单位	chouyangdanwei
抽样单元	chouyangdanyuan
抽样调查	chouyangdiaocha
抽样法	chouyangfa
抽样检查	chouyangjiancha
抽样检验	chouyangjianyan
抽样框	chouyangkuang
抽样误差	chouyangwucha
触点	chudian
出度	chudu
除法	chufa
处理	chuli
出生率	chushenglv
初始条件	chushitiaojian
初始位置	chushiweizhi
初速度	chusudu
出现	chuxian
初相	chuxiang
初值	chuzhi
传播	chuanbo
传导	chuandao
传导率	chuandaolv
传递闭包	chuandibibao
传递函数	chuandihanshu
传递函数矩阵	chuandihanshujuzhen
传递性	chuandixing
穿孔带	chuankongdai
穿孔卡片	chuankongkapian
传输容量	chuanshurongliang
传输速率	chuanshusulv
传输通道	chuanshutongdao
垂直	chuizhi
垂直面	chuizhimian
垂直线	chuizhixian
纯粹数学	chuncuishuxue
纯量	chunliang
纯随机抽样	chunsuijichouyang
磁存储器	cicunchuqi
磁带	cidai
次递归性	cidiguixing
磁鼓	cigu
刺激	ciji
次数	cishu
磁头	citou
次优化	ciyouhua
次优控制	ciyoukongzhi
从属关系	congshuguanxi
粗略估计	culueguji
存储	cunchu
存储单元	cunchudanyuan
存储空间	cunchukongjian
存储器	cunchuqi
存储容量	cunchurongliang
存取	cunqu
存取时间	cunqushijian
存取速度	cunqusudu
存在	cunzai
存在量词	cunzailiangci
错误	cuowu
错误模式	cuowumoshi
达布	dabu
大量观察法	daliangguanchafa
大于	dayu
大于等于	dayudengyu
大于或等于	dayuhuodengyu
大圆	dayuan
代表	daibiao
带宽	daikuan
代码	daima
代入	dairu
代数结构	daishujiegou
代数码	daishuma
代数学	daishuxue
单摆	danbai
单步法	danbufa
单侧检验	dancejianyan
单纯形法	danchunxingfa
弹道	dandao
单点	dandian
单调递减	dandiaodijian
单调性	dandiaoxing
单独地	dandude
单峰分布	danfengfenbu
单格	dange
单减	danjian
单模	danmo
淡漠	danmo
单位	danwei
单位阶跃函数	danweijieyuehanshu
单位张量	danweizhangliang
单项式	danxiangshi
单形	danxing
单元	danyuan
单增	danzeng
单值	danzhi
单值化	danzhihua
单子	danzi
当且仅当	dangqiejindang
导出	daochu
导出单位	daochudanwei
道路	daolu
导数	daoshu
导体	daoti
等比数列	dengbishulie
等差级数	dengchajishu
等差数列	dengchashulie
等待时间	dengdaishijian
等高线	denggaoxian
等价	dengjia
等价关系	dengjiaguanxi
等价类	dengjialei
等价问题	dengjiawenti
等距曲面	dengjuqumian
等距曲线	dengjuquxian
等距图	dengjutu
等势线	dengshixian
等位面	dengweimian
等温线	dengwenxian
等腰三角形	dengyaosanjiaoxing
等于	dengyu
递归	digui
递归定理	diguidingli
递归函数	diguihanshu
递归算法	diguisuanfa
递减函数	dijianhanshu
底角	dijiao
递阶控制	dijiekongzhi
笛卡儿积	dikaerji
笛卡儿坐标系	dikaerzuobiaoxi
底面	dimian
底数	dishu
低松弛	disongchi
底图	ditu
地图投影	ditutouying
递推关系	dituiguanxi
低位	diwei
第一类	diyilei
地址	dizhi
电报方程	dianbaofangcheng
电磁	dianci
点估计	dianguji
电荷	dianhe
点集	dianji
点球	dianqiu
典型调查	dianxingdiaocha
点圆	dianyuan
点阵常数	dianzhenchangshu
电子学	dianzixue
迭代	diedai
迭代法	diedaifa
迭代循环	diedaixunhuan
叠加	diejia
叠加原理	diejiayuanli
定常系统	dingchangxitong
顶点	dingdian
定点	dingdian
定点计算	dingdianjisuan
定点数	dingdianshu
定点运算	dingdianyunsuan
定货	dinghuo
定积分	dingjifen
顶角	dingjiao
定理	dingli
定量	dingliang
定量分析	dingliangfenxi
定态	dingtai
定位问题	dingweiwenti
定向	dingxiang
定性分析	dingxingfenxi
定义	dingyi
定义域	dingyiyu
定值	dingzhi
动力	dongli
动力系统	donglixitong
动力学	donglixue
动量	dongliang
动量矩	dongliangju
动量守恒	dongliangshouheng
动能	dongneng
动态存储器	dongtaicunchuqi
动态规划	dongtaiguihua
动态数列	dongtaishulie
独立	duli
独立集	duliji
独立同分布	dulitongfenbu
独立性	dulixing
独立性检验	dulixingjianyan
度量	duliang
度量单位	duliangdanwei
度量空间	duliangkongjian
断点	duandian
端点	duandian
断点指令	duandianzhiling
对边	duibian
对策	duice
对策论	duicelun
对称	duichen|duicheng
对称变换	duichenbianhuan
对称度	duichendu
对称关系	duichenguanxi
对称群	duichenqun
对称轴	duichenzhou
对顶	duiding
对分搜索	duifensousuo
对换	duihuan
对角	duijiao
对角化方法	duijiaohuafangfa
对角线	duijiaoxian
对立	duili
对偶	duiou
对偶格	duiouge
对偶图	duioutu
对偶问题	duiouwenti
对偶性	duiouxing
对偶原理	duiouyuanli
对偶运算	duiouyunsuan
对数	duishu
对数正态分布	duishuzhengtaifenbu
对象	duixiang
对应	duiying
对应点	duiyingdian
对应关系	duiyingguanxi
队长	duizhang
钝角	dunjiao
多变量系统	duobianliangxitong
多边形	duobianxing
多重比较	duochongbijiao
多重回归	duochonghuigui
多重模态分布	duochongmotaifenbu
多重图	duochongtu
多重相关	duochongxiangguan
多地址	duodizhi
多级抽样	duojichouyang
多级控制	duojikongzhi
多接入信道	duojieruxindao
多面体	duomianti
多目标最优化	duomubiaozuiyouhua
多维空间	duoweikongjian
多项分布	duoxiangfenbu
多项式	duoxiangshi
多项式回归	duoxiangshihuigui
多余信息	duoyuxinxi
多元	duoyuan
多元分析	duoyuanfenxi
多元线性回归	duoyuanxianxinghuigui
多值逻辑	duozhiluoji
恶性码	exingma
二倍角公式	erbeijiaogongshi
二部图	erbutu
二次变换	ercibianhuan
二次插值法	ercichazhifa
二次方程	ercifangcheng
二次规划	erciguihua
二次函数	ercihanshu
二次曲面	erciqumian
二次元	erciyuan
二分法	erfenfa
二分图	erfentu
二阶行列式	erjiehanglieshi
二进制	erjinzhi
二进制编码	erjinzhibianma
二进制对称信道	erjinzhiduichenxindao
二进制数	erjinzhishu
二进制数字	erjinzhishuzi
二聚物	erjuwu
二律背反	erlvbeifan
二面角	ermianjiao
二难推理	ernantuili
二项分布	erxiangfenbu
二项检验	erxiangjianyan
二项式	erxiangshi
二项式定理	erxiangshidingli
二元关系	eryuanguanxi
二元运算	eryuanyunsuan
法方程	fafangcheng
法面	famian
法平面	fapingmian
发散	fasan
法线	faxian
法向力	faxiangli
法则	faze
发展速度	fazhansudu
反比	fanbi
反比例量	fanbililiang
反称	fancheng
范畴	fanchou
范畴论	fanchoulun
范德瓦耳斯方程	fandewaersifangcheng
泛点	fandian
反对	fandui
反对称态	fanduichentai
反共振	fangongzhen
泛函分析	fanhanfenxi
返回	fanhui
反馈控制	fankuikongzhi
反例	fanli
反曲线	fanquxian
反射	fanshe
反射壁	fanshebi
反射角	fanshejiao
范式	fanshi
反时针方向	fanshizhenfangxiang
范数	fanshu
范围	fanwei
反演	fanyan
反演中心	fanyanzhongxin
反应面	fanyingmian
反余割	fanyuge
反证法	fanzhengfa
反正切	fanzhengqie
翻转	fanzhuan
方差	fangcha
方差分析	fangchafenxi
方差齐性	fangchaqixing
方程	fangcheng
方法	fangfa
放空	fangkong
仿射变换	fangshebianhuan
方位角	fangweijiao
方向	fangxiang
方向场	fangxiangchang
方向角	fangxiangjiao
方向向量	fangxiangxiangliang
方向性	fangxiangxing
方阵	fangzhen
非参数方法	feicanshufangfa
非参数检验	feicanshujianyan
非对称	feiduichen|feiduicheng
非对称性	feiduichenxing
非负整数	feifuzhengshu
非欧几何	feioujihe
非退化	feituihua
非线性	feixianxing
非线性规划	feixianxingguihua
非线性回归	feixianxinghuigui
非线性模型	feixianxingmoxing
非线性系统	feixianxingxitong
非线性薛定谔方程	feixianxingxuedingefangcheng
非线性振动	feixianxingzhendong
非周期性	feizhouqixing
分布	fenbu
分布参数	fenbucanshu
分布函数	fenbuhanshu
分布矩	fenbuju
分布密度	fenbumidu
分布曲线	fenbuquxian
分层	fenceng
分层抽样	fencengchouyang
分叉	fencha
分割	fenge
分划	fenhua
分解	fenjie
分解原理	fenjieyuanli
分块	fenkuai
分类	fenlei
分类器	fenleiqi
分离	fenli
分离超平面	fenlichaopingmian
分离点	fenlidian
分离定理	fenlidingli
分离度	fenlidu
分离系数	fenlixishu
分量	fenliang
分裂	fenlie
分母	fenmu
分配	fenpei
分配律	fenpeilv
分配数列	fenpeishulie
分配问题	fenpeiwenti
分歧	fenqi
分散控制	fensankongzhi
分时	fenshi
分数	fenshu
分析	fenxi
分析解	fenxijie
分形	fenxing
分形几何	fenxingjihe
分支	fenzhi
分子	fenzi
分组长度	fenzuchangdu
分组码	fenzuma
风险	fengxian
风险决策	fengxianjuece
否定	fouding
否定词	foudingci
否定式	foudingshi
复变函数	fubianhanshu
浮点	fudian
浮点数	fudianshu
浮点运算	fudianyunsuan
覆盖	fugai
负函数	fuhanshu
符号	fuhao
符号编码	fuhaobianma
符号表示法	fuhaobiaoshifa
符号地址	fuhaodizhi
符号关系学	fuhaoguanxixue
符号化	fuhaohua
符号检验	fuhaojianyan
复合	fuhe
复合运算	fuheyunsuan
附加	fujia
附加条件	fujiatiaojian
附加误差	fujiawucha
辐角	fujiao
附近	fujin
弗兰克	fulanke
傅里叶	fuliye
傅里叶变换	fuliyebianhuan
傅里叶定律	fuliyedinglv
傅里叶分析仪	fuliyefenxiyi
傅里叶级数	fuliyejishu
傅立叶级数	fuliyejishu
负偏差	fupiancha
复平面	fupingmian
复曲线	fuquxian
俯视图	fushitu
复数	fushu
服务对象	fuwuduixiang
服务台	fuwutai
复线	fuxian
负相关	fuxiangguan
复相关	fuxiangguan
复形	fuxing
复杂性	fuzaxing
赋值	fuzhi
赋值论	fuzhilun
辅助函数	fuzhuhanshu
辅助线	fuzhuxian
附着	fuzhuo
概率	gailv
概率分布	gailvfenbu
概率分析	gailvfenxi
概率函数	gailvhanshu
概率论	gailvlun
概率逻辑	gailvluoji
概率密度	gailvmidu
概率密度函数	gailvmiduhanshu
概率曲线	gailvquxian
概率纸	gailvzhi
概念	gainian
改正	gaizheng
干扰	ganrao
干涉	ganshe
刚度矩阵	gangdujuzhen
杠杆	ganggan
刚体	gangti
刚性	gangxing
刚性模量	gangxingmoliang
高等代数	gaodengdaishu
高等数学	gaodengshuxue
高度	gaodu
高阶逻辑	gaojieluoji
高斯	gaosi
高斯方程	gaosifangcheng
高斯分布	gaosifenbu
割边	gebian
割点	gedian
格拉姆	gelamu
割平面法	gepingmianfa
个体	geti
蛤异性	geyixing
格子	gezi
根号	genhao
根基	genji
根据	genju
更新过程	gengxinguocheng
共变	gongbian
公差	gongcha
共轭	gonge
共轭点	gongedian
共轭方向法	gongefangxiangfa
共轭曲线	gongequxian
共轭梯度法	gongetidufa
公斤	gongjin
公理	gongli
功率谱	gonglvpu
功率谱密度	gonglvpumidu
公式	gongshi
公式化	gongshihua
共线	gongxian
弓形	gongxing
拱形	gongxing
共振条件	gongzhentiaojian
共振现象	gongzhenxianxiang
共轴圆	gongzhouyuan
构成	goucheng
勾股定理	gougudingli
固定	guding
固定模型	gudingmoxing
估计	guji
估计误差	gujiwucha
骨架	gujia
固体	guti
固有频率	guyoupinlv
固有误差	guyouwucha
固有运动	guyouyundong
故障率	guzhanglv
拐点	guaidian
拐折	guaizhe
观测	guance
观测器	guanceqi
观测误差	guancewucha
观测值	guancezhi
管道	guandao
关键帧	guanjianzhen
关联	guanlian
关联关系	guanlianguanxi
关联矩阵	guanlianjuzhen
关系	guanxi
关系逻辑	guanxiluoji
惯性	guanxing
惯性矩	guanxingju
惯性力	guanxingli
广播信道	guangboxindao
光滑度	guanghuadu
广义	guangyi
广义线性模型	guangyixianxingmoxing
广义坐标	guangyizuobiao
轨道	guidao
轨道稳定性	guidaowendingxing
规划	guihua
轨迹	guiji
归纳	guina
归纳法	guinafa
归纳逻辑	guinaluoji
归约	guiyue
规则	guize
过程	guocheng
过程控制	guochengkongzhi
国际统计学会	guojitongjixuehui
过滤	guolv
过失误差	guoshiwucha
含量	hanliang
汉明界	hanmingjie
汉明距离	hanmingjuli
汉明码	hanmingma
函数	hanshu
函数构造论	hanshugouzaolun
函数论	hanshulun
函数式	hanshushi
函数值	hanshuzhi
行列式	hanglieshi
毫米	haomi
合比	hebi
合成	hecheng
合成因子	hechengyinzi
合力	heli
合取	hequ
合取范式	hequfanshi
合式公式	heshigongshi
核心	hexin
横截	hengjie
横截面	hengjiemian
衡量	hengliang
衡消法	hengxiaofa
横坐标	hengzuobiao
横坐标轴	hengzuobiaozhou
厚度	houdu
后继	houji
后件	houjian
弧长	huchang
互斥事件	huchishijian
弧度	hudu
互反律	hufanlv
互谱	hupu
互熵	hushang
互信息	huxinxi
画法几何	huafajihe
划分	huafen
划分数	huafenshu
环层	huanceng
缓冲器	huanchongqi
缓冲区	huanchongqu
幻方	huanfang
环流量	huanliuliang
环面	huanmian
黄金分割	huangjinfenge
汇编	huibian
汇点	huidian
回归	huigui
回归方程	huiguifangcheng
回归分析	huiguifenxi
回归系数	huiguixishu
回归线	huiguixian
回归预测	huiguiyuce
会聚角	huijujiao
回路	huilu
回旋曲线	huixuanquxian
回转	huizhuan
回转半径	huizhuanbanjing
回转轴	huizhuanzhou
混沌	hundun
混合比	hunhebi
混合法	hunhefa
混合模型	hunhemoxing
混合型	hunhexing
混乱	hunluan
混杂	hunza
基本单位	jibendanwei
基本点	jibendian
基本方程	jibenfangcheng
基本符号	jibenfuhao
基本集	jibenji
基本块	jibenkuai
基本类	jibenlei
基本群	jibenqun
基本事件	jibenshijian
基本形式	jibenxingshi
基本元素	jibenyuansu
基本周期	jibenzhouqi
畸变	jibian
畸变角	jibianjiao
既不充分也不必要条件	jibuchongfenyebubiyaotiaojian
吉布斯现象	jibusixianxiang
极差	jicha
基础	jichu
基础数学	jichushuxue
基础图	jichutu
寄存器	jicunqi
极大似然法	jidasiranfa
极大似然估计	jidasiranguji
基底	jidi
基点	jidian
极点	jidian
记法	jifa
积分	jifen
积分变换	jifenbianhuan
积分变数	jifenbianshu
积分法	jifenfa
积分曲线	jifenquxian
积分下限	jifenxiaxian
积分限	jifenxian
积分仪	jifenyi
机构	jigou
集函数	jihanshu
奇函数	jihanshu
记号	jihao
集合	jihe
几何	jihe
几何光学	jiheguangxue
几何基础	jihejichu
集合论	jihelun
几何码	jihema
几何平均	jihepingjun
几何平均数	jihepingjunshu
几何图形	jihetuxing
几何学	jihexue
几何元素	jiheyuansu
几何约束	jiheyueshu
计划	jihua
积集	jiji
极角	jijiao
极距	jiju
集论	jilun
极面	jimian
奇偶校验	jioujiaoyan
奇偶校验位	jioujiaoyanwei
奇偶性	jiouxing
基频	jipin
计数	jishu
基数	jishu
奇数	jishu
技术	jishu
级数	jishu
基数积	jishuji
计算	jisuan
计算尺	jisuanchi
计算电路	jisuandianlu
计算方法	jisuanfangfa
计算复杂性	jisuanfuzaxing
计算公式	jisuangongshi
计算机	jisuanji
计算器	jisuanqi
计算数学	jisuanshuxue
计算误差	jisuanwucha
计算中心	jisuanzhongxin
计算装置	jisuanzhuangzhi
集体	jiti
极限	jixian
极线	jixian
极限环	jixianhuan
极限球面	jixianqiumian
极线图	jixiantu
极限位置	jixianweizhi
极限圆	jixianyuan
极限值	jixianzhi
极小	jixiao
机械抽样	jixiechouyang
基域	jiyu
基圆	jiyuan
极值	jizhi
极值曲线	jizhiquxian
集中	jizhong
集中控制	jizhongkongzhi
极坐标	jizuobiao
极坐标图	jizuobiaotu
加法	jiafa
加法器	jiafaqi
价格	jiage
加号	jiahao
夹角	jiajiao
加密	jiami
假面	jiamian
加权	jiaquan
加权方法	jiaquanfangfa
加权平均	jiaquanpingjun
加权平均值	jiaquanpingjunzhi
加权权重	jiaquanquanzhong
加权算术平均	jiaquansuanshupingjun
加权误差	jiaquanwucha
假设	jiashe
假设检验	jiashejianyan
加速	jiasu
加速度	jiasudu
加速运动	jiasuyundong
检测概率	jiancegailv
检查和	jianchahe
简单多边形	jiandanduobianxing
简单随机抽样	jiandansuijichouyang
尖点	jiandian
检定	jianding
监督程序	jianduchengxu
间断	jianduan
减法	jianfa
坚固性	jianguxing
简化	jianhua
简化方程	jianhuafangcheng
间接证明	jianjiezhengming
渐近平均值	jianjinpingjunzhi
渐近稳定性	jianjinwendingxing
渐近圆	jianjinyuan
渐开线	jiankaixian
减量	jianliang
剪切	jianqie
渐屈线	jianquxian
减少	jianshao
渐伸线	jianshenxian
简图	jiantu
间隙	jianxi
间隙定理	jianxidingli
简谐运动	jianxieyundong
检验	jianyan
检验程序	jianyanchengxu
检验批	jianyanpi
检验统计量	jianyantongjiliang
检验位	jianyanwei
尖锥	jianzhui
降低	jiangdi
交比	jiaobi
交叉点	jiaochadian
交错定理	jiaocuodingli
交点	jiaodian
焦点	jiaodian
交点线	jiaodianxian
角动量	jiaodongliang
交互作用	jiaohuzuoyong
交换	jiaohuan
交换子	jiaohuanzi
角加速度	jiaojiasudu
焦距	jiaoju
角频率	jiaopinlv
焦平面	jiaopingmian
角速度	jiaosudu
交替码	jiaotima
角位移	jiaoweiyi
交线	jiaoxian
校验	jiaoyan
校验和	jiaoyanhe
校验位	jiaoyanwei
校正	jiaozheng
校正子	jiaozhengzi
角柱	jiaozhu
校准	jiaozhun
角坐标	jiaozuobiao
阶乘	jiecheng
接触	jiechu
接触点	jiechudian
接触过程	jiechuguocheng
接触角	jiechujiao
接触面	jiechumian
节点	jiedian
结点	jiedian
截断误差	jieduanwucha
结构	jiegou
结构层	jiegouceng
结构稳定性	jiegouwendingxing
接合	jiehe
接近	jiejin
结晶系	jiejingxi
截距	jieju
结局	jieju
截口	jiekou
截棱锥	jielengzhui
解离	jieli
结论	jielun
解密	jiemi
截面	jiemian
截面积	jiemianji
解耦	jieou
解释	jieshi
解释程序	jieshichengxu
接受	jieshou
解析变换	jiexibianhuan
解析法	jiexifa
解析曲线	jiexiquxian
解析式	jiexishi
界线	jiexian
截锥	jiezhui
进动	jindong
浸没	jinmo
浸入	jinru
近似等于	jinsidengyu
近似法	jinsifa
近似值	jinsizhi
进位	jinwei
经典力学	jingdianlixue
静电学	jingdianxue
精度	jingdu
经度	jingdu
经济预测	jingjiyuce
经济指标	jingjizhibiao
静力学	jinglixue
径面	jingmian
精确度	jingquedu
竞赛	jingsai
竞赛图	jingsaitu
晶体	jingti
经验公式	jingyangongshi
经验曲线	jingyanquxian
竞争	jingzheng
纠错	jiucuo
纠错码	jiucuoma
局部坐标系	jubuzuobiaoxi
聚点	judian
聚合	juhe
拒绝	jujue
拒绝域	jujueyu
聚类分析	juleifenxi
距离	juli
矩量法	juliangfa
矩形	juxing
矩阵	juzhen
矩阵方程	juzhenfangcheng
矩阵分析	juzhenfenxi
矩阵空间	juzhenkongjian
矩阵论	juzhenlun
矩阵求逆	juzhenqiuni
矩阵元	juzhenyuan
卷积	juanji
卷积码	juanjima
决策	juece
决策表	juecebiao
决策分析	juecefenxi
决策过程	jueceguocheng
决策函数	juecehanshu
决策空间	juecekongjian
决策论	juecelun
决策模型	juecemoxing
决策树	jueceshu
决定	jueding
绝对编码	jueduibianma
绝对地址	jueduidizhi
绝对空间	jueduikongjian
绝对偏差	jueduipiancha
绝对速度	jueduisudu
绝对稳定性	jueduiwendingxing
绝对误差	jueduiwucha
绝对值	jueduizhi
均方	junfang
均方差	junfangcha
均方根	junfanggen
均方根误差	junfanggenwucha
均方误差	junfangwucha
均方值	junfangzhi
竣工项目	jungongxiangmu
均匀分布	junyunfenbu
均匀量化	junyunlianghua
均值	junzhi
卡茨	kaci
卡尔曼	kaerman
卡尔曼滤波	kaermanlvbo
卡尔曼滤波器	kaermanlvboqi
卡诺图	kanuotu
卡片	kapian
开方	kaifang
开关网络	kaiguanwangluo
开环控制	kaihuankongzhi
开区间	kaiqujian
开始时间	kaishishijian
开拓	kaituo
坎贝尔	kanbeier
可达区域	kedaquyu
可达性	kedaxing
科恩	keen
可分解性	kefenjiexing
可分离性	kefenlixing
可观测性	keguancexing
可计算函数	kejisuanhanshu
可计算性	kejisuanxing
可加性	kejiaxing
可检测性	kejiancexing
可靠度	kekaodu
可靠性	kekaoxing
可靠性模型	kekaoxingmoxing
可控性	kekongxing
克莱因	kelaiyin
克兰克	kelanke
克劳修斯不等式	kelaoxiusibudengshi
可能性	kenengxing
可逆性	kenixing
可实现性	keshixianxing
可维护性	keweihuxing
可稳性	kewenxing
可行解	kexingjie
可选	kexuan
可用度	keyongdu
可展性	kezhanxing
肯定	kending
空集	kongji
空间	kongjian
空间点	kongjiandian
空间群	kongjianqun
空间形式	kongjianxingshi
空间坐标	kongjianzuobiao
空隙现象	kongxixianxiang
控制	kongzhi
控制变量	kongzhibianliang
控制结构	kongzhijiegou
控制界限	kongzhijiexian
控制理论	kongzhililun
控制论	kongzhilun
控制器	kongzhiqi
控制图	kongzhitu
控制线路	kongzhixianlu
控制信号	kongzhixinhao
控制元件	kongzhiyuanjian
控制组	kongzhizu
库存控制	kucunkongzhi
库恩	kuen
库容	kurong
库塔	kuta
快速傅里叶变换	kuaisufuliyebianhuan
框图	kuangtu
傀儡	kuilei
扩大	kuoda
括号	kuohao
扩散	kuosan
扩散常数	kuosanchangshu
扩散过程	kuosanguocheng
扩散系数	kuosanxishu
扩展	kuozhan
扩张	kuozhang
拉东变换	ladongbianhuan
拉格朗日乘子	lagelangrichengzi
拉回	lahui
拉克斯	lakesi
拉普拉斯	lapulasi
拉普拉斯变换	lapulasibianhuan
兰金	lanjin
类别	leibie
类函数	leihanshu
累积	leiji
累积分布函数	leijifenbuhanshu
累积频数	leijipinshuo
累积误差	leijiwucha
类结构	leijiegou
雷诺数	leinuoshu
类似	leisi
类型抽样	leixingchouyang
类型论	leixinglun
棱柱	lengzhu
棱锥	lengzhui
力场	lichang
立方	lifang
立方数	lifangshu
立方体	lifangti
力矩	liju
厘克	like
理论	lilun
理论模型	lilunmoxing
理论曲线	lilunquxian
利率	lilv
厘米	limi
力偶	liou
李群	liqun
离散	lisan
离散分布	lisanfenbu
离散傅里叶变换	lisanfuliyebianhuan
离散规划	lisanguihua
离散化	lisanhua
离散事件动态系统	lisanshijiandongtaixitong
离散时间系统	lisanshijianxitong
离散数学	lisanshuxue
离散系数	lisanxishu
离散系统	lisanxitong
离散型随机变量分布列	lisanxingsuijibianliangfenbulie
隶属关系	lishuguanxi
隶属函数	lishuhanshu
立体	liti
立体几何	litijihe
立体角	litijiao
立体图	lititu
理想	lixiang
理想约束	lixiangyueshu
理想指数公式	lixiangzhishugongshi
离心力	lixinli
离心率	lixinlv
力学	lixue
利益	liyi
立轴	lizhou
链环	lianhuan
连结	lianjie
联结词	lianjieci
连接道路	lianjiedaolu
联络	lianluo
链码	lianma
连通	liantong
连通度	liantongdu
连通分支	liantongfenzhi
连通图	liantongtu
