阿代尔	adaier
表面硬化	biaomianyinghua
表面张力	biaomianzhangli
表象	biaoxiang
标准大气压	biaozhundaqiya
标准模型	biaozhunmoxing
标准偏差	biaozhunpiancha
标准频率	biaozhunpinlv
标准误差	biaozhunwucha
标准仪器	biaozhunyiqi
标准状态	biaozhunzhuangtai
冰点	bingdian
并联	binglian
并联电路	bingliandianlu
波长	bochang
波导	bodao
波的叠加	bodediejia
铂电阻温度计	bodianzuwenduji
波动方程	bodongfangcheng
波动性	bodongxing
玻恩	boen
玻尔兹曼分布	boerzimanfenbu
波峰	bofeng
波腹	bofu
伯格斯矢量	bogesishiliang
波谷	bogu
波函数	bohanshu
波节	bojie
波粒二象性	bolierxiangxing
玻璃态	bolitai
波模	bomo
薄膜光学	baomoguangxue
薄膜晶体管	bomojingtiguan|baomojingtiguan
伯努利方程	bonulifangcheng
波前	boqian
玻色	bose
波矢量	boshiliang
波数	boshu
泊松比	bosongbi
泊松方程	bosongfangcheng
泊松分布	bosongfenbu
波纹管	bowenguan
波形	boxing
波阵面	bozhenmian
波阻抗	bozukang
不变式	bubianshi
补偿	buchang
补偿定理	buchangdingli
补偿片	buchangpian
不定积分	budingjifen
不动点	budongdian
布尔代数	buerdaishu
部分相干	bufenxianggan
不封闭	bufengbi
不交轴光线	bujiaozhouguangxian
不可见光	bukejianguang
不可逆	bukeni
不可逆过程	bukeniguocheng
不可压缩性	bukeyasuoxing
布朗运动	bulangyundong
布里渊区	buliyuanqu
不良导体	buliangdaoti
补码	buma
不平衡力	bupinghengli
布儒斯特角	burusitejiao
布氏硬度	bushiyingdu
不稳定状态	buwendingzhuangtai
布线	buxian
参量放大器	canliangfangdaqi
测不准原理	cebuzhunyuanli
测地线	cedixian
测高仪	cegaoyi
测角计	cejiaoji
测力计	celiji
测量	celiang
测量技术	celiangjishu
测量精确度	celiangjingquedu
测量误差	celiangwucha
测量仪器	celiangyiqi
测试函数	ceshihanshu
测微目镜	ceweimujing
测温法	cewenfa
测温学	cewenxue
层流	cengliu
查德威克	chadeweike
差示温度计	chashiwenduji
差音	chayin
插座	chazuo
颤动	chandong
掺杂	chanza
掺杂物	chanzawu
长波辐射	changbofushe
长程有序	changchengyouxu
长度单位	changdudanwei
常光	changguang
常量	changliang
场论	changlun
场强	changqiang
场曲	changqu
尝试法	changshifa
常数	changshu
场效应晶体管	changxiaoyingjingtiguan
场致发射	changzhifashe
超导	chaodao
超导磁体	chaodaociti
超导结	chaodaojie
超导体	chaodaoti
超点阵	chaodianzhen
超高频	chaogaopin
超高压	chaogaoya
超荷	chaohe
超级计算机	chaojijisuanji
超晶格	chaojingge
超空化	chaokonghua
超连续	chaolianxu
超声波	chaoshengbo
超声检查	chaoshengjiancha
超声仪器	chaoshengyiqi
超顺磁性	chaoshuncixing
超塑性	chaosuxing
超弦理论	chaoxianlilun
超新星爆发	chaoxinxingbaofa
超折射	chaozheshe
超重	chaozhong
衬比度	chenbidu
陈化	chenhua
程序库	chengxuku
弛豫时间	chiyushijian
充电	chongdian
冲沪力	chonghuli
冲花	chonghua
冲豢度	chonghuandu
冲辉验	chonghuiyan
冲击波	chongjibo
冲击电流计	chongjidianliuji
冲力	chongli
冲量	chongliang
畴壁	choubi
畴结构	choujiegou
抽气机	chouqiji
抽象代数	chouxiangdaishu
抽运	chouyun
触变性	chubianxing
触发器	chufaqi
出射角	chushejiao
初速	chusu
初速度	chusudu
出瞳	chutong
初相	chuxiang
传播常数	chuanbochangshu
传播方向	chuanbofangxiang
传播速度	chuanbosudu
传导电流	chuandaodianliu
传递函数矩阵	chuandihanshujuzhen
传感器	chuanganqi
串联	chuanlian
串联电路	chuanliandianlu
串联电阻	chuanliandianzu
传热	chuanre
传声器	chuanshengqi
传输线	chuanshuxian
穿透能力	chuantounengli
穿透深度	chuantoushendu
传质	chuanzhi
吹风器	chuifengqi
垂直	chuizhi
垂直磁化	chuizhicihua
垂直起落机	chuizhiqiluoji
垂直入射	chuizhirushe
纯粹数学	chuncuishuxue
纯音	chunyin
磁暴	cibao
磁层	ciceng
磁场	cichang
磁场强度	cichangqiangdu
磁常数	cichangshu
磁秤	cicheng
磁斥力	cichili
磁弛豫	cichiyu
磁畴	cichou
磁存储器	cicunchuqi
磁导计	cidaoji
磁导率	cidaolv
磁动势	cidongshi
磁轭	cie
磁法勘探	cifakantan
磁粉	cifen
磁感应强度	ciganyingqiangdu
磁各向异性	cigexiangyixing
磁共振	cigongzhen
磁鼓	cigu
磁光效应	ciguangxiaoying
磁化	cihua
磁化率	cihualv
磁化强度	cihuaqiangdu
磁化曲线	cihuaquxian
磁极	ciji
磁记录	cijilu
磁记录介质	cijilujiezhi
磁记录器	cijiluqi
磁结构	cijiegou
磁矩	ciju
磁聚焦	cijujiao
磁控管	cikongguan
磁老化	cilaohua
磁力	cili
磁链	cilian
磁路	cilu
磁能	cineng
磁能积	cinengji
磁能积曲线	cinengjiquxian
磁粘滞性	cinianzhixing
磁偶极子	cioujizi
磁泡	cipao
磁屏蔽	cipingbi
磁谱	cipu
磁强计	ciqiangji
次声	cisheng
次声波	cishengbo
磁体	citi
磁通	citong
磁通计	citongji
磁通量	citongliang
磁通密度	citongmidu
磁通势	citongshi
磁头	citou
磁透镜	citoujing
磁位差	ciweicha
磁相互作用	cixianghuzuoyong
次谐波	cixiebo
磁芯	cixin
磁性材料	cixingcailiao
磁旋比	cixuanbi
磁针	cizhen
磁滞	cizhi
磁滞回线	cizhihuixian
磁致伸缩	cizhishensuo
磁滞损耗	cizhisunhao
磁轴	cizhou
磁子午线	ciziwuxian
磁阻	cizu
磁阻系数	cizuxishu
粗调	cudiao
脆性断裂	cuixingduanlie
存储容量	cunchurongliang
达尔文	daerwen
带电导体	daidiandaoti
带电体	daidianti
带宽	daikuan
单纯形法	danchunxingfa
弹道	dandao
单道分析器	dandaofenxiqi
单刀双掷开关	dandaoshuangzhikaiguan
单分子层	danfenziceng
弹弓效应	dangongxiaoying
单滑轮	danhualun
单极晶体管	danjijingtiguan
单减	danjian
单结晶体管	danjiejingtiguan
单晶生长	danjingshengzhang
单模	danmo
单模激光器	danmojiguangqi
单片眼镜	danpianyanjing
单圈图	danquantu
单色光	danseguang
单色仪	danseyi
单位晶胞	danweijingbao
单位制	danweizhi
单位质量	danweizhiliang
单向反射	danxiangfanshe
单斜晶系	danxiejingxi
导出单位	daochudanwei
导纳	daona
导热体	daoreti
导热系数	daorexishu
导体	daoti
导线	daoxian
导星镜	daoxingjing
倒易点阵	daoyidianzhen
德拜	debai
得热	dere
等价类	dengjialei
等离子体	dengliziti
等离子体频率	denglizitipinlv
等容过程	dengrongguocheng
等容线	dengrongxian
等势线	dengshixian
等体积线	dengtijixian
等温过程	dengwenguocheng
等温吸附式	dengwenxifushi
等温线	dengwenxian
等相面	dengxiangmian
等效电感	dengxiaodiangan
等效电容	dengxiaodianrong
等效力系	dengxiaolixi
等效网络	dengxiaowangluo
等效质量	dengxiaozhiliang
等压过程	dengyaguocheng
等压线	dengyaxian
地磁场	dicichang
第二焦点	dierjiaodian
第二宇宙速度	dieryuzhousudu
低共熔点	digongrongdian
低能电子衍射	dinengdianziyanshe
低频	dipin
低频放大器	dipinfangdaqi
地球物理勘探	diqiuwulikantan
地球物理学	diqiuwulixue
第三宇宙速度	disanyuzhousudu
低温液体	diwenyeti
地心说	dixinshuo
低压	diya
低压变压器	diyabianyaqi
第一焦点	diyijiaodian
第一类永动机	diyileiyongdongji
第一宇宙速度	diyiyuzhousudu
低噪声放大器	dizaoshengfangdaqi
地震波	dizhenbo
地址寄存器	dizhijicunqi
电场	dianchang
电场力	dianchangli
电场强度	dianchangqiangdu
电场线	dianchangxian
电池充电器	dianchichongdianqi
电池组	dianchizu
电磁	dianci
电磁波	diancibo
电磁波谱	diancibopu
电磁场	diancichang
电磁辐射	diancifushe
电磁感应	dianciganying
电磁力	diancili
电磁驱动	dianciqudong
电磁透镜	diancitoujing
电磁学	diancixue
电磁振动	diancizhendong
电导	diandao
电导率	diandaolv
电动机	diandongji
电动力学	diandonglixue
电动势	diandongshi
电镀	diandu
电度表	diandubiao
电感	diangan
电感器	dianganqi
电感温度系数	dianganwenduxishu
电功率	diangonglv
点估计	dianguji
电光效应	dianguangxiaoying
点光源	dianguangyuan
电荷	dianhe
电荷密度	dianhemidu
电荷守恒	dianheshouheng
电极	dianji
电极电位	dianjidianwei
电极化强度	dianjihuaqiangdu
电解	dianjie
电解的	dianjiede
电解质	dianjiezhi
电介质	dianjiezhi
电抗	diankang
电离	dianli
电离电势	dianlidianshi
电离能	dianlineng
电离室	dianlishi
电离真空规	dianlizhenkonggui
电离作用	dianlizuoyong
电量	dianliang
电量计	dianliangji
电淋度	dianlindu
电流	dianliu
电流放大器	dianliufangdaqi
电流计	dianliuji
电流密度	dianliumidu
电流强度	dianliuqiangdu
电路	dianlu
电路图	dianlutu
电纳	dianna
电能	dianneng
电偶极矩	dianoujiju
电偶极子	dianoujizi
电气石	dianqishi
电桥	dianqiao
点缺陷	dianquexian
电容	dianrong
电容率	dianronglv
电容器	dianrongqi
电势	dianshi
电刷	dianshua
电位	dianwei
电位差	dianweicha
电位移	dianweiyi
电压	dianya
电压表	dianyabiao
电压放大器	dianyafangdaqi
电压降	dianyajiang
电源	dianyuan
电晕	dianyun
电震	dianzhen
点阵间距	dianzhenjianju
电致发光	dianzhifaguang
电子	dianzi
电子倍增器	dianzibeizengqi
电子伏	dianzifu
电子俘获	dianzifuhuo
电子管	dianziguan
电子核双共振	dianziheshuanggongzhen
电子镜	dianzijing
电子开关	dianzikaiguan
电子空穴	dianzikongxue
电子气	dianziqi
电子枪	dianziqiang
电子束	dianzishu
电子显微镜	dianzixianweijing
电子学	dianzixue
电子邮政	dianziyouzheng
电子云	dianziyun
电子质量	dianzizhiliang
电子自旋共振	dianzizixuangongzhen
电阻	dianzu
电阻率	dianzulv
电阻器	dianzuqi
电阻温度计	dianzuwenduji
电阻箱	dianzuxiang
迭代法	diedaifa
迭加	diejia
迭加原理	diejiayuanli
叠加原理	diejiayuanli
定标器	dingbiaoqi
定量分析	dingliangfenxi
定律	dinglv
定时器	dingshiqi
定态	dingtai
定温	dingwen
定向	dingxiang
定向耦合器	dingxiangouheqi
定子	dingzi
动力粘度	dongliniandu
动力学	donglixue
动量	dongliang
动量守恒	dongliangshouheng
动摩擦	dongmoca
动摩擦系数	dongmocaxishu
动能	dongneng
动圈式检流计	dongquanshijianliuji
动态电阻	dongtaidianzu
动态误差	dongtaiwucha
动态应力	dongtaiyingli
动压	dongya
动压力	dongyali
动压头	dongyatou
动阻力	dongzuli
独立集	duliji
度量空间	duliangkongjian
杜隆	dulong
短波	duanbo
短程有序	duanchengyouxu
短沟道	duangoudao
断裂	duanlie
断裂力学	duanlielixue
短路	duanlu
断路器	duanluqi
对比灵敏度	duibilingmindu
对称群	duichenqun
对零	duiling
对流	duiliu
对偶变换	duioubianhuan
对偶图	duioutu
对数放大器	duishufangdaqi
对撞机	duizhuangji
多变过程	duobianguocheng
多边形化	duobianxinghua
多重相关	duochongxiangguan
多次反射	duocifanshe
多道分析器	duodaofenxiqi
多模激光器	duomojiguangqi
多普勒频移	duopulepinyi
多普勒效应	duopulexiaoying
多丝正比室	duosizhengbishi
多相流	duoxiangliu
多谐振荡器	duoxiezhendangqi
额定电压	edingdianya
扼流	eliu
扼流圈	eliuquan
扼流线圈	eliuxianquan
俄歇电子	exiedianzi
俄歇效应	exiexiaoying
二次曝光	ercibaoguang
二端网络	erduanwangluo
二极管	erjiguan
二极管激光器	erjiguanjiguangqi
二级相变	erjixiangbian
二进制单元	erjinzhidanyuan
二项分布	erxiangfenbu
二项式定理	erxiangshidingli
二象性	erxiangxing
二元系	eryuanxi
法布里	fabuli
发电机	fadianji
发光二极管	faguangerjiguan
发光强度	faguangqiangdu
法拉	fala
法拉第	faladi
发散透镜	fasantoujing
发射	fashe
发射光谱	fasheguangpu
发射极	fasheji
法线	faxian
法向加速度	faxiangjiasudu
法向应力	faxiangyingli
反冲	fanchong
范德瓦耳斯力	fandewaersili
反电动势	fandiandongshi
反对称	fanduichen
反对称态	fanduichentai
泛函分析	fanhanfenxi
反馈	fankui
反馈控制	fankuikongzhi
反射	fanshe
反射壁	fanshebi
反射定律	fanshedinglv
反射光	fansheguang
反射光栅	fansheguangshan
反射光线	fansheguangxian
反射角	fanshejiao
反射率	fanshelv
反射系数	fanshexishu
反射线	fanshexian
范数	fanshu
反弹	fantan
反铁磁性	fantiecixing
反向电流	fanxiangdianliu
反相器	fanxiangqi
反相输入	fanxiangshuru
反向运动	fanxiangyundong
反演	fanyan
反演中心	fanyanzhongxin
泛音	fanyin
反中微子	fanzhongweizi
反重子	fanzhongzi
反作用力	fanzuoyongli
方波	fangbo
方差分析	fangchafenxi
方差齐性	fangchaqixing
放大率	fangdalv
放大器	fangdaqi
放大系数	fangdaxishu
放电	fangdian
防护屏	fanghuping
仿射变换	fangshebianhuan
放射能	fangsheneng
放射系	fangshexi
放射性	fangshexing
放射性标准	fangshexingbiaozhun
放射性核素	fangshexinghesu
放射性活度	fangshexinghuodu
放射性强度	fangshexingqiangdu
放射性物质	fangshexingwuzhi
放射性元素	fangshexingyuansu
仿真耳	fangzhener
非磁性材料	feicixingcailiao
沸点	feidian
非对称	feiduichen|feiduicheng
非负整数	feifuzhengshu
非晶体	feijingti
菲克定律	feikedinglv
费马原理	feimayuanli
非门	feimen
费米	feimi
费米能级	feiminengji
非欧几何	feioujihe
非平衡热力学	feipinghengrelixue
非平衡态	feipinghengtai
非球面	feiqiumian
非弹性碰撞	feitanxingpengzhuang
非稳态	feiwentai
非线性	feixianxing
非线性的	feixianxingde
非线性光学	feixianxingguangxue
非线性振荡	feixianxingzhendang
非相干性	feixiangganxing
非周期性	feizhouqixing
分贝	fenbei
分辨率	fenbianlv
分布参数	fenbucanshu
分布电容	fenbudianrong
分布负载	fenbufuzai
分布函数	fenbuhanshu
分割	fenge
分光光度计	fenguangguangduji
分光镜	fenguangjing
分量	fenliang
分流器	fenliuqi
分路	fenlu
分米波	fenmibo
粉末法	fenmofa
分频器	fenpinqi
分束器	fenshuqi
分析力学	fenxilixue
分析线	fenxixian
分形	fenxing
分压	fenya
分压器	fenyaqi
分支	fenzhi
分子	fenzi
分子电子学	fenzidianzixue
分子结构	fenzijiegou
分子晶体	fenzijingti
分子离子	fenzilizi
分子筛	fenzishai
伏安法	fuanfa
复摆	fubai
复导纳	fudaona
负电荷	fudianhe
负端钮	fuduanniu
负反馈	fufankui
符号检验	fuhaojianyan
符号逻辑	fuhaoluoji
复合核	fuhehe
复合运算	fuheyunsuan
负极板	fujiban
附加质量	fujiazhiliang
弗兰克	fulanke
富兰克林	fulankelin
弗劳德数	fulaodeshu
浮力	fuli
傅里叶定律	fuliyedinglv
傅里叶光学	fuliyeguangxue
傅里叶数	fuliyeshu
负离子	fulizi
副绕组	furaozu
辐射	fushe
辐射电阻	fushedianzu
辐射防护	fushefanghu
辐射方向图	fushefangxiangtu
辐射高温计	fushegaowenji
辐射功率	fushegonglv
辐射器	fusheqi
辐射强度	fusheqiangdu
辐射热计	fushereji
辐射损伤	fushesunshang
辐射体	fusheti
辐射通量	fushetongliang
辐射阻抗	fushezukang
腐蚀试验	fushishiyan
伏特	fute
伏特计	futeji
浮心	fuxin
负载	fuzai
负载电阻	fuzaidianzu
辐照度	fuzhaodu
辐照损伤	fuzhaosunshang
复制光栅	fuzhiguangshan
附着力	fuzhuoli
复阻抗	fuzukang
概率	gailv
概率分布	gailvfenbu
概率函数	gailvhanshu
概率论	gailvlun
概率密度	gailvmidu
盖吕萨克定律	gailvsakedinglv
概率误差	gailvwucha
概然误差	gairanwucha
感光计	ganguangji
感抗	gankang
干涉	ganshe
干涉滤光片	ganshelvguangpian
干涉显微镜	ganshexianweijing
干涉仪	gansheyi
干湿球湿度计	ganshiqiushiduji
感应电动机	ganyingdiandongji
感应电动势	ganyingdiandongshi
感应电流	ganyingdianliu
感应放射性	ganyingfangshexing
感应加热	ganyingjiare
感应圈	ganyingquan
刚度	gangdu
刚体	gangti
高频	gaopin
高频放大器	gaopinfangdaqi
高斯分布	gaosifenbu
高斯光束	gaosiguangshu
高斯目镜	gaosimujing
高温计	gaowenji
高温气冷堆	gaowenqilengdui
高压	gaoya
割边	gebian
格拉晓夫数	gelaxiaofushu
蛤同性	getongxing
各向同性	gexiangtongxing
各向异性	gexiangyixing
蛤异性	geyixing
工程大气压	gongchengdaqiya
共轭	gonge
共轭面	gongemian
功率	gonglv
功率放大器	gonglvfangdaqi
功率密度	gonglvmidu
功率因数	gonglvyinshu
共鸣	gongming
汞齐化	gongqihua
共析	gongxi
共振	gongzhen
共振频率	gongzhenpinlv
共振腔	gongzhenqiang
共振筛	gongzhenshai
沟道效应	goudaoxiaoying
固定电容器	gudingdianrongqi
固体电子学	gutidianzixue
固体激光器	gutijiguangqi
固体理论	gutililun
固有频率	guyoupinlv
惯性	guanxing
惯性力	guanxingli
光斑	guangban
光斑尺寸	guangbanchicun
光泵磁强计	guangbengciqiangji
光波	guangbo
光波导	guangbodao
光场	guangchang
光程差	guangchengcha
光程长度	guangchengchangdu
光存储器	guangcunchuqi
光电倍增管	guangdianbeizengguan
光电池	guangdianchi
光电导效应	guangdiandaoxiaoying
光电二极管	guangdianerjiguan
光电管	guangdianguan
光电晶体管	guangdianjingtiguan
光电流	guangdianliu
光电效应	guangdianxiaoying
光电子	guangdianzi
光电子学	guangdianzixue
光度计	guangduji
光度学	guangduxue
光伏器件	guangfuqijian
光核反应	guanghefanying
光合酌	guanghezhuo
光化反应	guanghuafanying
光化学	guanghuaxue
光激发	guangjifa
光记录	guangjilu
光焦度	guangjiaodu
光阑	guanglan
光敏电阻器	guangmindianzuqi
光能	guangneng
光年	guangnian
光谱	guangpu
光谱分析	guangpufenxi
光谱学	guangpuxue
光谱仪	guangpuyi
光强	guangqiang
光栅	guangshan
光栅常数	guangshanchangshu
光生伏打效应	guangshengfudaxiaoying
光声光谱学	guangshengguangpuxue
光视效率	guangshixiaolv
光视效能	guangshixiaoneng
光束	guangshu
光速	guangsu
光弹性	guangtanxing
光瞳	guangtong
光通量	guangtongliang
光纤	guangxian
光楔	guangxie
光心	guangxin
光行差	guangxingcha
光学	guangxue
光学玻璃	guangxueboli
光学测距仪	guangxuecejuyi
光学传感器	guangxuechuanganqi
光学高温计	guangxuegaowenji
光学密度	guangxuemidu
光学系统	guangxuexitong
光学显微镜	guangxuexianweijing
光学仪器	guangxueyiqi
光以太	guangyitai
广义线性模型	guangyixianxingmoxing
广义相对论	guangyixiangduilun
广义坐标	guangyizuobiao
光源	guangyuan
光致发光	guangzhifaguang
光轴	guangzhou
光锥	guangzhui
光子	guangzi
轨道	guidao
轨道半径	guidaobanjing
规范理论	guifanlilun
轨迹	guiji
贵金属	guijinshu
鬼线	guixian
归一化	guiyihua
滚动摩擦	gundongmoca
过饱和蒸汽	guobaohezhengqi
过程控制	guochengkongzhi
国际标准大气	guojibiaozhundaqi
过阻尼	guozuni
氦核流	haiheliu
亥姆霍兹方程	haimuhuozifangcheng
氦氖激光器	hainaijiguangqi
函数	hanshu
毫安	haoan
耗电功率	haodiangonglv
毫伏	haofu
耗尽层	haojinceng
毫米波	haomibo
核半径	hebanjing
核爆炸	hebaozha
核磁共振	hecigongzhen
核磁子	hecizi
核反应	hefanying
合金结	hejinjie
合金晶体管	hejinjingtiguan
核聚变	hejubian
合力	heli
核能	heneng
核素	hesu
核外电子	hewaidianzi
赫兹	hezi
黑暗星云	heianxingyun
黑洞	heidong
黑体	heiti
黑箱	heixiang
横波	hengbo
横电磁波	hengdiancibo
恒角速度	hengjiaosudu
亨利	hengli
恒力	hengli
恒流源	hengliuyuan
横模	hengmo
恒温器	hengwenqi
横向场	hengxiangchang
横向磁化	hengxiangcihua
恒星	hengxing
横摇	hengyao
横座标	hengzuobiao
红宝石激光器	hongbaoshijiguangqi
宏观结构	hongguanjiegou
轰击	hongji
红巨星	hongjuxing
红外辐射	hongwaifushe
红外线	hongwaixian
虹吸	hongxi
后处理	houchuli
厚度	houdu
互导	hudao
互感	hugan
互感器	huganqi
互感系数	huganxishu
互感现象	huganxianxiang
互感应	huganying
弧光灯	huguangdeng
互换性	huhuanxing
胡克定律	hukedinglv
互相吸引	huxiangxiyin
滑动	huadong
滑动角	huadongjiao
滑动接触	huadongjiechu
滑动摩擦	huadongmoca
滑动摩擦系数	huadongmocaxishu
滑轮	hualun
滑轮组	hualunzu
化学发光	huaxuefaguang
化学计量学	huaxuejiliangxue
化学热力学	huaxuerelixue
化学势	huaxueshi
化学吸附	huaxuexifu
化学振荡	huaxuezhendang
缓冲放大器	huanchongfangdaqi
缓冲器	huanchongqi
缓冲酌	huanchongzhuo
幻方	huanfang
环流	huanliu
环面	huanmian
环形天线	huanxingtianxian
环形线圈	huanxingxianquan
环氧尸	huanyangshi
汇编程序	huibianchengxu
回波	huibo
彗差	huicha
汇点	huidian
回复磁导率	huifucidaolv
恢复时间	huifushijian
惠更斯	huigengsi
惠更斯原理	huigengsiyuanli
会聚角	huijujiao
会聚透镜	huijutoujing
回路	huilu
回热器	huireqi
回声	huisheng
彗形象差	huixingxiangcha
回转半径	huizhuanbanjing
回转轴	huizhuanzhou
混沌	hundun
混合长度	hunhechangdu
混合气体	hunheqiti
混合热	hunhere
混合位错	hunheweicuo
活度系数	huoduxishu
霍尔效应	huoerxiaoying
或非门	huofeimen
活化能	huohuaneng
火花室	huohuashi
或门	huomen
霍桑效应	huosangxiaoying
火线	huoxian
活性氧	huoxingyang
畸变	jibian
吉伯	jibo
基波	jibo
吉布斯	jibusi
吉布斯相律	jibusixianglv
集成电路	jichengdianlu
击穿场强	jichuanchangqiang
基点	jidian
集电极	jidianji
机电耦合系数	jidianouhexishu
继电器	jidianqi
基尔霍夫定律	jierhuofudinglv
激发	jifa
激发态	jifatai
积分变换	jifenbianhuan
积分电路	jifendianlu
积分下限	jifenxiaxian
机构	jigou
极冠	jiguan
极冠吸收	jiguanxishou
激光	jiguang
激光二极管	jiguangerjiguan
激光器	jiguangqi
激光束	jiguangshu
激光退火	jiguangtuihuo
奇函数	jihanshu
几何光学	jiheguangxue
极化	jihua
极化电流	jihuadianliu
极化率	jihualv
极化曲线	jihuaquxian
极化子	jihuazi
激活能	jihuoneng
基极	jiji
积累层	jileiceng
级联辐射	jilianfushe
剂量当量	jiliangdangliang
几率	jilv
基频	jipin
寄生振荡	jishengzhendang
计时器	jishiqi
计数器	jishuqi
基态	jitai
迹线	jixian
极限摩擦	jixianmoca
极限速度	jixiansudu
机械功	jixiegong
机械能	jixieneng
机械能守恒	jixienengshouheng
机械振动	jixiezhendong
基音	jiyin
极紫外	jiziwai
价带	jiadai
价电子	jiadianzi
加法器	jiafaqi
加工硬化	jiagongyinghua
伽玛	gama|jiama
加权平均	jiaquanpingjun
加色法	jiasefa
加速	jiasu
加速电压	jiasudianya
加速度	jiasudu
加速度计	jiasuduji
加速运动	jiasuyundong
简并度	jianbingdu
减反射膜	jianfanshemo
间接测量	jianjieceliang
检疗	jianliao
检流计	jianliuji
剪切模量	jianqiemoliang
剪切强度	jianqieqiangdu
剪切应力	jianqieyingli
溅射	jianshe
简谐运动	jianxieyundong
简谐振动	jianxiezhendong
碱性蓄电池	jianxingxudianchi
检验	jianyan
检验统计量	jianyantongjiliang
剪应变	jianyingbian
剪应力	jianyingli
交变	jiaobian
焦点	jiaodian
角动	jiaodong
角动量	jiaodongliang
焦度	jiaodu
焦耳	jiaoer
焦耳定律	jiaoerdinglv
焦耳效应	jiaoerxiaoying
交换反应	jiaohuanfanying
交换能	jiaohuanneng
交换能量	jiaohuannengliang
角加速度	jiaojiasudu
焦距	jiaoju
交羚路	jiaolinglu
交流	jiaoliu
交流变压器	jiaoliubianyaqi
交流电路	jiaoliudianlu
交流电桥	jiaoliudianqiao
焦面	jiaomian
角频率	jiaopinlv
焦深	jiaoshen
角速度	jiaosudu
矫顽场	jiaowanchang
矫顽力	jiaowanli
角位移	jiaoweiyi
胶质	jiaozhi
接触点	jiechudian
接触电阻	jiechudianzu
接触力	jiechuli
接触面	jiechumian
接触器	jiechuqi
接地	jiedi
节点	jiedian
介电常数	jiedianchangshu
介电强度	jiedianqiangdu
介电损耗	jiediansunhao
介电体	jiedianti
结构参数	jiegoucanshu
结合能	jieheneng
结晶温度	jiejingwendu
截距	jieju
节流过程	jieliuguocheng
解码	jiema
界面态	jiemiantai
节平面	jiepingmian
接收机	jieshouji
解调	jietiao
节线	jiexian
接线	jiexian
阶跃函数	jieyuehanshu
介质	jiezhi
截止波长	jiezhibochang
截止频率	jiezhipinlv
近代物理学	jindaiwulixue
进动	jindong
劲度	jingdu|jindu
浸没物镜	jinmowujing
金属薄膜	jinshubomo|jinshubaomo
金属间化合物	jinshujianhuahewu
近似法	jinsifa
金相学	jinxiangxue
近轴光线	jinzhouguangxian
静触头	jingchutou
静磁场	jingcichang
静电场	jingdianchang
静电感应	jingdianganying
静电计	jingdianji
静电力	jingdianli
经典力学	jingdianlixue
静电屏蔽	jingdianpingbi
静电透镜	jingdiantoujing
静电学	jingdianxue
静负荷	jingfuhe
晶格间距	jinggejianju
晶格能	jinggeneng
晶格匹配	jinggepipei
晶格位置	jinggeweizhi
晶格振动	jinggezhendong
晶界	jingjie
晶界扩散	jingjiekuosan
静力学	jinglixue
精密测量	jingmiceliang
精密电阻	jingmidianzu
精密度	jingmidu
镜面反射	jingmianfanshe
晶面间距	jingmianjianju
静摩擦	jingmoca
静摩擦系数	jingmocaxishu
景深	jingshen
静室	jingshi
颈缩	jingsuo
晶体管	jingtiguan
晶体惯态	jingtiguantai
晶体结构	jingtijiegou
