阿姆可铁	amuketie
补充业务	buchongyewu
不对称交流充电	buduichenjiaoliuchongdian
部分反转	bufenfanzhuan
不合格品	buhegepin
不合格品率	buhegepinlv
捕获范围	buhuofanwei
捕获时间	buhuoshijian
步进继电器	bujinjidianqi
步进角	bujinjiao
步进频率	bujinpinlv
步进衰减器	bujinshuaijianqi
步进制交换	bujinzhijiaohuan
步距	buju
布局布线	bujubuxian
不可视区	bukeshiqu
布里奇曼方法	buliqimanfangfa
布里渊	buliyuan
布里渊图	buliyuantu
步态分析系统	butaifenxixitong
不透明光阴极	butoumingguangyinji
布图规则检查	butuguizejiancha
布线	buxian
捕捉带	buzhuodai
擦除	cachu
擦除头	cachutou
擦地角	cadijiao
材料色散	cailiaosesan
彩色电视	caisedianshi
彩色显示	caisexianshi
彩色显象管	caisexianxiangguan
彩条信号	caitiaoxinhao
采样	caiyang
采样电路	caiyangdianlu
采样控制	caiyangkongzhi
采样器	caiyangqi
参比电极	canbidianji
参考白	cankaobai
参考波束	cankaoboshu
参考带	cankaodai
参考带宽	cankaodaikuan
参考当量	cankaodangliang
参考电路	cankaodianlu
参考载波	cankaozaibo
参量放大器	canliangfangdaqi
参量估计	canliangguji
参量混频器	canlianghunpinqi
参量型检测	canliangxingjiance
残留边带	canliubiandai
参数检验	canshujianyan
操纵杆	caozonggan
测高雷达	cegaoleida
测高仪	cegaoyi
测距码	cejuma
测距器	cejuqi
测距系统	cejuxitong
测量范围	celiangfanwei
测量方法	celiangfangfa
测量雷达	celiangleida
测量设备	celiangshebei
测频	cepin
测试唱片	ceshichangpian
测试带	ceshidai
测试接收机	ceshijieshouji
测试卡	ceshika
侧视雷达	ceshileida
测速带	cesudai
测速发电机	cesufadianji
测向	cexiang
测向测距系统	cexiangcejuxitong
测向系统	cexiangxitong
侧音测距	ceyinceju
参差调谐	cencitiaoxie
层错	cengcuo
层流电子枪	cengliudianziqiang
层流电子束	cengliudianzishu
插板阀	chabanfa
差波束	chaboshu
差波束分离角	chaboshufenlijiao
差波束零深	chaboshulingshen
差错传播	chacuochuanbo
差错控制	chacuokongzhi
差错扩散	chacuokuosan
差动电容器	chadongdianrongqi
差分	chafen
差分放大器	chafenfangdaqi
差分运放	chafenyunfang
差集码	chajima
差接变量器	chajiebianliangqi
插口	chakou
差模输入	chamoshuru
差频相位延迟	chapinxiangweiyanchi
差热分析	charefenxi
插入测试信号	charuceshixinhao
插入力	charuli
插入扫描	charusaomiao
插入式放电管	charushifangdianguan
插入损耗	charusunhao
插塞	chasai
插装	chazhuang
插座	chazuo
产生复合	chanshengfuhe
产生式规则	chanshengshiguize
掺杂剂	chanzaji
掺杂氧化物扩散	chanzayanghuawukuosan
长波通信	changbotongxin
场感应结	changganyingjie
常规充电	changguichongdian
场面检测雷达	changmianjianceleida
场强测量仪	changqiangceliangyi
场曲	changqu
场驱动	changqudong
长途电话	changtudianhua
长途网	changtuwang
长途直拨	changtuzhibo
长线	changxian
长线天线	changxiantianxian
场效晶体管	changxiaojingtiguan
场效应	changxiaoying
场效应晶体管	changxiaoyingjingtiguan
场氧化层	changyanghuaceng
唱针	changzhen
场致发射	changzhifashe
场助扩散	changzhukuosan
超长波通信	chaochangbotongxin
超纯水	chaochunshui
超导磁体	chaodaociti
超导电子学	chaodaodianzixue
超导探测器	chaodaotanceqi
超低频	chaodipin
超低频通信	chaodipintongxin
超低音系统	chaodiyinxitong
超短波通信	chaoduanbotongxin
超短光脉冲	chaoduanguangmaichong
超辐射	chaofushe
超高频通信	chaogaopintongxin
超高速集成电路	chaogaosujichengdianlu
超高真空	chaogaozhenkong
超过滤	chaoguolv
超晶格	chaojingge
超快光电子学	chaokuaiguangdianzixue
超码	chaoma
超前网络	chaoqianwangluo
超声导盲器	chaoshengdaomangqi
超声键合	chaoshengjianhe
超视距雷达	chaoshijuleida
超视距通信	chaoshijutongxin
潮湿试验	chaoshishiyan
超外差接收机	chaowaichajieshouji
超微粒干版	chaoweiliganban
超再生接收机	chaozaishengjieshouji
超噪比	chaozaobi
超主群	chaozhuqun
衬比度	chenbidu
衬底	chendi
衬底馈电逻辑	chendikuidianluoji
衬底偏置	chendipianzhi
沉寂室	chenjishi
沉降分析法	chenjiangfenxifa
衬偏效应	chenpianxiaoying
成核	chenghe
乘积检波器	chengjijianboqi
程控交换机	chengkongjiaohuanji
程控衰减器	chengkongshuaijianqi
程控仪器	chengkongyiqi
成批处理	chengpichuli
成批总数	chengpizongshu
成品检验	chengpinjianyan
成品率	chengpinlv
程式带	chengshidai
成象雷达	chengxiangleida
成型	chengxing
成形电路	chengxingdianlu
成形时间常数	chengxingshijianchangshu
程序控制	chengxukongzhi
程序指令	chengxuzhiling
城域网	chengyuwang
承载业务	chengzaiyewu
成组浮点	chengzufudian
尺寸安全性	chicunanquanxing
尺寸共振	chicungongzhen
迟电位	chidianwei
尺度传感器	chiduchuanganqi
驰豫	chiyu
冲淡比	chongdanbi
充电	chongdian
充电保持能力	chongdianbaochinengli
充电接收能力	chongdianjieshounengli
充电效率	chongdianxiaolv
重放	chongfang
重放头	chongfangtou
重复性	chongfuxing
重复阻抗	chongfuzukang
冲激不变法	chongjibubianfa
冲击电流计	chongjidianliuji
冲激雷达	chongjileida
冲击试验	chongjishiyan
冲激响应	chongjixiangying
充气阀	chongqifa
充气管	chongqiguan
充气整流管	chongqizhengliuguan
重入式谐振腔	chongrushixiezhenqiang
重影	chongying
虫蛀试验	chongzhushiyan
畴壁共振	choubigongzhen
抽头开关	choutoukaiguan
抽头式变压器	choutoushibianyaqi
抽象码	chouxiangma
抽样方案	chouyangfangan
抽样数	chouyangshu
抽运	chouyun
储备电池	chubeidianchi
储备式阴极	chubeishiyinji
初充电	chuchongdian
触点	chudian
触点负载	chudianfuzai
触点粘结	chudiannianjie
触点熔接	chudianrongjie
触发	chufa
触发管	chufaguan
触发极	chufaji
触发器翻转	chufaqifanzhuan
初级辐射器	chujifusheqi
初检	chujian
出境链路	chujinglianlu
出库检验	chukujianyan
储能电容器	chunengdianrongqi
储频	chupin
储频行波管	chupinxingboguan
除气	chuqi
出气	chuqi
初始检查	chushijiancha
初缩	chusuo
串并转换	chuanbingzhuanhuan
传播常数	chuanbochangshu
传播速度	chuanbosudu
传导电流	chuandaodianliu
传递函数	chuandihanshu
传感器	chuanganqi
串行数据	chuanxingshuju|chuanhangshuju
传号	chuanhao
串级校正	chuanjijiaozheng
串级控制	chuanjikongzhi
穿交	chuanjiao
串联电感	chuanliandiangan
串扰	chuanrao
传声器	chuanshengqi
传输概率	chuanshugailv
传输函数	chuanshuhanshu
传输媒体	chuanshumeiti
传输媒质	chuanshumeizhi
传输速率	chuanshusulv
传输线	chuanshuxian
传输延时	chuanshuyanshi
传送系数	chuansongxishu
串文法	chuanwenfa
穿心电容器	chuanxindianrongqi
串行输入输出	chuanxingshurushuchu
串音	chuanyin
串语言	chuanyuyan
船载雷达	chuanzaileida
窗放大器	chuangfangdaqi
窗函数	chuanghanshu
床旁监护仪	chuangpangjianhuyi
吹孔	chuikong
垂面排列	chuimianpailie
垂直极化	chuizhijihua
垂直注入逻辑	chuizhizhuruluoji
磁摆动器	cibaidongqi
磁保持继电器	cibaochijidianqi
磁层	ciceng
磁场强度	cichangqiangdu
磁场直拉法	cichangzhilafa
磁秤	cicheng
磁尺	cichi
磁畴	cichou
磁存储器	cicunchuqi
磁带录像机	cidailuxiangji
磁导计	cidaoji
磁导率	cidaolv
磁电式继电器	cidianshijidianqi
磁动势	cidongshi
磁轭	cie
磁放大器	cifangdaqi
磁粉	cifen
磁分离	cifenli
伺服系统	cifuxitong
磁浮轴承	cifuzhoucheng
磁感应	ciganying
磁共振	cigongzhen
磁共振成象	cigongzhenchengxiang
磁鼓	cigu
磁光盘	ciguangpan
磁光调制器	ciguangtiaozhiqi
磁光显示	ciguangxianshi
磁光效应	ciguangxiaoying
磁后效	cihouxiao
磁化	cihua
磁化率	cihualv
磁化器	cihuaqi
磁化强度	cihuaqiangdu
磁迹	ciji
磁极	ciji
次级电子	cijidianzi
次级电子导电	cijidianzidaodian
次级电子发射	cijidianzifashe
次级辐射器	cijifusheqi
次级辐射体	cijifusheti
磁记录媒体	cijilumeiti
磁记录媒质	cijilumeizhi
磁矩	ciju
磁聚焦	cijujiao
磁卡	cika
磁控管	cikongguan
磁控溅射	cikongjianshe
磁控注入电子枪	cikongzhurudianziqiang
磁老化	cilaohua
磁流体	ciliuti
磁路	cilu
磁敏感器	ciminganqi
磁能积	cinengji
磁粘滞性	cinianzhixing
磁耦合	ciouhe
磁偶极子	cioujizi
磁盘	cipan
磁泡	cipao
磁平	ciping
磁屏蔽电子枪	cipingbidianziqiang
次平面	cipingmian
磁强计	ciqiangji
磁热效应	cirexiaoying
磁调制器	citiaozhiqi
次同步层	citongbuceng
磁通计	citongji
磁通势	citongshi
磁头	citou
词头法同步	citoufatongbu
磁头缝隙	citoufengxi
磁透镜	citoujing
磁心	cixin
磁性半导体	cixingbandaoti
磁性材料	cixingcailiao
磁性录制	cixingluzhi
磁悬浮	cixuanfu
磁滞回线	cizhihuixian
磁致冷	cizhileng
磁致伸缩	cizhishensuo
磁致伸缩效应	cizhishensuoxiaoying
磁滞损耗	cizhisunhao
磁滞同步电动机	cizhitongbudiandongji
磁转矩计	cizhuanjuji
磁阻	cizu
磁阻效应	cizuxiaoying
粗抽泵	cuchoubeng
粗抽管路	cuchouguanlu
粗抽时间	cuchoushijian
猝灭效应	cumiexiaoying
簇射计数器	cushejishuqi
簇形晶体	cuxingjingti
粗真空	cuzhenkong
淬灭	cuimie
淬灭校正	cuimiejiaozheng
淬灭效应	cuimiexiaoying
存储电容	cunchudianrong
存储管	cunchuguan
存储示波器	cunchushiboqi
存储时间	cunchushijian
存储转发	cunchuzhuanfa
存储转发交换	cunchuzhuanfajiaohuan
错误定位子	cuowudingweizi
错误型	cuowuxing
达林顿功率管	dalindungonglvguan
大屏幕显示	dapingmuxianshi
大气激光通信	daqijiguangtongxin
大数判决译码	dashupanjueyima
大信号分析	daxinhaofenxi
大圆航线	dayuanhangxian
带传动	daichuandong
带基	daiji
待命时间	daimingshijian
带内信令	daineixinling
带式自动键合	daishizidongjianhe
代数码	daishuma
带通滤波器	daitonglvboqi
带外信令	daiwaixinling
戴维宁定理	daiweiningdingli
带隙	daixi
代谢成象	daixiechengxiang
带状电缆	daizhuangdianlan
带阻滤波器	daizulvboqi
丹倍效应	danbeixiaoying
单臂谱仪	danbipuyi
单边带调制	danbiandaitiaozhi
单边突变结	danbiantubianjie
单边序列	danbianxulie
单道分析器	dandaofenxiqi
弹道晶体管	dandaojingtiguan
氮分子激光器	danfenzijiguangqi
单工	dangong
单管单元存储器	danguandanyuancunchuqi
单光子发射	danguangzifashe
氮化铝瓷	danhualvci
氮化物	danhuawu
单基地雷达	danjidileida
单极晶体管	danjijingtiguan
单极子	danjizi
单结	danjie
单结晶体管	danjiejingtiguan
单晶	danjing
单路单载波	danludanzaibo
单脉冲激光器	danmaichongjiguangqi
单脉冲雷达	danmaichongleida
单面板	danmianban
单模工作	danmogongzuo
单模光纤	danmoguangxian
单片集成电路	danpianjichengdianlu
单片计算机	danpianjisuanji
单片微波集成放大器	danpianweibojichengfangdaqi
单频激光器	danpinjiguangqi
单色显示	dansexianshi
单声	dansheng
单透镜	dantoujing
单位冲激函数	danweichongjihanshu
单位阶跃函数	danweijieyuehanshu
单位阶跃响应	danweijieyuexiangying
单位取样序列	danweiquyangxulie
单位增益频率	danweizengyipinlv
单向开关	danxiangkaiguan
单向通信	danxiangtongxin
氮氧化硅	danyanghuagui
单音指令	danyinzhiling
单元尺寸	danyuanchicun
胆甾相液晶	danzaixiangyejing
单轴型铁氧体	danzhouxingtieyangti
挡板	dangban
挡板阀	dangbanfa
道比	daobi
导波	daobo
导出包络	daochubaoluo
导带	daodai
导带态	daodaitai
导电箔	daodianbo
导电图形	daodiantuxing
导管电极	daoguandianji
导航雷达	daohangleida
导航卫星	daohangweixing
倒核子	daohezi
道角	daojiao
倒角	daojiao
导抗	daokang
导抗电桥	daokangdianqiao
道宽	daokuan
导联系统	daolianxitong
导流系数	daoliuxishu
导纳	daona
导纳圆图	daonayuantu
导纳允带	daonayundai
导频信号	daopinxinhao
倒谱	daopu
导线	daoxian
倒向场聚焦	daoxiangchangjujiao
倒相器	daoxiangqi
倒向天线	daoxiangtianxian
刀形天线	daoxingtianxian
倒序	daoxu
德拜长度	debaichangdu
德布洛意	debuluoyi
等波纹逼近	dengbowenbijin
等电子中心	dengdianzizhongxin
等幅传输	dengfuchuanshu
等幅面	dengfumian
等高显示器	denggaoxianshiqi
等级网	dengjiwang
等精度曲线	dengjingduquxian
等静压	dengjingya
等离子	denglizi
等离子体	dengliziti
等离子体频率	denglizitipinlv
等离子体诊断	denglizitizhenduan
等能面	dengnengmian
等平面隔离	dengpingmiangeli
等平面工艺	dengpingmiangongyi
灯蕊效应	dengruixiaoying
灯丝变压器	dengsibianyaqi
等位面	dengweimian
等温退火	dengwentuihuo
等相面	dengxiangmian
等效电源定理	dengxiaodianyuandingli
等效辐射温度	dengxiaofushewendu
等效网络	dengxiaowangluo
等效隙缝	dengxiaoxifeng
等效噪声功率	dengxiaozaoshenggonglv
等效噪声温差	dengxiaozaoshengwencha
地表路由选择	dibiaoluyouxuanze
地波	dibo
地磁场	dicichang
地磁极	diciji
地电阻表	didianzubiao
迪尔	dier
递归文法	diguiwenfa
递归语言	diguiyuyan
低碱瓷	dijianci
低截获率雷达	dijiehuolvleida
低空搜索雷达	dikongsousuoleida
狄拉克分布	dilakefenbu
地面导航设备	dimiandaohangshebei
地面通信线路	dimiantongxinxianlu
低能电子衍射	dinengdianziyanshe
低能离子散射	dinenglizisanshe
低频放大器	dipinfangdaqi
低频通信	dipintongxin
低频振荡器	dipinzhendangqi
低气压试验	diqiyashiyan
地球观测系统	diqiuguancexitong
地球站	diqiuzhan
狄氏效应	dishixiaoying
地速	disu
低通滤波器	ditonglvboqi
地图测绘雷达	ditucehuileida
地图匹配导航	ditupipeidaohang
低温泵	diwenbeng
低温电子学	diwendianzixue
低温试验	diwenshiyan
敌我识别	diwoshibie
地形跟踪雷达	dixinggenzongleida
地形跟踪系统	dixinggenzongxitong
地形回避雷达	dixinghuibileida
低压	diya
第一闪烁体	diyishanshuoti
低噪声放大器	dizaoshengfangdaqi
低真空	dizhenkong
地址存取时间	dizhicunqushijian
电按摩	diananmo
电报方程	dianbaofangcheng
电报网	dianbaowang
电报学	dianbaoxue
电波暗室	dianboanshi
电场	dianchang
电唱盘	dianchangpan
电场强度	dianchangqiangdu
电池测试器	dianchiceshiqi
电传	dianchuan
电传机	dianchuanji
电磁泵	diancibeng
电磁波	diancibo
电磁场	diancichang
电磁阀	diancifa
电刺激	dianciji
电磁继电器	diancijidianqi
电磁兼容	diancijianrong
电磁屏蔽室	diancipingbishi
电磁谱	diancipu
电磁透镜	diancitoujing
电导	diandao
电导率	diandaolv
电动传声器	diandongchuanshengqi
电动耳机	diandongerji
电动阀	diandongfa
电动势	diandongshi
电动扬声器	diandongyangshengqi
电感	diangan
电感器	dianganqi
电光晶体	dianguangjingti
电光晶体光阀	dianguangjingtiguangfa
电光陶瓷	dianguangtaoci
电光调制	dianguangtiaozhi
点焊	dianhan
电荷	dianhe
电荷泵	dianhebeng
电荷泵锁相环	dianhebengsuoxianghuan
电荷共享	dianhegongxiang
电荷灵敏前置放大器	dianhelingminqianzhifangdaqi
电荷耦合器件	dianheouheqijian
电荷耦合器件存储器	dianheouheqijiancunchuqi
电荷守恒	dianheshouheng
电荷引发器件	dianheyinfaqijian
电荷注入器件	dianhezhuruqijian
电荷转移器件	dianhezhuanyiqijian
电呼吸描记术	dianhuximiaojishu
电话机	dianhuaji
电话网	dianhuawang
电话学	dianhuaxue
电化致变色	dianhuazhibianse
电极	dianji
淀积薄膜	dianjibaomo|dianjibomo
淀积工艺	dianjigongyi
淀积率	dianjilv
点接触二极管	dianjiechuerjiguan
电解电容器	dianjiedianrongqi
电抗	diankang
电抗定理	diankangdingli
电抗器	diankangqi
电抗网络	diankangwangluo
点扩展函数	diankuozhanhanshu
电缆通路	dianlantonglu
电离	dianli
电离比	dianlibi
电离层传播	dianlicengchuanbo
电离层散射通信	dianlicengsanshetongxin
电力电子学	dianlidianzixue
电离能	dianlineng
电离室	dianlishi
电离张弛振荡	dianlizhangchizhendang
电离真空计	dianlizhenkongji
电疗法	dianliaofa
电铃变压器	dianlingbianyaqi
电流	dianliu
电流饱和区	dianliubaohequ
电流表	dianliubiao
电流舵	dianliuduo
电流放大器	dianliufangdaqi
电流分配比	dianliufenpeibi
电流镜	dianliujing
电流模	dianliumo
电流漂移	dianliupiaoyi
电流取样	dianliuquyang
电流失配	dianliushipei
电路	dianlu
电路仿真	dianlufangzhen
电路交换	dianlujiaohuan
电路提取	dianlutiqu
电麻醉	dianmazui
点目标	dianmubiao
电纳	dianna
电能变换	diannengbianhuan
电啮合长度	dianniehechangdu
电凝法	dianningfa
电偶极子	dianoujizi
电抛光	dianpaoguang
电平	dianping
电平表	dianpingbiao
电平漂移二极管	dianpingpiaoyierjiguan
电迁徙	dianqianxi
电桥	dianqiao
电切术	dianqieshu
点缺陷	dianquexian
电容	dianrong
电容传声器	dianrongchuanshengqi
电容电压法	dianrongdianyafa
电容量允差	dianrongliangyuncha
电容率	dianronglv
电容器	dianrongqi
电扫雷达	diansaoleida
电势	dianshi
电视会议	dianshihuiyi
电视机	dianshiji
电视摄象机	dianshishexiangji
电枢控制	dianshukongzhi
碘酸锂晶体	diansuanlijingti
电碎石法	diansuishifa
电台磁方位	diantaicifangwei
电台方位	diantaifangwei
电台航向	diantaihangxiang
电调滤波器	diantiaolvboqi
电调振荡器	diantiaozhendangqi
点通信	diantongxin
电透药法	diantouyaofa
点图	diantu
电位	dianwei
电位差	dianweicha
电位降	dianweijiang
电位器	dianweiqi
电位梯度	dianweitidu
电文	dianwen
电文交换	dianwenjiaohuan
电细胞融合	dianxibaoronghe
电信业务	dianxinyewu
电信业务工程	dianxinyewugongcheng
电休克	dianxiuke
电压	dianya
电压表	dianyabiao
电压放大器	dianyafangdaqi
电压控制雪崩振荡器	dianyakongzhixuebengzhendangqi
电压敏感器	dianyaminganqi
电压切转充电	dianyaqiezhuanchongdian
电压梯度	dianyatidu
电压驻波比	dianyazhubobi
电泳显示	dianyongxianshi
电源变压器	dianyuanbianyaqi
电晕	dianyun
电晕放电	dianyunfangdian
电晕计数器	dianyunjishuqi
点阵曲率	dianzhenqulv
电针术	dianzhenshu
电致变色	dianzhibianse
电致变色显示	dianzhibiansexianshi
电致发光	dianzhifaguang
电致发光显示	dianzhifaguangxianshi
电致伸缩陶瓷	dianzhishensuotaoci
电中性条件	dianzhongxingtiaojian
电轴	dianzhou
电子保密	dianzibaomi
电子测量	dianziceliang
电子电话电路	dianzidianhuadianlu
电子电压表	dianzidianyabiao
电子对抗	dianziduikang
电子发射	dianzifashe
电子反对抗	dianzifanduikang
电子肺量计	dianzifeiliangji
电子伏	dianzifu
电子俘获中心	dianzifuhuozhongxin
电子干扰	dianziganrao
电子感生解吸	dianziganshengjiexi
电子工程学	dianzigongchengxue
电子光学	dianziguangxue
电子轨迹	dianziguiji
电子回轰	dianzihuihong
电子回旋共振加热	dianzihuixuangongzhenjiare
电子级纯水	dianzijichunshui
电子计算机	dianzijisuanji
电子块	dianzikuai
电子能	dianzineng
电子霓虹灯	dianzinihongdeng
电子欺骗	dianziqipian
电子枪	dianziqiang
电子亲和势	dianziqinheshi
电子情报	dianziqingbao
电子群聚	dianziqunju
电子扫描	dianzisaomiao
电子闪动灯箱	dianzishandongdengxiang
电子束	dianzishu
电子束半导体器件	dianzishubandaotiqijian
电子束曝光	dianzishubaoguang
电子束曝光系统	dianzishubaoguangxitong|dianzishupuguangxitong
电子束泵浦	dianzishubengpu
电子束参量放大器	dianzishucanliangfangdaqi
电子束光刻	dianzishuguangke
电子束光刻胶	dianzishuguangkejiao
电子束切片	dianzishuqiepian
电子束蒸发	dianzishuzhengfa
