阿莫科国际石油公司	amokeguojishiyougongsi
表面活性剂体系	biaomianhuoxingjitixi
表面活性剂型防蜡剂	biaomianhuoxingjixingfanglaji
标准短节油管	biaozhunduanjieyouguan
标准砂	biaozhunsha
宾厄姆流体	binemuliuti
冰川沉积	bingchuanchenji
冰川角砾	bingchuanjiaoli
丙二醇	bingerchun
并联管网	binglianguanwang
冰期	bingqi
冰碛地层学	bingqidicengxue
并条机	bingtiaoji
丙烷脱沥青	bingwantuoliqing
丙烯氨解氧化流化床反应器	bingxianjieyanghualiuhuachuangfanyingqi
丙烯醇	bingxichun
丙烯腈苯乙烯树脂	bingxijingbenyixishuzhi
丙烯歧化	bingxiqihua
丙烯气相法聚合	bingxiqixiangfajuhe
丙烯水合	bingxishuihe
丙烯酸酯化	bingxisuanzhihua
丙烯酰胺	bingxixianan
薄互层	bohuceng
波浪流	bolangliu
波前法	boqianfa
博斯蒂克反演	bosidikefanyan
波纹塔板	bowentaban
波形曲线显示	boxingquxianxianshi
博研石油论坛	boyanshiyouluntan
步长	buchang
补偿地层密度测井	buchangdicengmiducejing
布格校正	bugejiaozheng
布格异常	bugeyichang
不含蜡石油	buhanlashiyou
不极化电极	bujihuadianji
不倦的石油业发起人	bujuandeshiyouyefaqiren
不可采出的石油	bukecaichudeshiyou
捕捞船	bulaochuan
捕液器	buyeqi
不整合	buzhenghe
采出程度	caichuchengdu
彩色显示	caisexianshi
采样	caiyang
采样保持单元	caiyangbaochidanyuan
采样率	caiyanglv
采油强度	caiyouqiangdu
采油曲线	caiyouquxian
采油树导向喇叭口	caiyoushudaoxianglabakou
采油速率	caiyousulv
参比电极	canbidianji
参数集总	canshujizong
参数井	canshujing
残渣	canzha
残渣油	canzhayou
舱底水泵	cangdishuibeng
舱底污水井	cangdiwushuijing
草图	caotu
操作控制系统	caozuokongzhixitong
侧反射	cefanshe
测罐内油高	ceguanneiyougao
测井技术	cejingjishu
测井数据处理	cejingshujuchuli
测井速度	cejingsudu
测井响应方程	cejingxiangyingfangcheng
测量深度	celiangshendu
测深管	ceshenguan
测试阀	ceshifa
测线偏离效应	cexianpianlixiaoying
侧向泄油井	cexiangxieyoujing
侧向运移	cexiangyunyi
测斜仪	cexieyi
测压面	ceyamian
侧压系数	ceyaxishu
层间窜流	cengjiancuanliu
层间多次波	cengjianduocibo
层内干扰	cengneiganrao
层内运移	cengneiyunyi
层替换	cengtihuan
层析地震成象	cengxidizhenchengxiang
层状介质	cengzhuangjiezhi
层状油气藏	cengzhuangyouqicang
插入式注水泥接箍	charushizhushuinijiegu
差压控制阀	chayakongzhifa
差异分离	chayifenli
柴油	chaiyou
柴油过滤净化装置	chaiyouguolvjinghuazhuangzhi
产量下降曲线	chanliangxiajiangquxian
产量指数递减	chanliangzhishudijian
常规石油	changguishiyou
常规岩心分析	changguiyanxinfenxi
长筒取心	changtongquxin
常压舱	changyacang
常压重馏分油	changyazhongliufenyou
超层序	chaocengxu
潮差	chaocha
超长电极距测井	chaochangdianjijucejing
超低密度聚乙烯	chaodimidujuyixi
超短曲率半径水平井	chaoduanqulvbanjingshuipingjing
超高压变压器油	chaogaoyabianyaqiyou
超宽组合	chaokuanzuhe
超毛细管空隙	chaomaoxiguankongxi
潮上带	chaoshangdai
超声波成象仪	chaoshengbochengxiangyi
超声波流量计	chaoshengboliuliangji
超压保护	chaoyabaohu
超越离合器	chaoyueliheqi
车辆齿轮油	cheliangchilunyou
车用机油	cheyongjiyou
车用汽油	cheyongqiyou
车装式钻机	chezhuangshizuanji
沉垫	chendian
沉积环境	chenjihuanjing
沉积物和底水	chenjiwuhedishui
沉积岩	chenjiyan
沉降罐	chenjiangguan
成膜型缓蚀剂	chengmoxinghuanshiji
成熟作用	chengshuzuoyong
程序液压控制系统	chengxuyeyakongzhixitong
承压区	chengyaqu
承压水头	chengyashuitou
成岩裂缝	chengyanliefeng
齿轮传动钻机	chilunchuandongzuanji
齿轮试验机	chilunshiyanji
吃水	chishui
吃水标尺	chishuibiaochi
吃水标志	chishuibiaozhi
吃水指示器	chishuizhishiqi
赤铁矿	chitiekuang
重叠法	chongdiefa
冲积层	chongjiceng
冲激响应	chongjixiangying
充气差异电池	chongqichayidianchi
冲砂	chongsha
充填工具	chongtiangongju
冲头	chongtou
充油丁苯橡胶	chongyoudingbenxiangjiao
冲桩	chongzhuang
冲桩管线	chongzhuangguanxian
抽出塔盘	chouchutapan
稠化水驱	chouhuashuiqu
稠化水压裂液	chouhuashuiyalieye
稠化酸	chouhuasuan
抽汲泵	choujibeng
抽汲期间	choujiqijian
抽油杆接箍	chouyouganjiegu
抽油杆钳	chouyouganqian
抽油杆悬挂器	chouyouganxuanguaqi
抽油机平衡方式	chouyoujipinghengfangshi
抽油机效率	chouyoujixiaolv
抽油机最大扭矩	chouyoujizuidaniuju
抽油井诊断技术	chouyoujingzhenduanjishu
稠油开采蒸汽发生器	chouyoukaicaizhengqifashengqi
触变性流体	chubianxingliuti
储层地质学	chucengdizhixue
储层基本参数	chucengjibencanshu
除钙剂	chugaiji
除垢剂	chugouji
储罐	chuguan
储集岩	chujiyan
触媒	chumei
储气罐	chuqiguan
储气库	chuqiku
除砂	chusha
出砂层	chushaceng
初生石油	chushengshiyou
储油罐	chuyouguan
出油管导向喇叭口	chuyouguandaoxianglabakou
储油平台	chuyoupingtai
传播效应	chuanboxiaoying
穿钉	chuanding
穿孔器	chuankongqi
传热介质油装载泵	chuanrejiezhiyouzhuangzaibeng
船生噪声	chuanshengzaosheng
船首绞车	chuanshoujiaoche
船用柴油机油	chuanyongchaiyoujiyou
船用重油	chuanyongzhongyou
垂伸	chuishen
垂直磁力仪	chuizhiciliyi
垂直叠加	chuizhidiejia
磁暴	cibao
磁法勘探	cifakantan
磁方位	cifangwei
磁鼓	cigu
磁化干扰	cihuaganrao
磁记录器	cijiluqi
磁力低	cilidi
磁力分离器	cilifenliqi
磁倾角	ciqingjiao
次生孔隙度	cishengkongxidu
磁势	cishi
次石墨	cishimo
磁通量	citongliang
磁性硫化铁	cixingliuhuatie
磁性柱塞抽油泵	cixingzhusaichouyoubeng
丛式井口	congshijingkou
促进剂	cujinji
醋酸性盐雾试验	cusuanxingyanwushiyan
催化重整	cuihuachongzheng
催化裂化	cuihualiehua
脆化温度	cuihuawendu
催化蒸馏	cuihuazhengliu
脆硫锑铅矿	cuiliutiqiankuang
脆性岩石	cuixingyanshi
存水率	cunshuilv
大地电磁法	dadidiancifa
大地滤波	dadilvbo
大钩	dagou
打捞工具	dalaogongju
打捞震击器	dalaozhenjiqi
打捞钻柱	dalaozuanzhu
大陆漂移	dalupiaoyi
大钳	daqian
大水量灭火系统	dashuiliangmiehuoxitong
大小头	daxiaotou
打桩船	dazhuangchuan
打钻	dazuan
带盘根套筒	daipangentaotong
带式刹车	daishishache
带有注人流体管的电泵电缆	daiyouzhurenliutiguandedianbengdianlan
单程距离	danchengjuli
单齿额定升降能力	danchiedingshengjiangnengli
单储系数	danchuxishu
单点系泊	dandianxibo|dandianjibo
胆矾	danfan
单环硫化物	danhuanliuhuawu
单井控制储量	danjingkongzhichuliang
单井设计	danjingsheji
单井卫星采油树	danjingweixingcaiyoushu
单舌法撕破强力试验方法	danshefasipoqianglishiyanfangfa
淡水钻井液	danshuizuanjingye
单体硫	dantiliu
单位	danwei
单向阀	danxiangfa
单斜	danxie
单元环涡流	danyuanhuanwoliu
单元码	danyuanma
单轴绞车	danzhoujiaoche
单组分聚硫密封剂	danzufenjuliumifengji
当量循环密度	dangliangxunhuanmidu
挡土墙	dangtuqiang
导管架吊耳	daoguanjiadiaoer
导管架固定	daoguanjiaguding
导管架下水	daoguanjiaxiashui
导轨油	daoguiyou
导缆器	daolanqi
导丝盘	daosipan
导向误差	daoxiangwucha
导向钻头	daoxiangzuantou
倒装钻具	daozhuangzuanju
得克萨斯石油公司	dekesasishiyougongsi
德雷克井	deleikejing
德累斯登银行	deleisidengyinhang
等差级数	dengchajishu
灯法定硫试验	dengfadingliushiyan
等浮电缆故障寻找器	dengfudianlanguzhangxunzhaoqi
等浮电缆图象	dengfudianlantuxiang
等含硫值图	denghanliuzhitu
等渗透率图	dengshentoulvtu
等效烷烃碳数	dengxiaowantingtanshu
灯用煤油	dengyongmeiyou
地层反褶积	dicengfanzheji
地层焦化固砂	dicengjiaohuagusha
地层流体压力	dicengliutiyali
地层倾角测井	dicengqingjiaocejing
地层视电阻率	dicengshidianzulv
地层水电阻率	dicengshuidianzulv
地层微电阻扫描测井	dicengweidianzusaomiaocejing
地层油气藏	dicengyouqicang
底超	dichao
地磁场	dicichang
地电剖面	didianpoumian
低分子烃	difenziting
地基残留冻土层	dijicanliudongtuceng
递减系数	dijianxishu
低截滤波器	dijielvboqi
迪克斯公式	dikesigongshi
地块	dikuai
地垒	dilei
地沥青	diliqing
地沥青胶结料	diliqingjiaojieliao
地裂运动	dilieyundong
滴流床反应器	diliuchuangfanyingqi
低硫的	diliude
低硫含蜡渣油	diliuhanlazhayou
低硫原油	diliuyuanyou
地幔隆起	dimanlongqi
地面示功图	dimianshigongtu
低粘度柴油	dinianduchaiyou
低凝点石油	diningdianshiyou
底漆	diqi
地壳均衡说	diqiaojunhengshuo
地球物理测井学	diqiuwulicejingxue
地球资源技术卫星	diqiuziyuanjishuweixing
底水驱动	dishuiqudong
低水位体系域	dishuiweitixiyu
底水锥进	dishuizhuijin
低通滤波器	ditonglvboqi
低通现象	ditongxianxiang
底图	ditu
滴下	dixia
地下聚焦效应	dixiajujiaoxiaoying
低压报警器	diyabaojingqi
低压火炬	diyahuoju
低压凝析油罐	diyaningxiyouguan
低压气净化器	diyaqijinghuaqi
低压泄压阀	diyaxieyafa
低造浆粘土	dizaojiangniantu
地震测深	dizhenceshen
地震记录仪	dizhenjiluyi
地震相分析	dizhenxiangfenxi
地震钻机	dizhenzuanji
地址控制	dizhikongzhi
地质录井	dizhilujing
地质模型	dizhimoxing
地质剖面	dizhipoumian
地址线	dizhixian
滴状油罐	dizhuangyouguan
电磁测厚仪	diancicehouyi
电磁刹车	diancishache
电磁振动筛	diancizhendongshai
电动绞盘	diandongjiaopan
电动球阀	diandongqiufa
电动闸阀	diandongzhafa
电法勘探	dianfakantan
电弧钻井	dianhuzuanjing
电化学保护	dianhuaxuebaohu
电化学腐蚀	dianhuaxuefushi
电极	dianji
电极排列	dianjipailie
电解法防海生物污着系统	dianjiefafanghaishengwuwuzhuoxitong
电缆测井服务	dianlancejingfuwu
电缆头	dianlantou
电缆引入箱	dianlanyinruxiang
电离层干扰	dianlicengganrao
电潜单螺杆泵	dianqiandanluoganbeng
电潜离心泵机组	dianqianlixinbengjizu
电热清蜡	dianreqingla
电阻率测井	dianzulvcejing
掉格	diaoge
掉格曲线	diaogequxian
吊卡	diaoka
叠加速度	diejiasudu
叠前偏移	dieqianpianyi
叠瓦状结构	diewazhuangjiegou
丁苯树脂	dingbenshuzhi
顶部压井法	dingbuyajingfa
丁二烯苯乙烯嵌段共聚	dingerxibenyixiqianduangongju
丁腈橡胶	dingjingxiangjiao
定距飞行	dingjufeixing
顶帽	dingmao
定期检验	dingqijianyan
丁烷脱氢	dingwantuoqing
丁烯氧化	dingxiyanghua
定向井	dingxiangjing
定向药包	dingxiangyaobao
定向钻井	dingxiangzuanjing
冻胶型调剖剂	dongjiaoxingtiaopouji
动力定位半潜式钻井船	donglidingweibanqianshizuanjingchuan
动力定位模拟控制器	donglidingweimonikongzhiqi
动力机冷却系统	donglijilengquexitong
动力软管卷盘	dongliruanguanjuanpan
动力仪	dongliyi
动滤失量	donglvshiliang
东南亚国家联盟石油理事会	dongnanyaguojialianmengshiyoulishihui
动态裂缝尺寸	dongtailiefengchicun
动态随机存取存储器	dongtaisuijicunqucunchuqi
动稳性力臂	dongwenxinglibi
动用储量	dongyongchuliang
读卡仪	dukayi
堵漏垫	duloudian
短抽油杆	duanchouyougan
短电位	duandianwei
段塞流	duansailiu
短弯钻铤	duanwanzuanting
短涡轮钻具	duanwolunzuanju
短源距	duanyuanju
对苯二甲酸二甲酯	duibenerjiasuanerjiazhi
对比曲线	duibiquxian
对比温度	duibiwendu
对比折射法	duibizheshefa
堆放台	duifangtai
对口	duikou
对数比例	duishubili
多触点套管井径仪	duochudiantaoguanjingjingyi
多道滤波器	duodaolvboqi
多级抽油杆柱	duojichouyouganzhu
多井分析	duojingfenxi
多孔隔板法	duokonggebanfa
多流量试井	duoliuliangshijing
多路解编	duolujiebian
多相流	duoxiangliu
多效润滑脂	duoxiaorunhuazhi
多效添加剂	duoxiaotianjiaji
多用户作业	duoyonghuzuoye
厄特沃什效应	etewoshixiaoying
二层台高度	ercengtaigaodu
二次场电位差	ercichangdianweicha
二次燃烧	erciranshao
二次生油	ercishengyou
二度二线制	erduerxianzhi
二度三线制	erdusanxianzhi
二甲基丁二烯	erjiajidingerxi
二甲基反异链烷	erjiajifanyilianwan
二甲基石蜡烃	erjiajishilating
二硫代氨基甲酸酯	erliudaianjijiasuanzhi
二硫代缩水甘油	erliudaisuoshuiganyou
二硫代碳酸盐	erliudaitansuanyan
二硫化钼	erliuhuamu
二硫化碳	erliuhuatan
二硫化物	erliuhuawu
二维地震	erweidizhen
二维校正	erweijiaozheng
二维孔隙网络模型	erweikongxiwangluomoxing
二维两相渗流	erweiliangxiangshenliu
二硝基对甲酚	erxiaojiduijiafen
二氧化碳驱	eryanghuatanqu
二乙二醇	eryierchun
二乙基己基丙烯酸酯	eryijijijibingxisuanzhi
二乙基硫脲	eryijiliuniao
二乙基萘	eryijinai
二乙基已醇	eryijiyichun
法国石油公司	faguoshiyougongsi
法兰盲板	falanmangban
发泡剂	fapaoji
发送图象分析器	fasongtuxiangfenxiqi
阀体	fati
法向入射	faxiangrushe
发烟硫酸	fayanliusuan
发展快的城市	fazhankuaidechengshi
阀座拉拔器	fazuolabaqi
钒钝化剂	fandunhuaji
钒镍比	fanniebi
反射率	fanshelv
反射强度	fansheqiangdu
凡士林	fanshilin
反投影	fantouying
反循环	fanxunhuan
反循环打捞篮	fanxunhuandalaolan
反演	fanyan
反应器	fanyingqi
反褶积	fanzheji
翻转法抢装井口	fanzhuanfaqiangzhuangjingkou
翻转机	fanzhuanji
反转凝析现象	fanzhuanningxixianxiang
防爆设备	fangbaoshebei
防毒面具	fangdumianju
防风墙	fangfengqiang
防腐层抗流淌温度	fangfucengkangliutangwendu
防火堤	fanghuodi
防焦剂	fangjiaoji
防老剂	fanglaoji
防磨接头	fangmojietou
防喷器	fangpenqi
防喷器控制系统	fangpenqikongzhixitong
防喷器通径	fangpenqitongjing
防喷器组	fangpenqizu
防砂砾石	fangshalishi
纺丝拉伸工艺	fangsilashengongyi
纺丝拉伸机	fangsilashenji
芳烃抽提	fangtingchouti
方位校正	fangweijiaozheng
方位控制	fangweikongzhi
防雾剂	fangwuji
方向渗透率	fangxiangshentoulv
方向特性图	fangxiangtexingtu
芳香族石油	fangxiangzushiyou
放泄阀	fangxiefa
放泄器	fangxieqi
防锈添加剂	fangxiutianjiaji
防锈油	fangxiuyou
放油塞	fangyousai
防淤渣剂	fangyuzhaji
芳族石油溶剂	fangzushiyourongji
方钻杆旋扣器	fangzuanganxuankouqi
方钻铤	fangzuanting
非常规油气资源	feichangguiyouqiziyuan
非达西渗流	feidaxishenliu
非混相驱替	feihunxiangquti
非活塞式驱替	feihuosaishiquti
飞机	feiji
非沥青基石油	feiliqingjishiyou
非离子型表面活性剂	feilizixingbiaomianhuoxingji
非硫硫化	feiliuliuhua
非硫调氯丁橡胶	feiliutiaolvdingxiangjiao
非美国石油学会标准管材	feimeiguoshiyouxuehuibiaozhunguancai
非美国石油学会标准油管	feimeiguoshiyouxuehuibiaozhunyouguan
废弃井	feiqijing
非石油的	feishiyoude
费用预算许可	feiyongyusuanxuke
分辨率	fenbianlv
分馏	fenliu
分流方程	fenliufangcheng
分流器	fenliuqi
分析纯	fenxichun
粪甾烷	fenzaiwan
分支多侧向井	fenzhiduocexiangjing
封堵器	fengduqi
封隔液	fenggeye
风化	fenghua
封头	fengtou
风险系数	fengxianxishu
副标准燃料	fubiaozhunranliao
副承包人	fuchengbaoren
浮顶升降试验	fudingshengjiangshiyan
幅度衰减分析	fudushuaijianfenxi
覆盖百分比	fugaibaifenbi
覆盖层	fugaiceng
覆盖物	fugaiwu
负荷磨损指数	fuhemosunzhishu
复合平衡抽油机	fuhepinghengchouyouji
复合式石油钻井钻机	fuheshishiyouzuanjingzuanji
富硫石油	fuliushiyou
腐煤型天然气	fumeixingtianranqi
腐泥化作用	funihuazuoyong
辐射力	fusheli
辐射炉	fushelu
浮式储油装置	fushichuyouzhuangzhi
腐蚀深度	fushishendu
复式涡轮钻具	fushiwolunzuanju
浮筒	futong
复位开关	fuweikaiguan
负压闪蒸	fuyashanzheng
负异常	fuyichang
复杂岩性	fuzayanxing
腐殖型裂解气	fuzhixingliejieqi
辅助电站	fuzhudianzhan
辅助绕组	fuzhuraozu
服装	fuzhuang
钙基润滑脂	gaijirunhuazhi
改进型气冷反应堆	gaijinxingqilengfanyingdui
钙膨润土	gaipengruntu
干点	gandian
干电解电容器	gandianjiedianrongqi
干粉灭火器	ganfenmiehuoqi
干井	ganjing
干酪根	ganlaogen
干酪根降解论	ganlaogenjiangjielun
干酪根降解数学模拟法	ganlaogenjiangjieshuxuemonifa
干喷射	ganpenshe
干片整流器	ganpianzhengliuqi
干扰测试	ganraoceshi
干扰沉降	ganraochenjiang
干式采油树	ganshicaiyoushu
干式自动喷洒灭火系统	ganshizidongpensamiehuoxitong
干燥剂	ganzaoji
干燥机	ganzaoji
杆状图	ganzhuangtu
钢丝绳防喷器	gangsishengfangpenqi
钢丝绳直径	gangsishengzhijing
钢丝折断拉力总和	gangsizheduanlalizonghe
高氮沥青	gaodanliqing
高含硫原油	gaohanliuyuanyou
高含水油层	gaohanshuiyouceng
高级地球资源观测系统	gaojidiqiuziyuanguancexitong
高抗硫水泥	gaokangliushuini
高速层	gaosuceng
高碳青质	gaotanqingzhi
高碳脂肪胺	gaotanzhifangan
高碳脂肪烃	gaotanzhifangting
高温起泡剂	gaowenqipaoji
高温润滑脂	gaowenrunhuazhi
高辛烷值汽油	gaoxinwanzhiqiyou
高压报警器	gaoyabaojingqi
高压火炬	gaoyahuoju
高压气分液器	gaoyaqifenyeqi
高压泄压阀	gaoyaxieyafa
高钻井液钻井液	gaozuanjingyezuanjingye
隔离液	geliye
隔热层	gereceng
隔热管柱	gereguanzhu
割铣解卡法	gexijiekafa
各向异性系数	gexiangyixingxishu
根部焊道	genbuhandao
根据液面下降	genjuyemianxiajiang
庚烷值	gengwanzhi
工程地质船	gongchengdizhichuan
共存水饱和度	gongcunshuibaohedu
拱顶油罐	gongdingyouguan
共反射点道集	gongfanshediandaoji
工具面方位	gongjumianfangwei
功能选单	gongnengxuandan
供氢裂化	gongqingliehua
工业凡士林	gongyefanshilin
供油面积	gongyoumianji
公锥	gongzhui
工作段	gongzuoduan
工作队	gongzuodui
工作队成员	gongzuoduichengyuan
工作梯	gongzuoti
沟边组装	goubianzuzhuang
构造类型	gouzaoleixing
构造旋回	gouzaoxuanhui
构造作用	gouzaozuoyong
构造作用力	gouzaozuoyongli
古地磁地层学	gudicidicengxue
固定床反应器	gudingchuangfanyingqi
固井设备舱	gujingshebeicang
固控指数	gukongzhishu
固砂技术	gushajishu
固砂树脂	gushashuzhi
古生物鉴定	gushengwujianding
固体潮	gutichao
固体二氧化碳	gutieryanghuatan
固体石油	gutishiyou
固相侵入	guxiangqinru
古植物鉴定	guzhiwujianding
刮刀	guadao
挂钩	guagou
刮蜡片	gualapian
刮蜡器	gualaqi
观测系统	guancexitong
观测现场	guancexianchang
管道穿越	guandaochuanyue
管道定位器	guandaodingweiqi
管道结蜡	guandaojiela
管道通过权	guandaotongguoquan
管道完工队	guandaowangongdui
管拱	guangong
关井钻杆压力	guanjingzuanganyali
管路纵断面图	guanluzongduanmiantu
管式泵	guanshibeng
管网	guanwang
管线混合器	guanxianhunheqi
贯眼完井	guanyanwanjing
灌油栓	guanyoushuan
管柱	guanzhu
光纤等浮电缆	guangxiandengfudianlan
广义互换法	guangyihuhuanfa
硅油	guiyou
滚轮方补心	gunlunfangbuxin
滚筒高速离合器	guntonggaosuliheqi
滚筒轴	guntongzhou
国产石油	guochanshiyou
过渡带	guodudai
过渡带地震勘探	guodudaidizhenkantan
过渡流	guoduliu
国际石油市场	guojishiyoushichang
国家石油储备	guojiashiyouchubei
国家石油公司	guojiashiyougongsi
国家石油和能源研究所	guojiashiyouhenengyuanyanjiusuo
国家石油统计咨询委员会	guojiashiyoutongjizixunweiyuanhui
国家石油学会	guojiashiyouxuehui
过滤器	guolvqi
过油管射孔	guoyouguanshekong
海沟	haigou
海军石油储备	haijunshiyouchubei
海面浮油分散剂	haimianfuyoufensanji
海上测井拖撬	haishangcejingtuoqiao
海上地球物理勘探	haishangdiqiuwulikantan
海上结构	haishangjiegou
海上生产测试设备	haishangshengchanceshishebei
海上生产系统	haishangshengchanxitong
海上石油	haishangshiyou
海上石油开采	haishangshiyoukaicai
海上油气勘探	haishangyouqikantan
海水泥浆	haishuinijiang
海水提升泵	haishuitishengbeng
海水脱盐装置	haishuituoyanzhuangzhi
海洋测井拖撬	haiyangcejingtuoqiao
海洋石油技术	haiyangshiyoujishu
海洋石油资源	haiyangshiyouziyuan
海洋重力仪	haiyangzhongliyi
海运和海上石油作业安全自动化	haiyunhehaishangshiyouzuoyeanquanzidonghua
含氮化合物	handanhuahewu
含硫沥青	hanliuliqing
含气边界	hanqibianjie
含气面积	hanqimianji
含氢指数	hanqingzhishu
含水率仪	hanshuilvyi
含水石油	hanshuishiyou
含油气大区	hanyouqidaqu
含油污水舱	hanyouwushuicang
含油污水处理设施	hanyouwushuichulisheshi
航空液压油	hangkongyeyayou
航空重力测量	hangkongzhongliceliang
行列注水	hangliezhushui
毫秒炉	haomiaolu
核爆炸压裂	hebaozhayalie
合成表面活性剂	hechengbiaomianhuoxingji
合成聚合物	hechengjuhewu
合成气	hechengqi
合成橡胶	hechengxiangjiao
合成液压液	hechengyeyaye
核磁测井	hecicejing
核磁共振技术	hecigongzhenjishu
褐石油	heshiyou
河网密度	hewangmidu
合注井	hezhujing
核子旋进磁力仪	hezixuanjinciliyi
黑白图象	heibaituxiang
黑沥青	heiliqing
黑油	heiyou
恒流量控制阀	hengliuliangkongzhifa
横向预测	hengxiangyuce
洪积物	hongjiwu
红外吸收光谱法	hongwaixishouguangpufa
虹吸测斜仪	hongxicexieyi
喉道	houdao
后绘图	houhuitu
后冷器	houlengqi
后验估计	houyanguji
湖底扇	hudishan
护航船	huhangchuan
互换位置法	huhuanweizhifa
互换原理	huhuanyuanli
弧间盆地	hujianpendi
湖泊相	hupoxiang
互溶剂	hurongji
互溶性	hurongxing
滑动式接箍	huadongshijiegu
化合硫	huaheliu
滑环式交流电动机	huahuanshijiaoliudiandongji
滑塌相	huataxiang
滑套取样器	huataoquyangqi
滑脱	huatuo
滑脱效应	huatuoxiaoying
化学堵水	huaxuedushui
化学封隔器	huaxuefenggeqi
化学剂注入组块	huaxuejizhuruzukuai
化学清蜡	huaxueqingla
化学示踪剂	huaxueshizongji
化学脱硫工艺	huaxuetuoliugongyi
化学脱盐	huaxuetuoyan
缓冲接头	huanchongjietou
环带侵入剖面	huandaiqinrupoumian
环己酮	huanjitong
环空压力	huankongyali
环空闸板	huankongzhaban
缓慢沉积剖面	huanmanchenjipoumian
缓凝	huanning
缓凝剂	huanningji
换热器	huanreqi
环烷基石油	huanwanjishiyou
环烷烃指数	huanwantingzhishu
环线法	huanxianfa
环氧乙烷氨化	huanyangyiwananhua
还原硫	huanyuanliu
环晕效应	huanyunxiaoying
环状硫化物	huanzhuangliuhuawu
环状注水	huanzhuangzhushui
磺化钛氰钴脱硫醇	huanghuataiqinggutuoliuchun
磺甲基酚醛树脂	huangjiajifenquanshuzhi
磺酸盐型表面活性剂	huangsuanyanxingbiaomianhuoxingji
会标	huibiao
汇点反映法	huidianfanyingfa
灰度	huidu
挥发油	huifayou
回复力矩	huifuliju
恢复循环	huifuxunhuan
辉光值	huiguangzhi
回火性	huihuoxing
回接工具	huijiegongju
回接工具外套筒	huijiegongjuwaitaotong
灰量调节阀	huiliangtiaojiefa
回流冷凝器	huiliulengningqi
回填	huitian
绘图板	huituban
绘图笔	huitubi
绘图尺	huituchi
绘图机	huituji
绘图精度	huitujingdu
绘图网格	huituwangge
绘图仪器	huituyiqi
绘图员	huituyuan
绘图纸	huituzhi
混合泵	hunhebeng
混合基石油	hunhejishiyou
混合沥青基石油	hunheliqingjishiyou
混合器	hunheqi
混合润湿性	hunherunshixing
混凝土加重层	hunningtujiazhongceng
混凝土平台	hunningtupingtai
混相驱	hunxiangqu
混油界面	hunyoujiemian
混油乳化钻井液	hunyouruhuazuanjingye
活动基础	huodongjichu
活化分析	huohuafenxi
活化液	huohuaye
活络接头	huoluojietou
活塞超行程	huosaichaoxingcheng
活塞式保护器	huosaishibaohuqi
火山丘地震相	huoshanqiudizhenxiang
火烧罐	huoshaoguan
火油	huoyou
极板型下井仪	jibanxingxiajingyi
系泊导管架	jibodaoguanjia
系泊缆绳	jibolansheng
吉布斯现象	jibusixianxiang
挤出成型法	jichuchengxingfa
挤出机	jichuji
基础油	jichuyou
激动井	jidongjing
激发极化	jifajihua
极光带吸收	jiguangdaixishou
极化处理	jihuachuli
集块岩	jikuaiyan
