汉字	读音 1	教材核心组词 1	读音 2	教材核心组词 2	读音 3	教材核心组词 3	考点核心区分（部编版教材要求）
估	gū	估计、估量、估摸	gù	估衣、估铺（旧）	-	-	推测 / 旧指旧货店铺 / 衣服
骨	gǔ	骨头、骨骼、骨气	gū	骨碌、骨朵、骨碌碌	-	-	骨骼正式 / 滚动花骨朵（口语）
谷	gǔ	谷物、山谷、稻谷	yù	吐谷浑（古民族 / 地名）	-	-	一般义 / 古民族地名专用
冠	guān	皇冠、鸡冠、桂冠	guàn	冠军、冠名、冠礼	-	-	帽子头饰 / 第一命名成人礼
观	guān	观看、观察、观点	guàn	道观、宫观、楼观	-	-	看 / 见解 / 道教庙宇
纶	guān	纶巾、羽扇纶巾	lún	锦纶、涤纶、纶丝	-	-	古汉语头巾 / 现代化纤织物
过	guò	过去、经过、过错	guo	看过、吃过（轻声）	-	-	动词名词 / 句末结构助词
哈	hā	哈欠、哈哈笑、哈气	hǎ	哈达、哈巴狗	hà	哈什蚂（方言）	笑声出气 / 藏族饰品 / 方言动物
还	hái	还有、还是、还在	huán	归还、还钱、还乡	-	-	依然（副词）/ 归还返回（动词）
好	hǎo	好人、美好、好看	hào	爱好、喜好、好学	-	-	优点美好 / 喜爱喜好
号	hào	号码、号召、口号	háo	号叫、哀嚎、号啕	-	-	编号号召 / 大声哭嚎叫
和	hé	和平、和谐、温和	hè	附和、应和、和诗	huó	和面、和泥	和睦平和 / 响应作诗 / 搅拌粉水
			huò	和药、和稀泥	hú	和牌、和了（麻将）	混合药 / 敷衍 / 麻将赢牌
核	hé	核桃、核心、核能	hú	核儿、桃核儿（口语）	-	-	正式义 / 口语果实核（轻声）
横	héng	横线、横竖、横幅	hèng	蛮横、横财、横祸	-	-	水平纵横 / 粗暴意外财祸
哄	hōng	哄堂大笑、哄传、哄闹	hǒng	哄骗、哄孩子、哄劝	hòng	起哄、哄抢、内讧	众人喧闹 / 欺骗安抚 / 吵闹闹事
红	hóng	红色、红旗、红火	gōng	女红、红妆（古）	-	-	颜色 / 女子针线活（古汉语）
划	huá	划船、划水、划算	huà	计划、划分、划线	huai	划不来（口语）	拨水动作 / 规划划分 / 口语搭配
华	huá	中华、华丽、精华	huà	华山、姓华	huā	华发、华颠（古）	一般义 / 山名姓氏 / 古通 “花”（头发）
哗	huá	喧哗、哗变、哗然	huā	哗啦、哗哗响（拟声）	-	-	吵闹变乱 / 拟声词（水流 / 声响）
晃	huǎng	晃眼、晃荡、一晃而过	huàng	摇晃、晃动、晃悠	-	-	快速闪过刺眼 / 缓慢摇动
会	huì	会议、学会、机会	kuài	会计、财会、会计师	-	-	一般义 / 财务核算人员
混	hùn	混合、混乱、混杂	hún	混蛋、混球（口语）	-	-	正式义 / 口语骂人称谓（通 “浑”）
豁	huō	豁口、豁出去、豁开	huò	豁达、豁免、豁然	-	-	缺口舍弃 / 开阔免除突然
稽	jī	稽查、稽核、稽留	qǐ	稽首、稽拜（古礼）	-	-	检查停留 / 古代跪拜礼
几	jī	几乎、茶几、几案	jǐ	几个、几时、几许	-	-	将近小桌子 / 数量疑问若干
济	jì	救济、经济、接济	jǐ	济南、济宁、济水	-	-	帮助救助 / 地名专用
系	xì	系统、关系、联系	jì	系鞋带、系扣子、系绳子	-	-	关联体系 / 打结捆绑（动作）
纪	jì	纪念、纪律、世纪	jǐ	姓纪	-	-	一般义 / 姓氏专用
夹	jiā	夹子、夹杂、夹住	jiá	夹袄、夹裤、夹层	gā	夹肢窝、夹生饭	一般动作 / 双层衣物 / 方言口语
假	jiǎ	真假、假话、假装	jià	假期、放假、暑假	-	-	不真实装作 / 休息时间
间	jiān	中间、房间、间隔	jiàn	间断、间接、离间	-	-	方位空间 / 空隙断开挑拨
槛	jiàn	门槛、槛栏、槛车	kǎn	门槛（口语）	-	-	正式义 / 口语（门坎）
降	jiàng	降落、下降、降温	xiáng	投降、降服、降伏	-	-	下落降低 / 屈服归顺
教	jiào	教学、教室、教育	jiāo	教书、教写字、教画画	-	-	教育教导 / 传授（动作）
角	jiǎo	角落、牛角、角度	jué	角色、角逐、角斗	-	-	物体边角 / 戏剧身份竞争
觉	jué	感觉、觉悟、觉醒	jiào	睡觉、午觉、一觉	-	-	感知醒悟 / 睡眠（名词）
结	jié	结合、结果、打结	jiē	结果、结实、结瓜	-	-	结合打结 / 长出果实牢固（口语）
解	jiě	解开、解释、解决	jiè	解送、解差、押解	xiè	解数、姓解、解池	打开说明 / 押送 / 本领姓氏地名
禁	jīn	禁受、不禁、禁得起	jìn	禁止、禁令、监禁	-	-	承受忍受 / 不许限制
尽	jǐn	尽管、尽快、尽量	jìn	尽力、尽头、完全	-	-	姑且尽量（副词）/ 用尽全部（动词）
劲	jìn	力气、劲头、干劲	jìng	劲敌、劲旅、强劲	-	-	口语力气 / 书面强劲
龟	guī	乌龟、海龟、龟甲	jūn	龟裂、龟纹	qiū	龟兹（古地名 / 民族）	一般乌龟 / 裂纹 / 古西域专用
卷	juǎn	卷起、卷发、卷纸	juàn	试卷、卷宗、书卷	-	-	弯曲卷起（动作）/ 文书试卷（名词）
倔	jué	倔强、倔犟（书面）	juè	倔脾气、倔老头（口语）	-	-	书面刚强 / 口语脾气犟
菌	jūn	细菌、真菌、菌种	jùn	菌子、蘑菇菌（方言）	-	-	微生物 / 方言菌类
看	kān	看守、看门、看护	kàn	看见、看书、观看	-	-	守护看管 / 观察看见
壳	ké	贝壳、蛋壳、外壳（口语）	qiào	地壳、甲壳、躯壳（书面）	-	-	口语具体外壳 / 书面坚硬外皮
可	kě	可以、可能、可爱	kè	可汗、可敦（古少数民族）	-	-	一般义 / 古少数民族君主 / 王后
空	kōng	空气、天空、空洞	kòng	空地、空闲、空格	-	-	空间虚空 / 空余空隙
腊	là	腊月、腊肉、腊八	xī	腊梅（统读 là，古通 “蜡”）	-	-	教材统读为 là，古通假字
乐	lè	快乐、欢乐、乐意	yuè	音乐、乐器、乐曲	-	-	心情快乐 / 音律音乐
勒	lè	勒令、勒索、勒石	lēi	勒紧、勒住、勒腰带	-	-	书面强制 / 口语捆紧
累	lěi	积累、累计、连累	lèi	劳累、疲累、累人	léi	累赘、累累、累卵	积聚牵连 / 疲倦劳累 / 多余堆叠
棱	léng	棱角、棱柱、棱面	lēng	棱棱（口语，冰冷）	líng	穆棱（地名）	几何义 / 口语冰冷 / 地名专用
俩	liǎ	咱俩、他俩、俩人	liǎng	伎俩	-	-	口语两个 / 书面手段花招
量	liáng	测量、量杯、量体温	liàng	数量、力量、容量	liang	掂量、打量（口语）	丈量计量 / 数量分量 / 口语估量
撩	liāo	撩起、撩水、撩帘子	liáo	撩拨、撩逗、撩人	-	-	掀起动作 / 挑逗招惹
燎	liáo	燎原、燎荒、烈火燎原	liǎo	燎泡、燎手、燎着了	-	-	大面积燃烧 / 局部烧烫伤
淋	lín	淋雨、淋湿、淋浴	lìn	淋病、淋巴、淋漓尽致	-	-	沾水浇淋 / 医学专用、尽情
令	lìng	命令、口令、县令	líng	令狐（姓氏）、令郎	lǐng	一令纸（量词）	一般义 / 姓氏谦称 / 纸张量词（500 张）
溜	liū	溜冰、溜走、溜边	liù	一溜烟、水溜、瓦溜	-	-	滑行悄悄走 / 一串水流凹槽
馏	liú	蒸馏、馏分（化学）	liù	馏馒头、馏米饭（口语）	-	-	化学 / 口语加热剩食
笼	lóng	笼子、鸟笼、蒸笼	lǒng	笼罩、笼络、笼统	-	-	器具名词 / 遮盖概括（动词）
露	lù	露水、露珠、露天	lòu	露脸、露马脚、露馅	-	-	自然现象书面 / 显露（口语无意）
捋	luō	捋袖子、捋虎须	lǚ	捋胡子、捋头发	-	-	快速掀起 / 缓慢梳理
绿	lǜ	绿色、绿化、碧绿	lù	绿林、绿营、绿林好汉	-	-	一般颜色 / 古代地名军队
络	luò	网络、脉络、联络	lào	络子、络纱（口语）	-	-	正式义 / 口语线结绕线
落	luò	降落、落叶、落后	là	落下、落东西、落枕	lào	落枕、落炕、落色	正式义 / 遗失（口语）/ 身体不适 / 掉色
麻	má	麻木、麻烦、麻将	mā	麻刀、麻团（口语）	-	-	一般义 / 口语建筑 / 食物
埋	mái	埋伏、埋葬、埋没	mán	埋怨	-	-	隐藏掩埋 / 唯一特殊搭配（抱怨）
蔓	màn	蔓延、蔓草、蔓延	wàn	瓜蔓、藤蔓、豆蔓	mán	蔓菁（植物，方言）	延伸蔓延 / 植物茎 / 方言植物名
没	méi	没有、没事、没趣	mò	淹没、没落、埋没	-	-	不存在（副词）/ 沉没消失（动词）
闷	mēn	闷热、闷头、闷罐	mèn	郁闷、烦闷、闷雷	-	-	气压低不透气 / 心情不舒低沉
蒙	méng	启蒙、蒙蔽、蒙昧	mēng	蒙骗、蒙人、蒙混	měng	蒙古、蒙古族、蒙文	启发遮盖 / 欺骗糊弄 / 民族地名
眯	mī	眯眼、眯缝、笑眯眯	mí	眯着了、眯一觉（睡觉）	-	-	眼微闭 / 小睡（口语）
靡	mí	靡费、奢靡、靡丽	mǐ	萎靡、所向披靡、靡然	-	-	浪费华丽 / 消沉倒下
秘	mì	秘密、秘诀、神秘	bì	秘鲁	-	-	一般义 / 南美洲国家名专用
泌	mì	分泌、泌尿、腺体分泌	bì	泌阳（地名）	-	-	生理义 / 河南地名专用
模	mó	模范、模型、模仿	mú	模样、模具、模子	-	-	榜样仿效 / 形状器具（口语）
摩	mó	摩擦、摩天、摩托	mā	摩平、摩挲（口语）	-	-	正式义 / 口语抹平抚摸
磨	mó	磨刀、磨练、磨合	mò	石磨、磨坊、磨盘	-	-	摩擦锻炼 / 粉碎工具场所
抹	mǒ	涂抹、抹黑、抹掉	mò	抹墙、抹石灰、抹泥	mā	抹布、抹桌子、抹脸	涂擦 / 砌墙 / 擦除（口语工具）
哪	nǎ	哪里、哪个、哪样	něi	哪个、哪年（口语）	na	天哪、哪（轻声）	疑问 / 口语疑问 / 句末语气词
			nà	哪咤（专用）	-	-	神话人名专用
那	nà	那里、那个、那样	nǎ	那（口语，通 “哪”）	nèi	那个、那些（口语）	指示 / 口语疑问 / 口语指示（通 “内”）
难	nán	困难、难题、难过	nàn	灾难、难民、遇难	-	-	不容易艰难 / 灾祸患难
囊	náng	口袋、囊肿、囊括	nǎng	囊揣、囊膪（口语）	-	-	正式义 / 口语软弱猪内脏
呢	ne	呢子、毛呢、呢料	ni	你呢、好呢（轻声）	-	-	织物 / 句末语气词
宁	níng	安宁、宁静、宁和	nìng	宁可、宁愿、宁肯	-	-	平静安定 / 情愿宁可（副词）
拧	nǐng	拧紧、拧螺丝、拧转	níng	拧毛巾、拧干、拧水	nìng	拧脾气、拧着来（口语）	扭转 / 绞干 / 脾气犟对着干
弄	nòng	玩弄、弄巧成拙	lòng	弄堂、里弄（吴语）	-	-	一般义 / 吴语地名（小巷）专用
呕	ǒu	呕吐、呕血、呕心	ōu	讴歌、呕哑（古）	-	-	生理动作 / 古汉语歌唱声音
迫	pò	逼迫、强迫、迫切	pǎi	迫击炮	-	-	压力强制 / 军事武器名专用
胖	pàng	胖子、肥胖、胖乎乎	pán	心宽体胖、胖胀（古）	-	-	现代肥 / 古汉语舒适膨胀
刨	páo	刨土、刨根、刨坑	bào	刨子、刨床、刨刀	-	-	挖掘动作 / 刨削工具机械
炮	pào	大炮、炮弹、炮兵	páo	炮制、炮炼、炮炙（中药）	bāo	炮干、炮肉（口语）	武器 / 中药制作 / 口语烘烤
喷	pēn	喷水、喷泉、喷射	pèn	喷香、喷鼻、喷喷香	-	-	喷射动作 / 香气浓郁（口语）
片	piàn	片面、片段、卡片	piān	相片、影片、唱片（口语）	-	-	正式义 / 口语音像照片
漂	piāo	漂浮、漂流、漂泊	piǎo	漂白、漂洗、漂染	piào	漂亮、漂漂亮亮	浮动漂流 / 洗涤染色 / 好看美观
缥	piāo	缥缈、缥渺	piǎo	缥白、缥缃（古）	-	-	虚幻 / 古汉语颜色书籍
撇	piē	撇开、撇弃、一瞥	piě	撇嘴、撇捺、撇号	-	-	丢开看一眼 / 笔画嘴形符号
仆	pú	仆人、仆役、公仆	pū	前仆后继、仆倒	-	-	佣人 / 倒下向前扑
铺	pū	铺床、铺路、铺展	pù	店铺、当铺、铺面	-	-	展开铺设（动作）/ 商店场所（名词）
朴	pǔ	朴素、朴实、朴质	piáo	姓朴	pō	朴刀（古兵器）	一般义 / 姓氏 / 古兵器名
			pò	厚朴（中药）	-	-	中药专用
瀑	pù	瀑布、飞瀑、瀑流	bào	瀑河（地名）	-	-	自然景观 / 河北地名专用
栖	qī	栖息、栖身、栖居	xī	栖栖（文言，忙碌）	-	-	停留居住 / 古汉语忙碌不安
蹊	qī	蹊跷	xī	蹊径、桃李不言下自成蹊	-	-	奇怪（固定搭配）/ 小路（书面）
奇	qí	奇怪、奇妙、奇迹	jī	奇数、奇偶、奇零	-	-	特殊奇妙 / 单数（数学）
骑	qí	骑马、骑车、骑兵	jì	坐骑、一骑红尘（古）	-	-	现代动作 / 古汉语马匹 / 一人一马
契	qì	契约、契合、契机	qiè	契阔、契友（文言）	-	-	正式义 / 古汉语交情离别
纤	xiān	纤细、纤维、纤弱	qiàn	纤夫、纤绳、纤道	-	-	细微小 / 拉船绳子 / 人
悄	qiāo	悄悄、静悄悄、悄声	qiǎo	悄然、悄寂、悄怆	-	-	口语轻声 / 书面寂静忧伤
翘	qiáo	翘首、翘望、翘棱	qiào	翘起、翘尾巴、翘脚	-	-	抬起头 / 抬肢体翘起
切	qiē	切开、切割、切菜	qiè	亲切、确切、一切	-	-	用刀分割 / 贴近肯定全部
亲	qīn	亲人、亲切、亲自	qìng	亲家、亲家公、亲家母	-	-	一般亲属亲近 / 联姻亲属（固定）
曲	qū	弯曲、曲折、曲线	qǔ	歌曲、戏曲、曲调	-	-	不直弯曲 / 音乐戏曲
雀	què	麻雀、雀跃、孔雀	qiǎo	家雀儿、雀盲眼（口语）	qiāo	雀子、雀斑（方言）	书面鸟类 / 口语鸟类 / 方言斑点
阙	quē	阙如、阙失、阙漏	què	宫阙、城阙、阙门	-	-	缺少空缺 / 古代宫殿门楼
任	rèn	任务、任何、担任	rén	姓任、任城	-	-	一般义 / 姓氏地名
撒	sā	撒手、撒欢、撒谎	sǎ	撒种、撒水、撒播	-	-	放开说谎 / 散布播种
塞	sāi	塞子、塞住、塞牙缝	sè	堵塞、阻塞、塞责	sài	边塞、要塞、塞北	堵住（具体）/ 阻碍（抽象）/ 边界关口
散	sàn	分散、散步、散开	sǎn	散文、松散、散架	-	-	分开散开 / 不紧凑闲散
丧	sāng	丧事、丧礼、丧钟	sàng	丧失、丧命、丧志	-	-	丧葬相关 / 失去丢掉
扫	sǎo	打扫、扫地、清扫	sào	扫帚、扫把、扫箒	-	-	清扫动作 / 清扫工具（名词）
色	sè	颜色、色彩、景色	shǎi	掉色、色儿、花色（口语）	-	-	正式义 / 口语颜色掉色
厦	shà	大厦、广厦、高楼大厦	xià	厦门、厦港	-	-	高大建筑 / 福建地名专用
煞	shā	煞车、煞尾、煞风景	shà	煞气、煞星、凶煞	-	-	止住破坏 / 凶神邪气（书面）
杉	shān	杉木、杉树、杉篙	shā	红杉、冷杉、杉杉（口语）	-	-	书面树木 / 口语外来树种
扇	shàn	扇子、电扇、扇面	shān	扇风、扇动、扇耳光	-	-	扇子（名词）/ 扇风（动作）
上	shàng	上面、上学、上升	shang	街上、墙上（轻声）	-	-	动词名词 / 方位轻声（固定搭配）
稍	shāo	稍微、稍稍、稍等	shào	稍息	-	-	略微（副词）/ 军事口令专用
舍	shě	舍弃、舍得、舍身	shè	宿舍、校舍、寒舍	-	-	放弃舍得 / 房屋住处
什	shén	什么、什吗（口语）	shí	什锦、什物、什邡	-	-	疑问词 / 多种 / 四川地名
甚	shèn	甚至、甚佳、甚么（古）	shén	甚么（通 “什”，口语）	-	-	正式义 / 古口语疑问（通 “什”）
省	shěng	节省、省份、省略	xǐng	反省、省亲、省悟	-	-	节约行政区划 / 检查探亲醒悟
识	shí	认识、知识、识别	zhì	标识、款识、博闻强识	-	-	了解知道 / 记号印记记忆（古）
似	sì	相似、似乎、好似	shì	似的	-	-	像如同 / 结构助词（固定搭配）
氏	shì	姓氏、氏族、氏名	zhī	阏氏（古匈奴王后）	-	-	一般义 / 古少数民族称谓专用
数	shǔ	数数、数落、数九	shù	数学、数量、数字	shuò	数见不鲜、数度	计算责备 / 数目数学 / 屡次（古汉语）
刷	shuā	刷牙、刷子、刷新	shuà	刷白、刷地（口语）	-	-	一般动作 / 口语变白拟声
说	shuō	说话、说明、说法	shuì	游说、说客、说降	yuè	不亦说乎（古）	表达讲述 / 劝说说服 / 古通 “悦”（高兴）
思	sī	思考、思想、思念	sāi	于思（古，胡须多）	-	-	一般义 / 古汉语胡须
宿	sù	住宿、宿舍、宿愿	xiǔ	一宿、两宿、半宿	xiù	星宿、二十八宿、宿命	居住心愿 / 夜晚（量词）/ 星辰（天文）
遂	suì	遂心、遂愿、顺遂	suí	半身不遂、遂遂（口语）	-	-	顺利如愿 / 身体偏瘫（固定搭配）
缩	suō	缩小、收缩、退缩	sù	缩砂密（中药，砂仁）	-	-	一般义 / 中药专用
踏	tà	踏步、踏青、践踏	tā	踏实、踏实实	-	-	书面动作 / 口语安稳（固定搭配）
苔	tái	青苔、苔藓、苔原	tāi	舌苔、苔垢	-	-	植物 / 人体口腔附着物
汤	tāng	汤水、鸡汤、汤药	shāng	汤汤、浩浩汤汤	-	-	日常饮品 / 文言水流大（固定搭配）
趟	tàng	一趟、几趟、赶趟	tāng	趟水、趟河、趟过	-	-	量词 / 动作（从水中走过）
挑	tiāo	挑水、挑选、挑拣	tiǎo	挑战、挑拨、挑灯	-	-	担 / 选 / 挑拨 / 举起（固定搭配）
帖	tiē	粘贴、贴心、帖服	tiě	请帖、字帖、帖士	tiè	碑帖、法帖、临帖	粘附 / 文书 / 书法临摹样本
通	tōng	通过、通知、通畅	tòng	一通鼓、一通骂	-	-	顺畅 / 量词（动作 / 声响）
同	tóng	同学、相同、共同	tòng	胡同、衚衕	-	-	一般义 / 北方方言小巷（固定搭配）
吐	tǔ	吐痰、吐露、吐字	tù	呕吐、吐血、吐泻	-	-	主动排出 / 反胃被动排出
褪	tuì	褪色、褪去、褪壳	tùn	褪手、褪袖子、褪下	-	-	书面脱落 / 口语脱下衣物
拓	tuò	开拓、拓展、拓荒	tà	拓片、拓印、拓碑	-	-	开辟 / 摹印碑刻文字
瓦	wǎ	瓦片、瓦房、瓦罐	wà	瓦刀、瓦工	-	-	建筑材料 / 瓦匠专用工具
为	wéi	行为、成为、作为	wèi	因为、为了、为何	-	-	做 / 充当 / 表目的 / 原因
蔚	wèi	蔚蓝、蔚然、蔚为大观	yù	蔚县、蔚州	-	-	茂盛盛大 / 河北地名专用
