阿拉伯咖啡	alabokafei
宝矿力饮料	baokuangliyinliao
爆两样	baoliangyang
爆螺片	baoluopian
堡马庄园	baomazhuangyuan
爆墨鱼花	baomoyuhua
爆墨鱼卷	baomoyujuan
爆人参鸡片	baorenshenjipian
爆三样	baosanyang
爆三样儿	baosanyanger
爆氽	baotun
宝箱豆腐	baoxiangdoufu
爆腰花	baoyaohua
鲍鱼大枣	baoyudazao
爆鱼丁	baoyuding
鲍鱼肚片汤	baoyudupiantang
鲍鱼菇	baoyugu
鲍鱼罐头	baoyuguantou
鲍鱼丝瓜粥	baoyusiguazhou
保云苏	baoyunsu
鲍汁百龄菇	baozhibailinggu
爆竹鸡	baozhuji
煲猪肉汤	baozhuroutang
煲仔鱼丸	baoziyuwan|baozaiyuwan
倍半碳酸钠	beibantansuanna
贝德利	beideli
北方嘉宾	beifangjiabin
北京美晶	beijingmeijing
北京米花糖	beijingmihuatang
北京蜜饯果脯	beijingmijianguofu
北京市	beijingshi
被膜剂	beimoji
贝母沙参蒸雪梨	beimushashenzhengxueli
北芪茶酥	beiqichasu
北芪瘦肉	beiqishourou
贝丝扒菜胆	beisipacaidan|beisibacaidan
北杏参地老鸭汤	beixingcandilaoyatang
北杏猪肺汤	beixingzhufeitang
苯基苯酚	benjibenfen
苯基苯酚钠	benjibenfenna
苯甲醇	benjiachun
苯甲醛	benjiaquan
苯甲酸	benjiasuan
苯甲酸苄酯	benjiasuanbianzhi
苯甲酸钠	benjiasuanna
苯乙醇	benyichun
苯乙醛	benyiquan
苯乙酸	benyisuan
苯乙酸甲酯	benyisuanjiazhi
碧波田鸡	bibotianji
避风塘金蒜炒蟹	bifengtangjinsuanchaoxie
避风塘芋夹	bifengtangyujia
碧海银沙	bihaiyinsha
必乐	bile
比利时啤酒	bilishipijiu
碧螺春	biluochun
碧绿虾仁	bilvxiaren
比目鱼	bimuyu
荸荠萝卜粥	biqiluobozhou
荸荠山楂粥	biqishanzhazhou
比萨	bisa
扁豆薏米炖鸡脚	biandouyimidunjijiao
蝙蝠包	bianfubao
蝙蝠莲藕	bianfulianou
边家辣肉丝罐头	bianjialarousiguantou
煸馅水饺	bianxianshuijiao
丙氨酸	bingansuan
冰醋酸	bingcusuan
冰冻牛油蛋糕	bingdongniuyoudangao
丙二醇	bingerchun
丙二醇脂肪酸酯	bingerchunzhifangsuanzhi
冰粉	bingfen
冰峰	bingfeng
冰花士干圈	binghuashiganquan
冰花雪莲	binghuaxuelian
冰激凌	bingjiling
冰激凌蛋糕	bingjilingdangao
冰结构蛋白	bingjiegoudanbai
冰卡布奇诺	bingkabuqinuo
槟榔子	binglangzi
冰蓼花	bingliaohua
冰拿铁	bingnatie
冰拿铁咖啡	bingnatiekafei
冰皮蛋糕	bingpidangao
冰皮盐水鸡	bingpiyanshuiji
冰皮月饼	bingpiyuebing
冰片糖	bingpiantang
冰淇淋蛋糕	bingqilindangao
冰淇淋可可卷	bingqilinkekejuan
冰沙	bingsha
丙酸苄酯	bingsuanbianzhi
丙酸钙	bingsuangai
丙酸钠	bingsuanna
丙酸乙酯	bingsuanyizhi
冰糖百果饼	bingtangbaiguobing
冰糖哈士蟆	bingtanghashima
冰糖葫芦	bingtanghulu
冰糖莲子	bingtanglianzi
冰糖麻雀	bingtangmaque
冰糖乳鸽燕窝羹	bingtangrugeyanwogeng
冰糖湘莲	bingtangxianglian
冰糖燕窝	bingtangyanwo
冰糖银耳羹	bingtangyinergeng
冰糖蒸鸡胆	bingtangzhengjidan
冰鲜什果西米捞	bingxianshenguoximilao
冰镇番茄汁	bingzhenfanqiezhi
冰镇胡萝卜汁	bingzhenhuluobozhi
冰镇芦笋汁	bingzhenlusunzhi
冰之恋	bingzhilian
钵钵鸡	boboji
波波糖	bobotang
菠菜大枣粥	bocaidazaozhou
菠菜蛋蓉	bocaidanrong
菠菜鸡煲	bocaijibao
菠菜鸡蛋汤	bocaijidantang
菠菜煎饼	bocaijianbing
菠菜金钩豆腐汤	bocaijingoudoufutang
菠菜丸子汤	bocaiwanzitang
菠菜鸭肝汤	bocaiyagantang
伯丁罕	bodinghan
伯顿	bodun
薄荷饼糖	bohebingtang
薄荷糕	bohegao
薄荷蔬菜沙拉	boheshucaishala
薄荷水蜜糕	boheshuimigao
薄荷素油	bohesuyou
薄荷薰衣草茶	bohexunyicaocha
薄荷叶	boheye
薄荷叶松香	boheyesongxiang
菠饺鱿鱼方	bojiaoyouyufang
菠饺鱼肚	bojiaoyudu
薄筋光煎稀汪酸辣香	bojinguangjianxiwangsuanlaxiang
伯爵茶	bojuecha
波莱城堡	bolaichengbao
勃郎宁块	bolangningkuai
玻璃蛋糕	bolidangao
玻璃明虾	bolimingxia
玻璃酥鸡	bolisuji
玻璃鲜墨	bolixianmo
玻璃鱿鱼	boliyouyu
菠萝包	boluobao
菠萝罐头	boluoguantou
菠萝鳜鱼	boluoguiyu
菠萝鸡丁	boluojiding
菠萝龙眼鱼	boluolongyanyu
菠萝蜜	boluomi
菠萝三文鱼	boluosanwenyu
菠萝圆片	boluoyuanpian
博普	bopu
波士顿派	boshidunpai
薄玉茶	boyucha
不饱和脂肪酸单甘脂	bubaohezhifangsuandanganzhi
布丁蛋糕	budingdangao
补骨饼干	bugubinggan
布里芝士	bulizhishi
不溶性聚乙烯聚吡咯烷酮	burongxingjuyixijubiluowantong
补肾养肝茶	bushenyanggancha
补血酥糖	buxuesutang
补血羊肉乌发汤	buxueyangrouwufatang
补血养生茶	buxueyangshengcha
彩带鱼头	caidaiyutou
菜豆腐节节	caidoufujiejie
菜豆腐稀饭	caidoufuxifan
菜豆花	caidouhua
菜干扣肉	caigankourou
菜干鸭肾蜜枣汤	caiganyashenmizaotang
菜合	caihe
彩虹冰咖啡	caihongbingkafei
彩虹水晶球	caihongshuijingqiu
彩椒炒香肠	caijiaochaoxiangchang
菜蟒	caimang
彩色肉丝	caiserousi
蔡氏	caishi
彩蔬烩鸡油饭	caishuhuijiyoufan
菜心炒猪肝	caixinchaozhugan
菜心烧肉鱼干	caixinshaorouyugan
菜远牛肉	caiyuanniurou
采芝斋糖果	caizhizhaitangguo
菜籽油	caiziyou
餐包	canbao
蚕豆炒虾仁	candouchaoxiaren
蚕豆粉	candoufen
蚕豆罐头	candouguantou
参果炖瘦肉	canguodunshourou
参花茶	canhuacha
参苓粉饼干	canlingfenbinggan
参麦团鱼	shenmaituanyu|canmaituanyu
参麦雪梨瘦肉汤	shenmaixuelishouroutang|canmaixuelishouroutang
蚕蛹罐头	canyongguantou
参蒸鳝段	canzhengshanduan
藏宝	cangbao
藏花饼	canghuabing
藏花素	canghuasu
藏男红	cangnanhong
藏心鱼圆	cangxinyuyuan
草菇	caogu
草菇烧笋	caogushaosun
草莓达瓦	caomeidawa
草莓果泥	caomeiguoni
草莓夹心面包	caomeijiaxinmianbao
草莓酱	caomeijiang
草莓龙舌兰	caomeilongshelan
草莓绿豆粥	caomeilvdouzhou
草莓摩司	caomeimosi
草莓慕斯	caomeimusi
草莓奶油蛋糕	caomeinaiyoudangao
草莓水果塔	caomeishuiguota
草莓小点心	caomeixiaodianxin
草莓优酪乳	caomeiyoulaoru
草莓芝士蛋糕	caomeizhishidangao
草香园	caoxiangyuan
槽子糕	caozigao
茶吡咯	chabiluo
茶饼	chabing
茶多酚	chaduofen
茶黄色素	chahuangsesu
叉烤鳜鱼	chakaoguiyu
茶绿色素	chalvsesu
叉烧炒面	chashaochaomian
叉烧甘露卷蛋糕	chashaoganlujuandangao
叉烧鸡	chashaoji
叉烧酥	chashaosu
叉烧香酥	chashaoxiangsu
叉烧鸭	chashaoya
叉烧鸭子	chashaoyazi
叉烧鱼	chashaoyu
叉烧猪肉	chashaozhurou
茶食刀切	chashidaoqie
茶汤	chatang
茶香骨	chaxianggu
茶香马拉糕	chaxiangmalagao
茶熏八爪鱼	chaxunbazhuayu
茶叶鲫鱼汤	chayejiyutang
茶叶熏鸡	chayexunji
茶叶粥	chayezhou
柴把鱼	chaibayu
拆冻鲫鱼	chaidongjiyu
拆烩大鱼头	chaihuidayutou
拆烩鲢鱼头	chaihuilianyutou
蟾蜍水蛇粥	chanchushuishezhou
长安大麯	changandaqu
长安柿酒	changanshijiu
长城	changcheng
长城干白葡萄酒	changchengganbaiputaojiu
长岛海鲜罐头	changdaohaixianguantou
常德银片糕	changdeyinpiangao
嫦娥奔月饼	changebenyuebing
昌化鸡血石	changhuajixueshi
昌化山核桃	changhuashanhetao
长江月饼	changjiangyuebing
长崎蜂蜜蛋糕	changqifengmidangao
长寿薄脆	changshoubaocui
长寿糕	changshougao
昌顺干货	changshunganhuo
长武锅盔	changwuguokui
长圆糕	changyuangao
长治山楂饼	changzhishanzhabing
常州大麻糕	changzhoudamagao
炒白鸽	chaobaige
炒白虾	chaobaixia
朝包子	chaobaozi
炒碧桃里脊	chaobitaoliji
焯炒腰花	chaochaoyaohua
炒葱椒鸡	chaocongjiaoji
炒大明虾	chaodamingxia
炒豆腐脑	chaodoufunao
炒豆腐松	chaodoufusong
炒二冬	chaoerdong
炒饵块	chaoerkuai
炒饵丝	chaoersi
炒番茄鸡片	chaofanqiejipian
炒凤尾虾排	chaofengweixiapai
炒芙蓉蟹	chaofurongxie
炒肝尖儿	chaoganjianer
炒肝片	chaoganpian
潮糕	chaogao
炒疙瘩	chaogeda
炒桂花翅	chaoguihuachi
炒海蜇	chaohaizhe
炒禾花雀	chaohehuaque
炒胡萝卜酱	chaohuluobojiang
炒黄瓜酱	chaohuangguajiang
炒鸡米	chaojimi
炒鸡什件	chaojishijian
炒鸡丝	chaojisi
炒豇豆	chaojiangdou
炒韭菜青虾	chaojiucaiqingxia
炒里脊丝	chaolijisi
炒凉粉	chaoliangfen
炒萝卜	chaoluobo
炒麦穗花鱿	chaomaisuihuayou
炒米	chaomi
炒米粉	chaomifen
炒米线	chaomixian
炒面	chaomian
炒面线	chaomianxian
炒绵羊丝	chaomianyangsi
炒面鱼	chaomianyu
炒茄丝	chaoqiesi
炒肉片儿	chaoroupianer
炒肉丝	chaorousi
超山梅子	chaoshanmeizi
炒山药泥	chaoshanyaoni
潮式老婆饼	chaoshilaopobing
炒四宝	chaosibao
炒丝瓜	chaosigua
炒素腰花	chaosuyaohua
炒蹄筋儿	chaotijiner
朝天锅	chaotianguo
炒豌豆	chaowandou
炒豌豆夹	chaowandoujia
炒豌豆酱	chaowandoujiang
炒西兰花	chaoxilanhua
炒西施舌	chaoxishishe
炒虾丝	chaoxiasi
朝鲜蓟亚之竹心蔬菜罐头	chaoxianjiyazhizhuxinshucaiguantou
炒鲜莴笋	chaoxianwosun
炒蟹肉	chaoxierou
炒鸭肠	chaoyachang
炒羊肚丝	chaoyangdusi
炒腰脑	chaoyaonao
超益	chaoyi
炒玉米	chaoyumi
炒榛子酱	chaozhenzijiang
潮州肉冻	chaozhouroudong
潮州烧雁鹅	chaozhoushaoyane
车厘子	chelizi
车轮酥饼	chelunsubing
扯面	chemian
扯麺	chemian
车前草茶	cheqiancaocha
车前草蔗汁粥	cheqiancaozhezhizhou
车前子茶	cheqianzicha
车前子红枣田螺汤	cheqianzihongzaotianluotang
车前子油焖虾	cheqianziyoumenxia
陈醋焖咸蛋	chencumenxiandan
陈皮爆河虾	chenpibaohexia
陈皮车前减肥茶	chenpicheqianjianfeicha
陈皮红枣茶	chenpihongzaocha
陈皮牛肉	chenpiniurou
衬衫蛋糕	chenshandangao
承德名胜蛋糕	chengdemingshengdangao
成都蛋汤	chengdudantang
成都泡椒墨鱼仔	chengdupaojiaomoyuzai
成都子鸡	chengduziji
橙花排骨	chenghuapaigu
城隍庙五香豆	chenghuangmiaowuxiangdou
橙酒汁	chengjiuzhi
蛏溜奇	chengliuqi
呈味核苷酸二钠	chengweihegansuanerna
橙味核桃蛋糕	chengweihetaodangao
赤豆补脾粥	chidoubupizhou
赤豆花生炖鲤鱼	chidouhuashengdunliyu
豉椒炒牛肉	chijiaochaoniurou
豉椒炒鱼干	chijiaochaoyugan
豉椒带子豆腐	chijiaodaizidoufu
豉椒墨鱼球	chijiaomoyuqiu
豉椒蒸腊肉	chijiaozhenglarou
赤鳞鱼	chilinyu
池塘莲花	chitanglianhua
赤藓红	chixianhong
赤藓红铝色淀	chixianhonglvsedian
赤藓糖醇	chixiantangchun
赤藻糖醇	chizaotangchun
豉汁凉瓜炆蟹	chizhiliangguawenxie
豉汁蟠龙鳝	chizhipanlongshan
豉汁鱼云	chizhiyuyun
虫草鹌鹑	chongcaoanchun
虫草八卦汤	chongcaobaguatang
虫草杜仲炖海虾	chongcaoduzhongdunhaixia
虫草炖鸡	chongcaodunji
虫草金钱龟精	chongcaojinqianguijing
虫草汽锅鸡	chongcaoqiguoji
虫草全鸭	chongcaoquanya
虫草鸭舌	chongcaoyashe
虫茶	chongcha
虫胶	chongjiao
虫胶红	chongjiaohong
重庆糖衣炮弹	chongqingtangyipaodan
重庆芝麻片	chongqingzhimapian
重阳糕	chongyanggao
重阳花糕	chongyanghuagao
臭鳜鱼	chouguiyu
初次见面	chucijianmian
出口马蹄	chukoumati
川贝炖梨	chuanbeidunli
川贝炖鹧鸪	chuanbeidunzhegu
川贝母海蜇瘦肉汤	chuanbeimuhaizheshouroutang
川贝酿梨	chuanbeiniangli
川贝柠檬李	chuanbeiningmengli
川贝雪梨猪肺汤	chuanbeixuelizhufeitang
川菜回锅肉	chuancaihuiguorou
串串香	chuanchuanxiang
川冬菜炒鲜蚕豆	chuandongcaichaoxiancandou
川断	chuanduan
川红茶	chuanhongcha
串煎馄饨	chuanjianhuntun
川椒龙凤球	chuanjiaolongfengqiu
川辣黄瓜	chuanlahuanggua
串烧海鲜	chuanshaohaixian
传世彝方	chuanshiyifang
川味豆卷	chuanweidoujuan
川味饺子	chuanweijiaozi
川味牛肉	chuanweiniurou
川味糯米饭	chuanweinuomifan
川味水煮肉片	chuanweishuizhuroupian
川西肉豆腐	chuanxiroudoufu
川芎茶	chuanxiongcha
川鱼头火锅	chuanyutouhuoguo
创意酸奶水果沙拉	chuangyisuannaishuiguoshala
捶烩鸡片	chuihuijipian
捶鸡	chuiji
炊莲花鸡	chuilianhuaji
炊米麸肉	chuimifurou
炊麒麟鱼	chuiqilinyu
炊石榴鸡	chuishiliuji
淳安猕猴桃	chunanmihoutao
春饼	chunbing
莼菜	chuncai
莼菜黄鱼羹	chuncaihuangyugeng
春蚕吐丝	chuncantusi
春风减肥茶	chunfengjianfeicha
纯净水	chunjingshui
春卷	chunjuan
春蕊	chunrui
春笋白拌鸡	chunsunbaibanji
春笋炒步鱼	chunsunchaobuyu
春笋豌豆	chunsunwandou
椿芽焖蛋	chunyamendan
刺梨夹心饼干	cilijiaxinbinggan
刺菱角	cilingjiao
刺玫瑰	cimeigui
刺猬包	ciweibao
刺云实胶	ciyunshijiao
葱白鸡蛋汤	congbaijidantang
葱包桧	congbaogui
葱爆肉丝	congbaorousi
葱爆兔肉	congbaoturou
葱爆羊肉	congbaoyangrou
葱爆羊肉丁	congbaoyangrouding
葱饼	congbing
葱豉豆腐汤	congchidoufutang
葱段海参	congduanhaishen|congduanhaican
葱炖猪蹄	congdunzhuti
葱花炒蛋	conghuachaodan
葱花缸炉	conghuaganglu
葱辣鱼	conglayu
葱辣鱼脯	conglayupu
葱辣鱼条	conglayutiao
聪明银杏茶	congmingyinxingcha
苁蓉羊肉羹	congrongyangrougeng
葱烧海参	congshaohaishen
葱油饼	congyoubing
葱油蛋糕	congyoudangao
葱油发面饼	congyoufamianbing
葱油核桃鱼卷	congyouhetaoyujuan
葱油黄鱼	congyouhuangyu
葱油鸡	congyouji
葱油苦瓜	congyoukugua
葱油酥	congyousu
葱油桃酥	congyoutaosu
葱油蒸鸭	congyouzhengya
醋拌莲藕	cubanlianou
粗花糕	cuhuagao
醋椒桂鱼	cujiaoguiyu
醋椒活鱼	cujiaohuoyu
醋辣白菜梗	culabaicaigeng
醋溜白菜	culiubaicai
醋熘鳜鱼	culiuguiyu
醋溜黄瓜	culiuhuanggua
醋溜藕片	culiuoupian
醋粟	cusu
脆瓜里脊丝	cuigualijisi
翠亨邨	cuihengcun
翠绿玉米	cuilvyumi
脆蜜馃	cuimiguo
脆皮肠	cuipichang
脆皮大肠	cuipidachang
脆皮桂鱼	cuipiguiyu
脆皮锅魁	cuipiguokui
脆皮鸡	cuipiji
脆皮卷	cuipijuan
脆皮马蹄糕	cuipimatigao
脆皮抹茶泡芙	cuipimochapaofu
脆皮乳鸽	cuipiruge
脆皮鲜果球	cuipixianguoqiu
脆皮鲜奶	cuipixiannai
脆皮鱼香牛肉	cuipiyuxiangniurou
脆皮鸳鸯糕	cuipiyuanyanggao
脆皮炸鸡	cuipizhaji
脆皮炸鲜奶	cuipizhaxiannai
翠坪银针茶	cuipingyinzhencha
脆松糖	cuisongtang
脆香羊米	cuixiangyangmi
翠玉豆糕	cuiyudougao
翠云水煮鱼	cuiyunshuizhuyu
脆炸火龙果	cuizhahuolongguo
脆炸网油卷	cuizhawangyoujuan
翠竹粉蒸鮰鱼	cuizhufenzhenghuiyu
翠竹粉蒸鱼	cuizhufenzhengyu
寸金	cunjin
大白菜水饺	dabaicaishuijiao
大白兔奶糖	dabaitunaitang
大边炉	dabianlu
大蛋散	dadansan
大东寒武泉牌	dadonghanwuquanpai
大豆磷脂	dadoulinzhi
打发	dafa
大方糕	dafanggao
大佛白龙井	dafobailongjing
大富豪	dafuhao
大红袍	dahongpao
大红枣露	dahongzaolu
大花蛋糕	dahuadangao
大华酥饼	dahuasubing
大黄消脂绿豆汤	dahuangxiaozhilvdoutang
大茴香醛	dahuixiangquan
大救驾	dajiujia
打老虎	dalaohu
大荔带把肘子	dalidaibazhouzi
大理砂锅鱼	dalishaguoyu
大理石蛋糕	dalishidangao
大理石芝士蛋糕	dalishizhishidangao
大理石芝士条	dalishizhishitiao
大理雪茶	dalixuecha
大理雪梨	dalixueli
大麻球	damaqiu
大麦茶饮料	damaichayinliao
大米蛋糕	damidangao
大面白	damianbai
大盘肚	dapandu
大盘鸡	dapanji
大朴	dapu
大千子鸡	daqianziji
达仁堂	darentang
大肉	darou
大山合牌	dashanhepai
大山牌	dashanpai
大石四季仔	dashisijizai
大树菠萝	dashuboluo
大蒜干贝	dasuanganbei
大蒜鲇鱼	dasuannianyu
大蒜鲶鱼	dasuannianyu
大蹄扒海参	datibahaishen
大团圆	datuanyuan
达瓦	dawa
大卫杜夫	daweidufu
大峡谷	daxiagu
大雪枣	daxuezao
大叶苦茶	dayekucha
大叶乌龙	dayewulong
大叶枣	dayezao
大有水绿豆糕	dayoushuilvdougao
大鱼头豆腐汤	dayutoudoufutang
大枣百合汤	dazaobaihetang
大枣冬菇汤	dazaodonggutang
大枣姜汤	dazaojiangtang
代黄杏	daihuangxing
岱西白洋酥	daixibaiyangsu
岱西黑洋酥	daixiheiyangsu
岱西水葡萄	daixishuiputao
岱西香瓜子	daixixiangguazi
带鱼罐头	daiyuguantou
带子上朝	daizishangchao
蛋白果汁饮料	danbaiguozhiyinliao
