安全技术及工程	anquanjishujigongcheng
粮食油脂及植物蛋白工程	liangshiyouzhijizhiwudanbaigongcheng
林产化学加工工程	linchanhuaxuejiagonggongcheng
临床检验诊断学	linchuangjianyanzhenduanxue
临床兽医学	linchuangshouyixue
临床医学	linchuangyixue
林木遗传育种	linmuyichuanyuzhong
林学	linxue
林业工程	linyegongcheng
流体机械及工程	liutijixiejigongcheng
流体力学	liutilixue
流行病与卫生统计学	liuxingbingyuweishengtongjixue
轮机工程	lunjigongcheng
伦理学	lunlixue
逻辑学	luojixue
旅游管理	lvyouguanli
马克思主义发展史	makesizhuyifazhanshi
马克思主义基本原理	makesizhuyijibenyuanli
马克思主义理论	makesizhuyililun
马克思主义理论与思想政治教育	makesizhuyililunyusixiangzhengzhijiaoyu
马克思主义民族理论与政策	makesizhuyiminzulilunyuzhengce
马克思主义哲学	makesizhuyizhexue
马克思主义中国化研究	makesizhuyizhongguohuayanjiu
麻醉学	mazuixue
美术学	meishuxue
美学	meixue
密码学	mimaxue
免疫学	mianyixue
民俗学含中国民间文学	minsuxuehanzhongguominjianwenxue
民族传统体育学	minzuchuantongtiyuxue
民族学	minzuxue
模式识别与智能系统	moshishibieyuzhinengxitong
木材科学与技术	mucaikexueyujishu
凝聚态物理	ningjutaiwuli
农产品加工及贮藏工程	nongchanpinjiagongjizhucanggongcheng
农林经济管理	nonglinjingjiguanli
农学	nongxue
农药学可授农学理学学位	nongyaoxuekeshounongxuelixuexuewei
农业电气化与自动化	nongyedianqihuayuzidonghua
农业工程	nongyegongcheng
农业经济管理	nongyejingjiguanli
农业昆虫与害虫防治	nongyekunchongyuhaichongfangzhi
农业生物环境与能源工程	nongyeshengwuhuanjingyunengyuangongcheng
农业水土工程	nongyeshuitugongcheng
农业资源利用	nongyeziyuanliyong
欧洲语言文学	ouzhouyuyanwenxue
皮肤病与性病学	pifubingyuxingbingxue
皮革化学与工程	pigehuaxueyugongcheng
气象学	qixiangxue
桥梁与隧道工程	qiaoliangyusuidaogongcheng
情报学	qingbaoxue
轻工技术与工程	qinggongjishuyugongcheng
区域经济学	quyujingjixue
热能工程	renenggongcheng
人机与环境工程	renjiyuhuanjinggongcheng
人口学	renkouxue
人口资源与环境经济学	renkouziyuanyuhuanjingjingjixue
人类学	renleixue
人体解剖与组织胚胎学	rentijiepouyuzuzhipeitaixue
人文地理学	renwendilixue
日语语言文学	riyuyuyanwenxue
森林保护学	senlinbaohuxue
森林工程	senlingongcheng
森林经理学	senlinjinglixue
森林培育	senlinpeiyu
社会保障	shehuibaozhang
社会学	shehuixue
设计艺术学	shejiyishuxue
摄影测量与遥感	sheyingceliangyuyaogan
神经病学	shenjingbingxue
神经生物学	shenjingshengwuxue
生理学	shenglixue
生态学	shengtaixue
生物化工	shengwuhuagong
生物化学与分子生物学	shengwuhuaxueyufenzishengwuxue
生物物理学	shengwuwulixue
生物学	shengwuxue
声学	shengxue
生药学	shengyaoxue
世界经济	shijiejingji
世界史	shijieshi
食品科学	shipinkexue
史学理论及史学史	shixuelilunjishixueshi
石油与天然气工程	shiyouyutianranqigongcheng
市政工程	shizhenggongcheng
兽医学	shouyixue
蔬菜学	shucaixue
数量经济学	shuliangjingjixue
数学	shuxue
水产	shuichan
水产品加工及贮藏工程	shuichanpinjiagongjizhucanggongcheng
水产养殖	shuichanyangzhi
水工结构工程	shuigongjiegougongcheng
水利水电工程	shuilishuidiangongcheng
水力学及河流动力学	shuilixuejiheliudonglixue
水声工程	shuishenggongcheng
水生生物学	shuishengshengwuxue
水土保持与荒漠化防治	shuitubaochiyuhuangmohuafangzhi
水文学及水资源	shuiwenxuejishuiziyuan
思想政治教育	sixiangzhengzhijiaoyu
诉讼法学	susongfaxue
特殊教育学	teshujiaoyuxue
特种经济动物饲养含蚕蜂等	tezhongjingjidongwusiyanghancanfengdeng
体育教育训练学	tiyujiaoyuxunlianxue
体育人文社会学	tiyurenwenshehuixue
天体测量与天体力学	tianticeliangyutiantilixue
天体物理	tiantiwuli
统计学	tongjixue
通信与信息系统	tongxinyuxinxixitong
土地资源管理	tudiziyuanguanli
土壤学	turangxue
图书馆情报与档案管理	tushuguanqingbaoyudanganguanli
外国语言文学	waiguoyuyanwenxue
外国语言学及应用语言学	waiguoyuyanxuejiyingyongyuyanxue
外国哲学	waiguozhexue
外交学	waijiaoxue
微电子学与固体电子学	weidianzixueyugutidianzixue
卫生毒理学	weishengdulixue
微生物学	weishengwuxue
微生物与生化药学	weishengwuyushenghuayaoxue
文艺学	wenyixue
舞蹈学	wudaoxue
无机化学	wujihuaxue
物理电子学	wulidianzixue
物理海洋学	wulihaiyangxue
物理化学含化学物理	wulihuaxuehanhuaxuewuli
物理学	wulixue
武器系统与运用工程	wuqixitongyuyunyonggongcheng
无线电物理	wuxiandianwuli
西班牙语语言文学	xibanyayuyuyanwenxue
细胞生物学	xibaoshengwuxue
西方经济学	xifangjingjixue
戏剧戏曲学	xijuxiquxue
系统分析与集成	xitongfenxiyujicheng
系统工程	xitonggongcheng
系统科学	xitongkexue
系统理论	xitonglilun
宪法学与行政法学	xianfaxueyuxingzhengfaxue
信号与信息处理	xinhaoyuxinxichuli
心理学可授教育学理学学位	xinlixuekeshoujiaoyuxuelixuexuewei
新闻传播学	xinwenchuanboxue
新闻学	xinwenxue
信息与通信工程	xinxiyutongxingongcheng
刑法学	xingfaxue
行政管理	xingzhengguanli
畜牧学	xumuxue
学前教育学	xueqianjiaoyuxue
亚非语言文学	yafeiyuyanwenxue
眼科学	yankexue
岩土工程	yantugongcheng
药剂学	yaojixue
药理学	yaolixue
药物分析学	yaowufenxixue
药物化学	yaowuhuaxue
药学可授医学理学学位	yaoxuekeshouyixuelixuexuewei
冶金工程	yejingongcheng
冶金物理化学	yejinwulihuaxue
野生动植物保护与利用	yeshengdongzhiwubaohuyuliyong
一般力学与力学基础	yibanlixueyulixuejichu
遗传学	yichuanxue
仪器科学与技术	yiqikexueyujishu
艺术学	yishuxue
医学	yixue
印度语言文学	yinduyuyanwenxue
音乐学	yinyuexue
影像医学与核医学	yingxiangyixueyuheyixue
营养与食品卫生学	yingyangyushipinweishengxue
应用化学	yingyonghuaxue
应用经济学	yingyongjingjixue
应用数学	yingyongshuxue
应用心理学	yingyongxinlixue
英语语言文学	yingyuyuyanwenxue
有机化学	youjihuaxue
油气储运工程	youqichuyungongcheng
油气井工程	youqijinggongcheng
油气田开发工程	youqitiankaifagongcheng
有色金属冶金	yousejinshuyejin
预防兽医学	yufangshouyixue
语言学及应用语言学	yuyanxuejiyingyongyuyanxue
渔业资源	yuyeziyuan
园林植物与观赏园艺	yuanlinzhiwuyuguanshangyuanyi
园艺学	yuanyixue
原子与分子物理	yuanziyufenziwuli
运筹学与控制论	yunchouxueyukongzhilun
运动医学	yundongyixue
载运工具运用工程	zaiyungongjuyunyonggongcheng
战略学	zhanluexue
战术学	zhanshuxue
战役学	zhanyixue
战争动员学	zhanzhengdongyuanxue
哲学	zhexue
针灸推拿学	zhenjiutuinaxue
政治经济学	zhengzhijingjixue
政治学	zhengzhixue
政治学理论	zhengzhixuelilun
制浆造纸工程	zhijiangzaozhigongcheng
制冷及低温工程	zhilengjidiwengongcheng
制糖工程	zhitanggongcheng
植物保护	zhiwubaohu
植物病理学	zhiwubinglixue
植物学	zhiwuxue
植物营养学	zhiwuyingyangxue
职业技术教育学	zhiyejishujiaoyuxue
中共党史含党的学说与党的建设	zhonggongdangshihandangdexueshuoyudangdejianshe
中国古代史	zhongguogudaishi
中国古代文学	zhongguogudaiwenxue
中国古典文献学	zhongguogudianwenxianxue
中国近现代史	zhongguojinxiandaishi
中国少数民族经济	zhongguoshaoshuminzujingji
中国少数民族史	zhongguoshaoshuminzushi
中国少数民族艺术	zhongguoshaoshuminzuyishu
中国少数民族语言文学分语族	zhongguoshaoshuminzuyuyanwenxuefenyuzu
中国现当代文学	zhongguoxiandangdaiwenxue
中国语言文学	zhongguoyuyanwenxue
中国哲学	zhongguozhexue
肿瘤学	zhongliuxue
中外政治制度	zhongwaizhengzhizhidu
中西医结合	zhongxiyijiehe
中西医结合基础	zhongxiyijiehejichu
中西医结合临床	zhongxiyijiehelinchuang
中医儿科学	zhongyierkexue
中医妇科学	zhongyifukexue
中医骨伤科学	zhongyigushangkexue
中医基础理论	zhongyijichulilun
中医临床基础	zhongyilinchuangjichu
中医内科学	zhongyineikexue
中医外科学	zhongyiwaikexue
中医五官科学	zhongyiwuguankexue
中医学	zhongyixue
中医医史文献	zhongyiyishiwenxian
中医诊断学	zhongyizhenduanxue
专门史	zhuanmenshi
自然地理学	zirandilixue
宗教学	zongjiaoxue
作物学	zuowuxue
作物遗传育种	zuowuyichuanyuzhong
作物栽培学与耕作学	zuowuzaipeixueyugengzuoxue
作战指挥学	zuozhanzhihuixue
